Ep,Ep_r
0,-147.43
1,-179.74
2,-178.54
3,-132.27
4,-208.26
5,-178.33
6,-180.88
7,-150.16
8,-115.89
9,-226.81
10,-131.24
11,-69.87
12,-395.75
13,-117.52
14,-155.86
15,-237.99
16,-159.19
17,-215.24
18,-274.92
19,-134.15
20,-160.26
21,-184.46
22,-135.72
23,-214.12
24,-216.97
25,-173.9
26,-168.5
27,-227.96
28,-105.1
29,-182.7
30,-316.35
31,-383.89
32,-163.35
33,-248.05
34,-277.54
35,-107.73
36,-334.87
37,-327.49
38,-137.45
39,-173.37
40,-168.83
41,-523.8
42,-189.24
43,-306.88
44,-86.94
45,-550.62
46,-146.06
47,-108.17
48,-136.72
49,-178.93
50,-211.03
51,-202.86
52,-483.09
53,-193.35
54,-160.38
55,-194.88
56,-300.83
57,-393.54
58,-160.29
59,-190.78
60,-183.29
61,-126.6
62,-186.52
63,-157.78
64,-313.18
65,-117.43
66,-131.09
67,-221.11
68,-147.48
69,-99.94
70,-545.73
71,-134.01
72,-146.98
73,-154.33
74,-132.78
75,-191.38
76,-125.66
77,-245.42
78,-184.86
79,-337.23
80,-180.26
81,-78.87
82,-102.01
83,-346.65
84,-201.24
85,-173.36
86,-119.83
87,-137.65
88,-314.73
89,-112.32
90,-310.31
91,-291.05
92,-204.31
93,-129.95
94,-159.46
95,-156.16
96,-337.1
97,-254.03
98,-113.22
99,-264.59
100,-134.62
101,-260.05
102,-285.52
103,-185.95
104,-284.28
105,-365.65
106,-241.1
107,-135.8
108,-193.51
109,-184.48
110,-158.76
111,-139.77
112,-87.02
113,-537.0
114,-155.2
115,-196.11
116,-182.35
117,-415.89
118,-103.97
119,-207.93
120,-306.83
121,-179.37
122,-221.85
123,-131.56
124,-117.01
125,-253.17
126,-427.89
127,-148.4
128,-248.98
129,-136.77
130,-446.33
131,-324.25
132,-172.77
133,-423.95
134,-166.45
135,-193.01
136,-177.6
137,-161.6
138,-348.17
139,-314.41
140,-109.78
141,-203.45
142,-149.43
143,-286.87
144,-186.62
145,-142.91
146,-172.22
147,-426.68
148,-166.05
149,-248.43
150,-221.28
151,-214.32
152,-190.85
153,-381.12
154,-80.23
155,-74.89
156,-163.98
157,-374.83
158,-437.09
159,-116.77
160,-402.85
161,-153.12
162,-376.58
163,-197.6
164,-192.79
165,-336.92
166,-312.38
167,-151.81
168,-140.62
169,-186.16
170,-235.55
171,-108.65
172,-178.09
173,-207.67
174,-189.77
175,-312.84
176,-246.97
177,-150.21
178,-186.38
179,-144.67
180,-125.56
181,-153.59
182,-493.03
183,-530.32
184,-162.16
185,-165.25
186,-296.28
187,-323.15
188,-151.16
189,-244.8
190,-149.07
191,-144.51
192,-155.04
193,-174.14
194,-282.62
195,-213.43
196,-144.41
197,-198.97
198,-146.98
199,-153.33
200,-148.82
201,-179.54
202,-210.87
203,-197.98
204,-204.61
205,-146.62
206,-195.74
207,-276.09
208,-319.89
209,-349.03
210,-157.44
211,-162.9
212,-151.94
213,-381.75
214,-180.09
215,-133.32
216,-181.04
217,-276.25
218,-156.52
219,-144.34
220,-248.47
221,-332.23
222,-290.99
223,-406.2
224,-199.92
225,-237.58
226,-164.36
227,-154.52
228,-161.26
229,-153.15
230,-393.33
231,-122.16
232,-369.6
233,-397.47
234,-147.01
235,-296.81
236,-206.61
237,-130.8
238,-117.06
239,-396.09
240,-143.03
241,-169.28
242,-251.38
243,-329.48
244,-254.81
245,-27.84
246,-270.97
247,-122.67
248,-255.34
249,-229.35
250,-170.48
251,-170.3
252,-184.72
253,-165.31
254,-250.01
255,-168.26
256,-290.22
257,-162.42
258,-176.83
259,-350.54
260,-150.59
261,-102.24
262,-265.03
263,-165.51
264,-203.27
265,-169.97
266,-251.76
267,-160.45
268,-268.49
269,-150.17
270,-127.27
271,-56.76
272,-289.87
273,-398.08
274,-160.38
275,-156.98
276,-400.04
277,-183.49
278,-191.16
279,-241.29
280,-121.06
281,-273.14
282,-122.88
283,-213.51
284,-165.76
285,-463.68
286,-278.18
287,-150.15
288,-129.54
289,-240.01
290,-249.46
291,-165.22
292,-202.67
293,-281.29
294,-220.9
295,-234.77
296,-319.27
297,-134.81
298,-181.5
299,-259.44
300,-145.18
301,-432.72
302,-156.34
303,-178.66
304,-130.9
305,-179.3
306,-147.07
307,-178.88
308,-170.07
309,-158.96
310,-134.97
311,-173.33
312,-155.49
313,-146.62
314,-313.46
315,-189.3
316,-196.71
317,-217.67
318,-469.04
319,-350.1
320,-180.5
321,-140.37
322,-128.14
323,-203.3
324,-160.85
325,-24.99
326,-314.06
327,-182.69
328,-455.25
329,-133.25
330,-151.7
331,-158.73
332,-153.66
333,-193.47
334,-243.51
335,-207.63
336,-141.59
337,-151.67
338,-116.94
339,-210.26
340,-255.21
341,-196.09
342,-330.17
343,-342.06
344,-236.04
345,-271.09
346,-204.65
347,-294.27
348,-174.68
349,-190.02
350,-177.34
351,-128.84
352,-325.56
353,-165.72
354,-194.9
355,-398.82
356,-267.43
357,-183.9
358,-416.06
359,-207.56
360,-349.39
361,-216.45
362,-236.09
363,-40.96
364,-211.71
365,-67.24
366,-368.78
