Ep,Ep_r,epsilon
0,-181.949309,1.0
1,-105.853582,1.0
2,-212.414101,1.0
3,-151.572944,1.0
4,-338.758664,1.0
5,-224.585805,1.0
6,-259.138603,1.0
7,-224.70478,1.0
8,-158.340137,1.0
9,-143.406984,1.0
10,-192.702098,1.0
11,-152.268993,1.0
12,-150.77486,1.0
13,-274.555884,1.0
14,-277.223218,1.0
15,-198.12212,1.0
16,-147.797514,1.0
17,-161.808406,1.0
18,-215.747718,1.0
19,-145.884857,1.0
20,-174.251943,1.0
21,-343.884342,1.0
22,-261.753818,1.0
23,-424.340091,1.0
24,-369.148841,1.0
25,-180.324469,1.0
26,-151.810843,1.0
27,-146.122293,1.0
28,-210.282155,1.0
29,-259.566538,1.0
30,-334.859066,1.0
31,-278.350488,1.0
32,-174.724221,1.0
33,-142.396386,1.0
34,-298.330798,1.0
35,-303.277787,1.0
36,-510.200903,1.0
37,-311.733772,1.0
38,-370.083266,1.0
39,-248.298604,1.0
40,-488.285823,1.0
41,-408.414292,1.0
42,-310.843617,1.0
43,-186.38911,1.0
44,-112.754055,1.0
45,-397.109342,1.0
46,-294.213934,1.0
47,-200.162107,1.0
48,-371.950437,1.0
49,-115.736658,1.0
50,-443.518793,1.0
51,-266.691273,1.0
52,-353.682921,1.0
53,-125.126914,1.0
54,-147.080338,1.0
55,-474.171136,1.0
56,-280.189929,1.0
57,-134.187823,1.0
58,-146.242202,1.0
59,-418.928211,1.0
60,-175.099022,1.0
61,-413.071871,1.0
62,-136.671774,1.0
63,-139.614989,1.0
64,-158.919148,1.0
65,-167.51299,1.0
66,-318.259197,1.0
67,-210.874454,1.0
68,-166.021046,1.0
69,-363.781004,1.0
70,-193.160903,1.0
71,-213.803864,1.0
72,-153.112789,1.0
73,-212.453809,1.0
74,-282.183355,1.0
75,-155.237538,1.0
76,-271.753053,1.0
77,-172.807252,1.0
78,-188.431511,1.0
79,-192.263091,1.0
80,-185.808811,1.0
81,-10.180588,1.0
82,-278.362313,1.0
83,-178.957895,1.0
84,-187.377459,1.0
85,-166.157152,1.0
86,-89.463244,1.0
87,-375.008228,1.0
88,-343.700922,1.0
89,-123.573959,1.0
90,-141.75038,1.0
91,-228.666346,1.0
92,-172.76094,1.0
93,-28.490883,1.0
94,-481.693379,1.0
95,-272.165522,1.0
96,-182.942286,1.0
97,-175.465622,1.0
98,-144.119055,1.0
99,-196.382351,1.0
100,-301.873383,1.0
101,-207.966697,1.0
102,-184.415282,1.0
103,-445.06308,1.0
104,-269.595877,1.0
105,-173.736515,1.0
106,-431.492711,1.0
107,-373.317935,1.0
108,-139.22124,1.0
109,-197.707702,1.0
110,-255.776071,1.0
111,-204.446258,1.0
112,-204.141066,1.0
113,-141.564351,1.0
114,-184.171945,1.0
115,-375.224393,1.0
116,-135.324826,1.0
117,-185.421421,1.0
118,-162.767482,1.0
119,-143.694641,1.0
120,-188.700271,1.0
121,-319.43379,1.0
122,-233.297421,1.0
123,-123.29067,1.0
124,-150.956684,1.0
125,-163.413875,1.0
126,-138.46016,1.0
127,-252.990182,1.0
128,-198.134757,1.0
129,-421.425723,1.0
130,-173.998916,1.0
131,-330.54802,0.994164
132,-45.479768,0.988363
133,-146.626596,0.982595
134,-196.774511,0.976862
135,-185.866961,0.971161
136,-534.117334,0.965495
137,-232.063847,0.959861
138,-191.641829,0.954261
139,-139.39701,0.948694
140,-110.560457,0.943159
141,-140.565469,0.937656
142,-116.324344,0.932186
143,-181.893196,0.926748
144,-199.658342,0.921342
145,-123.579673,0.915968
146,-124.610495,0.910625
147,-52.064853,0.905313
148,-246.168008,0.900033
149,-260.449605,0.894783
150,-114.213572,0.889565
151,-155.301791,0.884377
152,-137.189571,0.879219
153,-273.463389,0.874092
154,-119.911281,0.868994
155,-109.872825,0.863927
156,-261.553057,0.858889
157,-132.061032,0.853881
158,-168.063233,0.848902
159,-213.058566,0.843953
160,-88.289402,0.839032
161,-146.831672,0.834141
162,-137.56734,0.829278
163,-110.921528,0.824443
164,-150.514942,0.819637
165,-131.295516,0.814859
166,-172.814298,0.810109
167,-126.324417,0.805387
168,-148.378242,0.800693
169,-139.691459,0.796026
170,-147.686394,0.791387
171,-267.315091,0.786774
172,-109.755945,0.782189
173,-70.632212,0.777631
174,-144.320615,0.773099
175,-138.78403,0.768594
176,-129.425326,0.764116
177,-146.506548,0.759664
178,-91.843527,0.755237
179,-151.79023,0.750837
180,-118.208259,0.746463
181,-114.854708,0.742114
182,-107.696945,0.737791
183,-128.572051,0.733493
184,-72.960852,0.72922
185,-121.646942,0.724973
186,-169.928037,0.72075
187,-99.56319,0.716552
188,-139.994981,0.712379
189,-116.434545,0.70823
190,-148.65036,0.704105
191,-100.89001,0.700005
192,-63.76541,0.695929
193,-71.416423,0.691876
194,-84.701449,0.687848
195,-73.393325,0.683843
196,-139.295572,0.679861
197,-109.568623,0.675903
198,-85.649093,0.671968
199,-115.490666,0.668057
200,-102.921244,0.664168
201,-115.10119,0.660302
202,-223.71315,0.656458
203,-124.894775,0.652637
204,-101.160988,0.648839
205,-74.531402,0.645063
206,-53.269575,0.641309
207,-46.81112,0.637577
208,-89.737672,0.633867
209,-89.158586,0.630178
210,-83.291897,0.626512
211,-132.230694,0.622866
212,-123.627823,0.619242
213,-66.226524,0.61564
214,-98.164152,0.612058
215,-104.078381,0.608498
216,-107.146462,0.604958
217,-142.297444,0.60144
218,-80.828146,0.597941
219,-52.77879,0.594464
220,-91.835921,0.591007
221,-91.247258,0.58757
222,-97.974667,0.584153
223,-44.20111,0.580756
224,-146.172707,0.577379
225,-74.664335,0.574022
226,-77.06826,0.570685
227,-165.771843,0.567367
228,-94.137931,0.564069
229,-72.651758,0.56079
230,-97.231238,0.55753
231,-32.338678,0.554289
232,-47.543733,0.551068
233,-80.08694,0.547865
234,-154.001751,0.544681
235,-57.423694,0.541516
236,-111.150853,0.538369
237,-125.666392,0.535241
238,-77.648974,0.532131
239,-12.255325,0.529039
240,-90.445454,0.525966
241,-82.017797,0.52291
242,-92.953528,0.519872
243,-161.043628,0.516853
244,-114.282397,0.513851
245,-81.792115,0.510866
246,-64.49071,0.507899
247,-35.97687,0.50495
248,-41.268922,0.502017
249,-24.39686,0.499102
250,-46.163144,0.496204
251,-29.135083,0.493323
252,-81.055003,0.490459
253,-27.839158,0.487612
254,-77.061966,0.484782
255,-118.097194,0.481968
256,-89.016132,0.47917
257,-52.927322,0.476389
258,-80.710459,0.473624
259,-72.42135,0.470876
260,13.811862,0.468143
261,-83.633356,0.465427
262,-44.957065,0.462727
263,-21.92862,0.460042
264,-29.134416,0.457373
265,10.6793,0.45472
266,-32.09272,0.452082
267,-176.434805,0.44946
268,-49.026312,0.446853
269,-237.554894,0.444262
270,-76.191145,0.441686
271,-121.152828,0.439124
272,-73.566168,0.436578
273,-32.587169,0.434047
274,-68.858329,0.431531
275,-66.988894,0.429029
276,-43.526481,0.426542
277,-43.697361,0.42407
278,-66.807005,0.421612
279,-110.874679,0.419168
280,-112.274343,0.416739
281,35.506266,0.414324
282,-51.188961,0.411923
283,-28.902254,0.409537
284,-206.300085,0.407164
285,-167.21289,0.404805
286,6.473076,0.402461
287,3.860518,0.400129
288,-66.960796,0.397812
289,-30.368755,0.395508
290,-117.831073,0.393218
291,-196.620298,0.390941
292,-56.933162,0.388677
293,-87.105488,0.386427
294,-114.843408,0.38419
295,-161.402484,0.381966
296,-126.402017,0.379755
297,-115.517833,0.377557
298,-116.835963,0.375372
299,-158.542173,0.3732
300,-68.56977,0.37104
301,-14.248572,0.368893
302,-5.297675,0.366759
303,-145.598867,0.364637
304,-0.980135,0.362528
305,-3.229095,0.360431
306,-133.226738,0.358346
307,-22.697849,0.356274
308,-192.202886,0.354214
309,-107.037288,0.352165
310,-39.530946,0.350129
311,-73.880997,0.348105
312,5.232544,0.346093
313,-86.15138,0.344092
314,-154.997434,0.342103
315,-75.661563,0.340126
316,-15.367627,0.338161
317,-137.001961,0.336207
318,-78.273669,0.334264
319,-1.147941,0.332333
320,-118.790685,0.330413
321,-50.265442,0.328505
322,-21.574888,0.326607
323,-88.928083,0.324721
324,47.493059,0.322846
325,-100.709645,0.320982
326,-20.991045,0.319128
327,12.198484,0.317286
328,22.584195,0.315454
329,-71.687142,0.313634
330,-26.797265,0.311823
331,-20.484374,0.310024
332,-366.635944,0.308235
333,-91.405828,0.306456
334,-72.535282,0.304688
335,-69.480301,0.302931
336,-478.523212,0.301183
337,-125.642777,0.299446
338,-22.107049,0.297719
339,-84.971165,0.296002
340,-72.709851,0.294295
341,-84.792268,0.292599
342,-23.617776,0.290912
343,-53.945718,0.289235
344,-141.579639,0.287568
345,81.164918,0.285911
346,-11.116047,0.284263
347,-439.44142,0.282625
348,-83.066628,0.280997
349,-354.073622,0.279378
350,-218.365457,0.277769
351,-187.911524,0.276169
352,-346.913212,0.274579
353,-351.111334,0.272998
354,-163.407063,0.271426
355,-204.372586,0.269863
356,-46.499706,0.26831
357,58.69216,0.266765
358,-195.163391,0.26523
359,-413.400604,0.263704
360,-474.649667,0.262187
361,-291.469971,0.260678
362,-288.646589,0.259179
363,-168.467785,0.257688
364,-205.336571,0.256206
365,-250.2598,0.254732
366,-266.421605,0.253268
367,-146.238286,0.251812
368,-252.258014,0.250364
369,-207.655259,0.248925
370,-232.666055,0.247494
371,-211.861819,0.246072
372,-194.286341,0.244658
373,-117.862053,0.243252
374,-206.571171,0.241855
375,-215.973733,0.240466
376,-283.946809,0.239085
377,-199.769591,0.237712
378,-228.34652,0.236347
379,-198.59653,0.23499
380,-244.232606,0.233641
381,-229.720882,0.2323
382,-275.157932,0.230967
383,-209.13437,0.229642
384,-188.719552,0.228324
385,-266.192142,0.227015
386,-212.767914,0.225712
387,-194.254468,0.224418
388,-176.852223,0.223131
389,-181.103498,0.221852
390,-240.789691,0.22058
391,-241.977285,0.219315
392,-193.982451,0.218058
393,-297.27604,0.216809
394,-163.856466,0.215567
395,-158.742932,0.214332
396,-252.817146,0.213104
397,-438.689966,0.211883
398,-237.976806,0.21067
399,-179.97034,0.209464
400,-142.473004,0.208264
401,-154.779025,0.207072
402,-221.27088,0.205887
403,-204.747406,0.204709
404,-273.025573,0.203538
405,-172.248537,0.202373
406,-189.035879,0.201215
407,-264.880844,0.200065
408,-248.99839,0.198921
409,-230.347203,0.197783
410,-244.403666,0.196653
411,-352.230638,0.195528
412,-176.308519,0.194411
413,-155.562711,0.1933
414,-176.395178,0.192196
415,-167.146236,0.191098
416,-222.051822,0.190006
417,-258.602286,0.188921
418,-227.448823,0.187842
419,124.229769,0.18677
420,-183.707612,0.185704
421,-202.223316,0.184644
422,-185.964235,0.183591
423,-377.93868,0.182543
424,-139.619298,0.181502
425,-255.827871,0.180467
426,-255.336284,0.179437
427,-206.414901,0.178414
428,-250.266085,0.177397
429,-92.619347,0.176386
430,-207.655897,0.175381
431,-236.366791,0.174382
432,-309.063199,0.173388
433,-252.078579,0.172401
434,-189.819628,0.171419
435,-236.64385,0.170443
436,-247.368321,0.169472
437,-250.183846,0.168508
438,-273.09234,0.167549
439,-264.511687,0.166595
440,-197.166204,0.165648
441,-258.977258,0.164705
442,-182.656142,0.163769
443,-227.184934,0.162838
444,-213.984451,0.161912
445,-188.837234,0.160992
446,-244.497718,0.160077
447,-181.236811,0.159167
448,-184.146029,0.158263
449,-180.108887,0.157364
450,-408.337836,0.15647
451,-206.474423,0.155582
452,-216.556036,0.154699
453,-270.593152,0.153821
454,-184.544139,0.152948
455,-194.014214,0.15208
456,-169.791395,0.151218
457,-254.538326,0.15036
458,-255.251619,0.149507
459,-207.1907,0.14866
460,-181.584958,0.147817
461,-485.364788,0.14698
462,-284.756599,0.146147
463,-167.368517,0.145319
464,-262.968775,0.144496
465,-126.548371,0.143678
466,-184.666499,0.142865
467,-239.34656,0.142056
468,-357.843787,0.141252
469,-219.535245,0.140453
470,-247.958801,0.139659
471,-295.071328,0.138869
472,-202.065755,0.138084
473,-174.544268,0.137303
474,-273.050384,0.136527
475,-188.201851,0.135756
476,-138.116106,0.134989
477,-225.088766,0.134226
478,-213.535639,0.133469
479,-158.70396,0.132715
480,-119.141407,0.131966
481,-129.525745,0.131221
482,-275.791107,0.130481
483,-318.592807,0.129745
484,-227.858406,0.129013
485,-433.098086,0.128286
486,-331.828658,0.127563
487,-243.976076,0.126844
488,-239.784814,0.12613
489,-255.060214,0.125419
490,-91.065993,0.124713
491,-265.822461,0.124011
492,-279.49747,0.123313
493,-233.14143,0.122619
494,-262.945331,0.121929
495,-140.079011,0.121243
496,-211.452981,0.120561
497,-210.259726,0.119884
498,-186.358657,0.11921
499,-252.639985,0.11854
500,-202.558177,0.117874
501,-221.440166,0.117212
502,-240.221691,0.116554
503,-204.083009,0.1159
504,-233.428938,0.115249
505,-904.624547,0.114603
506,-204.917027,0.11396
507,-264.698675,0.113321
508,-201.813288,0.112685
509,-180.180053,0.112054
510,-229.453528,0.111426
511,-225.757681,0.110802
512,-222.638866,0.110181
513,-227.928777,0.109564
514,-231.338759,0.108951
515,-160.553863,0.108341
516,-184.842025,0.107735
517,-214.548415,0.107133
518,-202.969366,0.106534
519,-207.387719,0.105938
520,-156.500626,0.105346
521,-210.886312,0.104758
522,-208.935609,0.104172
523,-191.385307,0.103591
524,-213.145249,0.103013
525,-204.848204,0.102438
526,-159.036164,0.101866
527,-213.847889,0.101298
528,-158.2233,0.100733
529,-216.175794,0.100172
530,-193.899958,0.099614
531,-139.570457,0.099059
532,-131.486074,0.098507
533,-226.591515,0.097959
534,-225.313952,0.097413
535,-181.55233,0.096871
536,-227.291614,0.096333
537,-256.343045,0.095797
538,-247.516351,0.095264
539,-235.378833,0.094735
540,-191.60551,0.094209
541,-233.964426,0.093685
542,-272.746479,0.093165
543,-260.566017,0.092648
544,-268.033022,0.092134
545,-349.079602,0.091623
546,-263.876788,0.091115
547,-194.503297,0.09061
548,-310.086812,0.090108
549,-374.022295,0.089609
550,-382.78794,0.089112
551,-392.448359,0.088619
552,-226.543476,0.088129
553,-171.239658,0.087641
554,-275.33028,0.087156
555,-233.747604,0.086675
556,-112.870797,0.086196
557,202.600221,0.085719
558,-275.399569,0.085246
559,-212.184118,0.084775
560,-178.859149,0.084307
561,-228.831978,0.083842
562,-168.188197,0.08338
563,-357.487233,0.08292
564,-312.494445,0.082463
565,-323.267563,0.082009
566,-199.932185,0.081557
567,-310.646519,0.081108
568,-270.442661,0.080662
569,-285.250913,0.080218
570,-264.715895,0.079777
571,-183.431924,0.079338
572,-217.934328,0.078902
573,-260.358499,0.078469
574,-202.293318,0.078038
575,-246.127172,0.077609
576,-211.598752,0.077184
577,-260.036879,0.07676
578,-244.110701,0.076339
579,-255.754279,0.075921
580,-203.303251,0.075505
581,-191.341876,0.075092
582,-264.788774,0.07468
583,-157.459677,0.074272
584,-211.439485,0.073865
585,-85.452216,0.073462
586,-232.805777,0.07306
587,-304.265818,0.072661
588,-259.538724,0.072264
589,-274.641835,0.071869
590,-315.718457,0.071477
591,-284.461777,0.071087
592,-298.736585,0.0707
593,-297.562124,0.070314
594,-282.758719,0.069931
595,-315.854556,0.069551
596,-304.353003,0.069172
597,-134.748912,0.068796
598,-326.001865,0.068421
599,-250.903271,0.068049
600,-336.539399,0.06768
601,-276.119914,0.067312
602,-55.419089,0.066947
603,221.911772,0.066583
604,-22.056281,0.066222
605,-252.963772,0.065863
606,70.541186,0.065506
607,-364.626141,0.065151
608,-227.707792,0.064798
609,-327.153022,0.064448
610,-320.996351,0.064099
611,-301.748063,0.063752
612,-330.914424,0.063408
613,-250.611629,0.063065
614,-316.155803,0.062725
615,-294.38989,0.062386
616,-274.786539,0.062049
617,-279.193556,0.061715
618,-270.073913,0.061382
619,-104.082164,0.061052
620,-219.957659,0.060723
621,-183.161475,0.060396
622,-249.855208,0.060071
623,-84.591,0.059748
624,-87.169913,0.059427
625,-299.308658,0.059108
626,-175.564925,0.05879
627,-492.482644,0.058475
628,-402.285896,0.058161
629,-165.074779,0.05785
630,-145.576833,0.05754
631,-215.417224,0.057231
632,-203.238998,0.056925
633,-96.874523,0.056621
634,-152.699678,0.056318
635,-167.237857,0.056017
636,-184.157435,0.055718
637,-144.820841,0.05542
638,-151.196698,0.055124
639,-463.519602,0.05483
640,-172.52131,0.054538
641,-379.095551,0.054248
642,-377.051645,0.053959
643,-419.538565,0.053672
644,-408.029522,0.053386
645,-395.895176,0.053102
646,-71.87319,0.05282
647,-64.304785,0.05254
648,-158.719419,0.052261
649,-64.244376,0.051984
650,-157.049622,0.051708
651,-56.527591,0.051434
652,-50.596017,0.051162
653,-21.442704,0.050891
654,-161.375786,0.050622
655,-35.758643,0.050354
656,-43.431455,0.050088
657,-26.936876,0.049824
658,-86.207606,0.049561
659,-341.978104,0.0493
660,-92.835461,0.04904
661,-123.979136,0.048782
662,213.437412,0.048525
663,165.842757,0.04827
664,231.192186,0.048016
665,-85.93689,0.047763
666,-107.56789,0.047513
667,-300.01967,0.047263
668,-278.457625,0.047015
669,-172.312325,0.046769
670,-291.584212,0.046524
671,-218.976399,0.04628
672,-422.236604,0.046038
673,-423.449914,0.045798
674,-276.788705,0.045558
675,-341.181886,0.045321
676,-235.364657,0.045084
677,-94.968838,0.044849
678,-283.396956,0.044615
679,-279.726112,0.044383
680,154.298384,0.044152
681,-625.085999,0.043922
682,-203.382634,0.043694
683,-327.81011,0.043467
684,-272.434418,0.043241
685,-178.931019,0.043017
686,-217.232966,0.042794
687,-168.148026,0.042572
688,-174.636458,0.042352
689,-143.599597,0.042133
690,-262.118558,0.041915
691,-181.980518,0.041699
692,-170.244541,0.041484
693,-325.584264,0.04127
694,-235.280981,0.041057
695,-147.475816,0.040845
696,-163.369639,0.040635
697,-177.838938,0.040426
698,-341.679166,0.040218
699,-147.986341,0.040012
700,-143.732764,0.039806
701,-181.869388,0.039602
702,-144.509971,0.039399
703,-161.628208,0.039198
704,-181.795901,0.038997
705,-176.21865,0.038798
706,-142.971063,0.038599
707,-94.946205,0.038402
708,-209.203164,0.038206
709,-20.21833,0.038012
710,227.564975,0.037818
711,-175.271231,0.037626
712,-188.391768,0.037434
713,-188.558319,0.037244
714,-98.912756,0.037055
715,154.263054,0.036867
716,-260.857369,0.03668
717,-233.882975,0.036494
718,-405.328134,0.036309
719,-191.446428,0.036126
720,-172.334034,0.035943
721,-210.408999,0.035762
722,-152.97846,0.035581
723,-190.064243,0.035402
724,-115.909207,0.035224
725,-212.95734,0.035046
726,-180.736255,0.03487
727,-283.217196,0.034695
728,-244.265687,0.034521
729,-208.387008,0.034348
730,-178.380218,0.034176
731,-292.624996,0.034004
732,-319.721716,0.033834
733,-209.672368,0.033665
734,-173.604502,0.033497
735,-197.005936,0.03333
736,-328.719753,0.033164
737,-169.499619,0.032999
738,-295.178874,0.032834
739,-299.1241,0.032671
740,-583.472094,0.032509
741,-435.636017,0.032347
742,-426.738636,0.032187
743,-419.005582,0.032028
744,-272.607736,0.031869
745,-438.593322,0.031712
746,-348.059726,0.031555
747,185.435873,0.031399
748,-106.245589,0.031244
749,-36.317643,0.03109
750,-311.952245,0.030937
751,-278.714628,0.030785
752,-204.605059,0.030634
753,-310.89222,0.030484
754,-371.75893,0.030334
755,-537.10801,0.030186
756,-254.337931,0.030038
757,-318.421895,0.029891
758,-339.616866,0.029745
759,-219.53983,0.0296
760,-313.504813,0.029456
761,-275.280534,0.029312
762,-285.914659,0.02917
763,-48.285799,0.029028
764,-307.708261,0.028887
765,-221.872199,0.028747
766,161.258217,0.028608
767,-266.403047,0.028469
768,-272.882008,0.028331
769,-299.130032,0.028195
770,-315.42591,0.028059
771,-165.395954,0.027923
772,-484.220987,0.027789
773,-371.054057,0.027655
774,-275.479752,0.027522
775,-146.478545,0.02739
776,-217.958066,0.027259
777,-647.756651,0.027128
778,-158.246737,0.026999
779,-1341.448644,0.02687
780,-41.098093,0.026741
781,-114.85632,0.026614
782,-300.273065,0.026487
783,-169.687311,0.026361
784,-316.518746,0.026236
785,-252.060488,0.026111
786,-115.471878,0.025987
787,-230.724431,0.025864
788,-92.92763,0.025742
789,-245.40489,0.02562
790,-92.597645,0.025499
791,-283.821996,0.025379
792,-244.614815,0.02526
793,-69.80066,0.025141
794,-154.713613,0.025023
795,-48.178887,0.024905
796,-8.359717,0.024788
797,-131.239138,0.024672
798,-81.362126,0.024557
799,-94.738743,0.024442
800,-153.789922,0.024328
801,-127.769557,0.024215
802,-90.28317,0.024102
803,-126.933468,0.02399
804,-119.378952,0.023879
805,-137.341016,0.023768
806,-173.723522,0.023658
807,-170.099102,0.023549
808,-307.545665,0.02344
809,-113.756927,0.023332
810,-367.916991,0.023224
811,-167.299673,0.023117
812,-167.318135,0.023011
813,-336.532681,0.022905
814,-329.812034,0.0228
815,-210.801342,0.022696
816,-71.50595,0.022592
817,-194.623929,0.022489
818,-90.52431,0.022386
819,-330.022869,0.022284
820,-64.371217,0.022183
821,-347.43619,0.022082
822,-79.752722,0.021982
823,-388.684999,0.021882
824,-85.766159,0.021783
825,-160.975377,0.021685
826,179.797787,0.021587
827,-267.823184,0.02149
828,-103.544587,0.021393
829,-88.433449,0.021297
830,-92.619726,0.021201
831,-19.401136,0.021106
832,-102.735009,0.021012
833,-36.538368,0.020918
834,-117.102174,0.020825
835,-30.546854,0.020732
836,-101.693667,0.02064
837,-76.563016,0.020548
838,-85.050718,0.020457
839,-49.699298,0.020366
840,-110.451549,0.020276
841,-46.130008,0.020186
842,-306.063946,0.020097
843,-145.31662,0.020009
844,-123.385677,0.019921
845,-341.218021,0.019833
846,-141.592132,0.019746
847,-418.336949,0.01966
848,-207.181076,0.019574
849,-304.108665,0.019488
850,-141.989839,0.019403
851,-288.409827,0.019319
852,-192.452254,0.019235
853,-173.422907,0.019151
854,-269.444329,0.019068
855,-139.352143,0.018986
856,-132.355438,0.018904
857,-316.896709,0.018822
858,-143.304681,0.018741
859,-369.336495,0.01866
860,-245.91071,0.01858
861,-234.994402,0.018501
862,-306.793753,0.018422
863,-54.525125,0.018343
864,-180.850468,0.018265
865,-320.049976,0.018187
866,-213.223086,0.018109
867,-74.140491,0.018033
868,-125.77015,0.017956
869,-314.01924,0.01788
870,-229.02743,0.017805
871,-84.906247,0.017729
872,-278.622897,0.017655
873,-71.622894,0.017581
874,-154.388486,0.017507
875,-429.459355,0.017433
876,-278.938686,0.017361
877,-415.135366,0.017288
878,-167.648478,0.017216
879,-55.241485,0.017144
880,-396.254857,0.017073
881,-106.95227,0.017002
882,-105.266967,0.016932
883,-202.017182,0.016862
884,-382.639952,0.016792
885,-97.42493,0.016723
886,-235.244339,0.016654
887,-109.456373,0.016586
888,-94.561342,0.016518
889,-187.971723,0.016451
890,-189.478942,0.016383
891,-183.649791,0.016317
892,-98.05011,0.01625
893,-144.342574,0.016184
894,-64.076903,0.016119
895,-152.442169,0.016053
896,-136.555121,0.015989
897,-328.000241,0.015924
898,-183.547326,0.01586
899,-316.188492,0.015796
900,-117.860191,0.015733
901,-356.380866,0.01567
902,-355.801114,0.015608
903,-327.605322,0.015545
904,-130.39496,0.015483
905,-313.890596,0.015422
906,-450.599985,0.015361
907,-123.814683,0.0153
908,-235.00631,0.01524
909,-102.667205,0.01518
910,-68.506914,0.01512
911,-76.377046,0.015061
912,-142.432437,0.015002
913,-141.371412,0.014943
914,-420.068234,0.014885
915,-75.729842,0.014827
916,-46.649462,0.014769
917,-145.007465,0.014712
918,-266.869255,0.014655
919,-70.19481,0.014598
920,-129.157889,0.014542
921,-99.502728,0.014486
922,-90.395928,0.01443
923,-97.327332,0.014375
924,-128.041574,0.01432
925,-327.449688,0.014265
926,-116.885282,0.014211
927,-261.219995,0.014157
928,-189.966022,0.014103
929,-152.023764,0.01405
930,-276.406967,0.013997
931,-126.289897,0.013944
932,-188.487258,0.013891
933,-99.160669,0.013839
934,-234.13956,0.013788
935,-281.714559,0.013736
936,-111.213625,0.013685
937,-61.466626,0.013634
938,-99.800381,0.013583
939,-267.597945,0.013533
940,-85.86087,0.013483
941,-244.29787,0.013433
942,-184.130383,0.013384
943,-287.040128,0.013334
944,-193.148248,0.013286
945,-179.678267,0.013237
946,-181.795777,0.013189
947,-114.997608,0.013141
948,-16.227075,0.013093
949,-320.564877,0.013045
950,-84.288971,0.012998
951,-107.984251,0.012951
952,-90.956643,0.012905
953,-210.770194,0.012858
954,-283.875,0.012812
955,-190.614891,0.012766
956,-258.123642,0.012721
957,-373.220648,0.012676
958,-224.097514,0.012631
959,-118.529011,0.012586
960,-46.490352,0.012541
961,-103.982425,0.012497
962,-195.706148,0.012453
963,-270.057114,0.012409
964,-357.13914,0.012366
965,-139.323161,0.012323
966,-531.456091,0.01228
967,-5.696233,0.012237
968,-351.029917,0.012195
969,-185.902494,0.012152
970,-654.268506,0.01211
971,-140.66052,0.012069
972,-138.878206,0.012027
973,-114.851456,0.011986
974,-382.815813,0.011945
975,-141.019474,0.011904
976,-425.529642,0.011864
977,-168.54194,0.011824
978,-65.033932,0.011784
979,-159.454915,0.011744
980,-156.42206,0.011704
981,-139.591473,0.011665
982,-157.252563,0.011626
983,-60.097203,0.011587
984,-78.878145,0.011548
985,-104.837351,0.01151
986,-149.726512,0.011472
987,2.03204,0.011434
988,-105.853774,0.011396
989,-45.545141,0.011359
990,-164.563901,0.011321
991,-368.033145,0.011284
992,-168.032862,0.011247
993,-115.767714,0.011211
994,-73.60494,0.011174
995,-22.259412,0.011138
996,-135.754482,0.011102
997,-48.437675,0.011066
998,-64.021542,0.011031
999,-67.138013,0.010995
1000,-102.353532,0.01096
1001,-135.079964,0.010925
1002,-106.292089,0.01089
1003,-60.814021,0.010856
1004,-138.406681,0.010822
1005,-127.318377,0.010787
1006,-207.075631,0.010753
1007,-85.008355,0.01072
1008,-49.003825,0.010686
1009,-88.93592,0.010653
1010,-188.856141,0.01062
1011,-166.502997,0.010587
1012,-237.339791,0.010554
1013,-147.412428,0.010521
1014,-352.060868,0.010489
1015,-138.423107,0.010457
