Ep,Ep_r,epsilon
0,-142.5335,1.0
1,-156.048394,1.0
2,-219.708346,1.0
3,-162.758786,1.0
4,-226.309631,1.0
5,-428.765921,1.0
6,-502.845654,1.0
7,-151.325618,1.0
8,-489.098363,1.0
9,-310.606416,1.0
10,-218.776473,1.0
11,-343.644062,1.0
12,-136.928783,1.0
13,-391.272373,1.0
14,-81.145928,1.0
15,-189.204574,1.0
16,-152.350265,1.0
17,-117.977469,1.0
18,-311.040211,1.0
19,-111.644609,1.0
20,-190.365151,1.0
21,-147.237151,1.0
22,-312.412772,1.0
23,-413.889244,1.0
24,-288.249081,1.0
25,-230.03639,1.0
26,-145.275303,1.0
27,-299.190602,1.0
28,-221.291819,1.0
29,-210.735023,1.0
30,-188.809079,1.0
31,-227.536835,1.0
32,-255.941788,1.0
33,-177.724745,1.0
34,-222.417589,1.0
35,-94.285307,1.0
36,-191.79383,1.0
37,-250.841667,1.0
38,-98.112526,1.0
39,-426.773626,1.0
40,-150.020522,1.0
41,-169.354349,1.0
42,-423.785531,1.0
43,-110.564524,1.0
44,-179.70082,1.0
45,-337.058274,1.0
46,-142.349362,1.0
47,-452.090424,1.0
48,-227.979709,1.0
49,-146.49126,1.0
50,-122.834776,1.0
51,-470.206722,1.0
52,-421.854416,1.0
53,-175.933561,1.0
54,-386.831896,1.0
55,-275.808015,1.0
56,-379.121665,1.0
57,-298.944632,1.0
58,-119.067866,1.0
59,-183.934156,1.0
60,-325.205904,1.0
61,-407.965497,1.0
62,-326.770363,1.0
63,-150.031234,1.0
64,-169.735258,1.0
65,-126.435189,1.0
66,-382.012113,1.0
67,-162.023939,1.0
68,-145.677525,1.0
69,-370.242549,1.0
70,-153.334861,1.0
71,-225.113855,1.0
72,-138.159274,1.0
73,-91.486546,1.0
74,-188.507095,1.0
75,-275.716878,1.0
76,-148.89817,1.0
77,-255.186647,1.0
78,-171.926633,1.0
79,-159.750511,1.0
80,-197.565183,1.0
81,-388.278372,1.0
82,-177.336773,1.0
83,-270.485393,1.0
84,-249.54374,1.0
85,-187.283498,1.0
86,-232.36875,1.0
87,-198.762395,1.0
88,-269.406821,1.0
89,-393.198387,1.0
90,-129.158981,1.0
91,-210.50203,1.0
92,-243.32887,1.0
93,-41.914509,1.0
94,-335.483146,1.0
95,-127.616042,1.0
96,-3.125725,1.0
97,-124.252142,1.0
98,-45.920854,1.0
99,-299.683359,1.0
100,-199.116388,1.0
101,-286.196239,1.0
102,-125.689017,1.0
103,-132.856942,1.0
104,-131.432023,1.0
105,-136.854665,1.0
106,-163.276813,1.0
107,-160.962712,1.0
108,-165.50463,1.0
109,-390.754106,1.0
110,-175.657417,1.0
111,-292.811031,1.0
112,-157.216273,1.0
113,-336.542765,1.0
114,-191.241866,1.0
115,-158.086853,1.0
116,-133.589514,1.0
117,-99.789659,1.0
118,-159.079506,1.0
119,-153.460294,1.0
120,-301.653284,1.0
121,-216.676351,1.0
122,-176.231387,1.0
123,-296.823238,1.0
124,-544.343375,1.0
125,-122.097158,1.0
126,-207.631616,1.0
127,-127.509023,1.0
128,-122.297511,1.0
129,-133.189057,1.0
130,-151.159941,1.0
131,-135.069081,1.0
132,-122.039879,1.0
133,-131.797495,1.0
134,-221.629291,1.0
135,-156.313239,1.0
136,-56.437964,1.0
137,-301.157625,1.0
138,-123.669712,1.0
139,-160.88832,0.994164
140,-88.074406,0.988363
141,-350.876511,0.982595
142,-146.039303,0.976862
143,-217.239707,0.971161
144,-274.002567,0.965495
145,-143.058167,0.959861
146,-182.009597,0.954261
147,-155.671275,0.948694
148,-440.889007,0.943159
149,-294.926233,0.937656
150,-204.364295,0.932186
151,-233.479979,0.926748
152,-138.211398,0.921342
153,-177.634491,0.915968
154,-146.188581,0.910625
155,-163.032578,0.905313
156,-388.816668,0.900033
157,-131.775616,0.894783
158,-125.096032,0.889565
159,-329.467693,0.884377
160,-188.513708,0.879219
161,-148.912732,0.874092
162,-149.920608,0.868994
163,-351.988692,0.863927
164,-151.032577,0.858889
165,-133.9333,0.853881
166,-113.953597,0.848902
167,-211.188883,0.843953
168,-175.761719,0.839032
169,-148.171001,0.834141
170,-127.893804,0.829278
171,-153.267207,0.824443
172,-195.693454,0.819637
173,-184.556455,0.814859
174,-115.125721,0.810109
175,-140.661147,0.805387
176,-125.412603,0.800693
177,-242.890637,0.796026
178,-114.440137,0.791387
179,-97.905965,0.786774
180,-149.02646,0.782189
181,-116.447799,0.777631
182,-145.970037,0.773099
183,-120.924248,0.768594
184,-180.70173,0.764116
185,-233.955846,0.759664
186,-90.067894,0.755237
187,-109.238513,0.750837
188,-187.36231,0.746463
189,-129.917927,0.742114
190,-110.585867,0.737791
191,-172.864817,0.733493
192,-111.641514,0.72922
193,-155.032065,0.724973
194,-104.26953,0.72075
195,-18.44377,0.716552
196,-171.21509,0.712379
197,-76.805219,0.70823
198,-176.94384,0.704105
199,-116.728766,0.700005
200,-63.733089,0.695929
201,-64.367562,0.691876
202,-99.221004,0.687848
203,-95.8966,0.683843
204,-147.10478,0.679861
205,-129.447744,0.675903
206,-125.801018,0.671968
207,-88.472474,0.668057
208,-121.631658,0.664168
209,-118.624681,0.660302
210,-97.810689,0.656458
211,-22.75998,0.652637
212,-151.754658,0.648839
213,-73.519575,0.645063
214,-72.507194,0.641309
215,-74.459274,0.637577
216,-107.308502,0.633867
217,-92.868827,0.630178
218,-73.499916,0.626512
219,-95.521845,0.622866
220,-121.763072,0.619242
221,-112.564384,0.61564
222,-112.567027,0.612058
223,-54.929818,0.608498
224,-95.394336,0.604958
225,-93.429998,0.60144
226,-93.986017,0.597941
227,-131.539283,0.594464
228,-73.38221,0.591007
229,-62.183154,0.58757
230,-77.948766,0.584153
231,-51.709689,0.580756
232,-32.847906,0.577379
