Ep,Ep_r
0,-282.53
1,-109.3
2,-155.64
3,-249.12
4,-435.76
5,-386.59
6,-223.19
7,-164.0
8,-242.57
9,-550.92
10,-370.06
11,-112.74
12,-290.3
13,-124.06
14,-61.97
15,-128.88
16,-194.81
17,-162.51
18,-192.25
19,-312.32
20,-377.24
21,-139.97
22,-450.46
23,-131.41
24,-209.12
25,-136.35
26,-346.41
27,-309.87
28,-165.33
29,-532.78
30,-289.27
31,-202.15
32,-106.98
33,-221.47
34,-353.68
35,-347.95
36,-343.98
37,-404.67
38,-367.99
39,-383.25
40,-380.59
41,-188.47
42,-190.36
43,-305.67
44,-344.76
45,-139.19
46,-144.87
47,-71.38
48,-200.09
49,-327.84
50,-136.42
51,-379.1
52,-492.62
53,-491.68
54,-208.6
55,-245.79
56,-397.27
57,-198.62
58,-161.63
59,-203.46
60,-143.19
61,-186.61
62,-279.52
63,-253.96
64,-188.64
65,-117.65
66,-241.76
67,-480.76
68,-304.07
69,-189.09
70,-388.72
71,-374.58
72,-192.33
73,-443.83
74,-147.55
75,-199.63
76,-273.75
77,-62.03
78,-105.43
79,-174.86
80,-133.3
81,-133.31
82,-191.31
83,-151.17
84,-399.11
85,-183.9
86,-331.27
87,-465.67
88,-176.38
89,-219.11
90,-448.68
91,-153.23
92,-111.12
93,-165.85
94,-21.84
95,-127.24
96,-146.07
97,-146.67
98,-105.98
99,-200.26
100,-367.39
101,-151.8
102,-145.26
103,-131.99
104,-155.56
105,-452.73
106,-171.36
107,-144.94
108,-393.55
109,-172.02
110,-191.47
111,-394.03
112,-178.75
113,-438.81
114,-178.3
115,-163.83
116,-111.95
117,-210.95
118,-380.35
119,-158.47
120,-232.62
121,-147.92
122,-193.52
123,-164.43
124,-121.91
125,-138.93
126,-150.88
127,-161.58
128,-143.95
129,-260.47
130,-464.89
131,-323.03
132,-145.29
133,-262.73
134,-194.55
135,-264.51
136,-263.8
137,-181.42
138,-266.93
139,-249.97
140,-186.46
141,-110.75
142,-233.82
143,-161.14
144,-225.21
145,-218.95
146,-155.38
147,-362.5
148,-335.23
149,-172.59
150,-263.32
151,-257.72
152,-183.82
153,-149.25
154,-163.84
155,-350.93
156,-305.73
157,-349.07
158,-303.77
159,-11.24
160,-95.37
161,-167.26
162,-167.07
163,-208.16
164,-398.23
165,-380.67
166,-466.2
167,-132.43
168,-355.12
169,-123.0
170,-194.15
171,-141.31
172,-411.39
173,-185.25
174,-166.6
175,-154.45
176,-313.96
177,-380.35
178,-272.14
179,-207.67
180,-392.49
181,-158.27
182,-309.71
183,-295.07
184,-263.82
185,-530.79
186,-277.56
187,-184.42
188,-386.36
189,-144.02
190,-241.62
191,-147.31
192,-195.19
193,-274.85
194,-182.97
195,-272.35
196,-131.53
197,-158.35
198,-381.33
199,-179.36
200,-205.65
201,-186.76
202,-180.78
203,-40.88
204,-256.13
205,-209.1
206,-163.39
207,-129.52
208,-187.08
209,-350.89
210,-164.65
211,-278.7
212,-115.98
213,-108.91
214,-253.51
215,-311.92
216,-165.73
217,-270.67
218,-271.52
219,-157.0
220,-312.87
221,-208.88
222,-127.36
223,-380.86
224,-342.84
225,-154.03
226,-131.02
227,-434.95
228,-191.7
229,-179.34
230,-330.94
231,-108.96
232,-465.07
233,-297.41
234,-161.15
235,-361.27
236,-214.23
237,-181.74
238,-180.86
239,-422.0
240,-136.58
241,-174.53
242,-199.65
243,-142.81
244,-93.54
245,-255.58
246,-171.11
247,-122.96
248,-54.0
249,-153.78
250,-349.98
251,-155.83
252,-336.49
253,-183.22
254,-166.48
255,-143.23
256,-124.16
257,-262.33
258,-177.24
259,-320.4
260,-145.92
261,-234.44
262,-143.96
263,-144.95
264,-167.81
265,-174.8
266,-252.75
267,-54.1
268,-118.6
269,-184.28
270,-130.65
271,-450.58
272,-203.69
273,-148.01
274,-288.45
275,-376.0
276,-150.19
277,-149.86
278,-157.82
279,-444.47
280,-176.87
281,-229.13
282,-312.75
283,-305.28
284,-156.31
285,-225.25
286,-146.83
287,-125.12
288,-366.59
289,-278.48
290,-219.69
291,-205.7
292,-311.78
293,-184.54
294,-150.22
295,-138.52
296,-162.56
297,-303.56
298,-134.58
299,-172.46
300,-314.98
301,-144.58
302,-406.87
303,-226.38
304,-153.58
305,-202.31
306,-199.34
