Ep,Ep_r
0,-183.51
1,-317.35
2,-483.35
3,-314.66
4,-154.48
5,-378.5
6,-305.65
7,-334.13
8,-360.95
9,-169.67
10,-284.55
11,-289.2
12,-54.32
13,-168.7
14,-289.8
15,-258.91
16,-159.59
17,-127.16
18,-282.74
19,-192.69
20,-29.71
21,-104.91
22,-168.56
23,-143.87
24,-222.85
25,-122.01
26,-354.82
27,-319.53
28,-160.05
29,-133.57
30,-410.28
31,-169.47
32,-222.14
33,-134.91
34,-320.82
35,-189.26
36,-156.64
37,-498.5
38,-101.53
39,-114.77
40,-332.35
41,-157.78
42,-263.23
43,-137.48
44,-131.6
45,-126.0
46,-222.0
47,-132.06
48,-255.07
49,-161.64
50,-216.37
51,-174.24
52,-160.62
53,-118.99
54,-398.34
55,-163.67
56,-152.95
57,-353.5
58,-436.27
59,-377.65
60,-176.84
61,-157.2
62,-88.14
63,-154.94
64,-245.69
65,-205.48
66,-310.57
67,-149.64
68,-417.13
69,-228.54
70,-121.86
71,-208.13
72,-224.91
73,-316.42
74,-300.85
75,-381.6
76,-174.79
77,-163.19
78,-67.86
79,-182.51
80,-381.65
81,-73.67
82,-174.81
83,-371.4
84,-66.7
85,-372.11
86,-192.19
87,-140.51
88,-309.73
89,-336.29
90,-122.85
91,-169.16
92,-211.72
93,-149.46
94,-216.55
95,-171.53
96,-145.09
97,-155.02
98,-92.13
99,-149.83
100,-120.39
101,-222.45
102,-227.47
103,-262.25
104,-150.48
105,-157.78
106,-215.96
107,-248.55
108,-162.95
109,-203.83
110,-167.88
111,-375.29
112,-178.26
113,-209.3
114,-397.83
115,-38.45
116,-142.81
117,-177.61
118,-290.16
119,-247.89
120,-202.11
121,-255.27
122,-417.92
123,-153.22
124,-389.01
125,-261.89
126,-146.54
127,-111.0
128,-280.19
129,-165.26
130,-269.17
131,-246.35
132,-175.44
133,-362.63
134,-105.8
135,-146.77
136,-145.76
137,-106.5
138,-121.79
139,-176.24
140,-135.85
141,-383.95
142,-32.23
143,-378.37
144,-159.91
145,-155.17
146,-180.0
147,-459.45
148,-422.78
149,-207.27
150,-425.76
151,-249.34
152,-205.23
153,-184.71
154,-127.21
155,-184.67
156,-19.51
157,-154.35
158,-407.66
159,-177.83
160,-191.53
161,-186.71
162,-126.29
163,-199.97
164,-149.34
165,-302.33
166,-268.89
167,-514.26
168,-435.36
169,-162.67
170,-201.86
171,-265.97
172,-172.5
173,-141.76
174,-123.69
175,-134.8
176,-270.33
177,-344.68
178,-240.85
179,-181.44
180,-175.01
181,-243.46
182,-181.12
183,-198.5
184,-17.49
185,-132.61
186,-189.48
187,-154.49
188,-159.05
189,-275.5
190,-161.0
191,-137.88
192,-199.88
193,-134.03
194,-173.59
195,-349.85
196,-255.21
197,-157.84
198,-167.44
199,-205.87
200,-177.69
201,-143.89
202,-227.44
203,-146.82
204,-377.53
205,-498.67
206,-430.47
207,-147.08
208,-134.99
209,-175.88
210,-202.26
211,-197.25
212,-332.99
213,-123.75
214,-272.77
215,-229.85
216,-211.72
217,-141.39
218,-398.88
219,-176.65
220,-225.67
221,-418.5
222,-253.47
223,-424.2
224,-174.62
225,-129.6
226,-264.36
227,-295.85
228,-161.72
229,-215.88
230,-421.37
231,-300.14
232,-166.35
233,-191.78
234,-259.29
235,-171.06
236,-112.44
237,-186.18
238,-383.91
239,-204.96
240,-407.9
241,-174.9
242,-375.05
243,-286.79
244,-263.64
245,-144.77
246,-178.87
247,-62.33
248,-296.5
249,-135.33
250,-53.81
251,-396.46
252,-141.2
253,-405.14
254,-502.81
255,-251.73
256,-160.27
257,-116.29
258,-459.66
259,-173.36
260,-194.65
261,-152.68
262,-180.4
263,-202.25
264,-171.55
265,-212.81
266,-274.35
267,-180.55
268,-231.87
269,-302.03
270,-252.27
271,-200.9
272,-47.29
273,-204.78
274,-170.1
275,-155.05
276,-148.03
277,-156.49
278,-106.9
279,-250.83
280,-185.49
281,-361.1
282,-273.23
283,-133.27
284,-22.09
285,-106.99
286,-283.68
287,-206.13
288,-199.43
289,-248.98
290,-251.12
291,-158.43
292,-199.16
293,-226.31
294,-142.17
295,-115.56
296,-143.19
297,-237.39
298,-159.52
299,-200.08
300,-230.56
301,-131.47
302,-160.12
303,-231.73
304,-167.72
305,-167.96
306,-130.52
307,-132.7
308,-187.58
309,-217.66
310,-198.79
311,-319.33
312,-269.86
313,-178.07
314,-281.62
315,-138.98
316,-187.66
317,-204.31
318,-209.35
319,-321.21
320,-218.7
321,-171.63
322,-238.44
323,-258.49
324,-128.6
325,-176.7
326,-166.78
327,-284.09
328,-397.33
329,-381.08
330,26.31
331,-114.6
332,-128.42
333,-328.67
334,-145.06
335,-75.4
336,-389.07
337,-102.13
338,-317.13
339,-398.28
340,-140.99
341,-124.41
342,-160.31
343,-135.54
344,-330.07
345,-166.12
346,-408.56
347,-306.82
348,-194.13
349,-44.2
350,-170.65
351,-310.32
352,-161.75
353,-171.01
354,-288.19
355,-156.1
356,-168.98
357,-498.76
358,-178.17
359,-151.69
360,-166.16
361,-159.26
362,-240.18
363,-279.96
364,-161.07
365,-219.96
366,-125.04
367,-161.51
368,-300.57
369,-207.67
370,-386.55
371,-135.99
372,-358.04
373,-131.77
374,-140.22
375,-147.79
376,-131.28
377,-168.84
378,-243.4
