Ep,Ep_r
0,-198.19
1,-232.45
2,-427.69
3,-161.65
4,-404.47
5,-158.62
6,-193.09
7,-215.21
8,-243.82
9,-291.98
10,-370.71
11,-461.62
12,-322.57
13,-286.23
14,-211.83
15,-189.94
16,-266.41
17,-215.89
18,-27.94
19,-254.71
20,-368.38
21,-201.35
22,-309.56
23,-258.33
24,-227.41
25,-142.19
26,-161.67
27,-157.03
28,-213.3
29,-407.17
30,-143.92
31,-288.26
32,-166.65
33,-255.53
34,-128.5
35,-107.17
36,-338.09
37,-204.55
38,-160.66
39,-184.81
40,-398.82
41,-164.47
42,-191.93
43,-132.41
44,-139.9
45,-261.16
46,-182.48
47,-146.77
48,-185.92
49,-231.57
50,-321.85
51,-176.09
52,-174.4
53,-337.93
54,-320.93
55,-197.81
56,-425.69
57,-146.21
58,-125.72
59,-149.56
60,-334.39
61,-166.81
62,-157.94
63,-158.54
64,-103.65
65,-175.59
66,-206.06
67,-30.1
68,-151.17
69,-175.49
70,-286.03
71,-184.79
72,-134.45
73,-256.84
74,-275.93
75,-167.27
76,-358.25
77,-402.03
78,-102.47
79,-374.7
80,-287.62
81,-306.69
82,-174.85
83,-229.12
84,-429.73
85,-231.14
86,-172.01
87,-156.72
88,-247.92
89,-358.13
90,-140.25
91,-386.21
92,-142.55
93,-297.9
94,-311.33
95,-110.77
96,-223.35
97,-165.58
98,-165.89
99,-161.3
100,-179.61
101,-156.4
102,-158.41
103,-124.67
104,-191.52
105,-144.23
106,-152.52
107,-329.57
108,-152.4
109,-462.49
110,-237.17
111,-247.03
112,-369.64
113,-104.28
114,-380.49
115,-209.49
116,-321.29
117,-207.1
118,-166.82
119,-222.44
120,-113.59
121,-234.7
122,-193.13
123,-327.18
124,-215.5
125,-178.83
126,-154.34
127,-304.02
128,-182.87
129,-31.46
130,-406.85
131,-149.43
132,-274.65
133,-201.63
134,-185.84
135,-141.13
136,-295.47
137,-335.91
138,-369.42
139,-229.89
140,-128.63
141,-174.17
142,-340.12
143,-337.35
144,-85.9
145,-154.01
146,-207.5
147,-208.84
148,-131.75
149,-156.31
150,-196.96
151,-174.72
152,-354.56
153,-131.14
154,-126.98
155,-168.9
156,-191.52
157,-278.54
158,-156.5
159,-235.38
160,-131.39
161,-200.82
162,-355.55
163,-164.22
164,-366.78
165,-134.61
166,-95.43
167,-293.65
168,-233.54
169,-61.2
170,-164.3
171,-181.97
172,-166.59
173,-173.31
174,-385.53
175,-152.68
176,-147.65
177,-227.22
178,-164.72
179,-159.29
180,-163.92
181,-153.06
182,-251.41
183,-156.6
184,-169.76
185,-313.23
186,-191.0
187,-382.06
188,-308.44
189,-159.23
190,-577.66
191,-302.69
192,-275.73
193,-68.89
194,-102.92
195,-262.3
196,-145.73
197,-170.76
198,-137.25
199,-125.53
200,-212.38
201,-162.39
202,-170.04
203,-295.66
204,-450.61
205,-158.6
206,-237.19
207,-116.9
208,-176.94
209,-422.37
210,-188.4
211,-331.76
212,-150.35
213,-224.83
214,-356.95
215,-126.69
216,-345.87
217,-412.79
218,-128.08
219,-255.79
220,-144.26
221,-183.15
222,-148.37
223,-246.61
224,-175.43
225,-423.42
226,-271.57
227,-131.64
228,-86.99
229,-405.78
230,-230.77
231,-240.13
232,-154.54
233,-131.76
234,-416.26
235,-148.8
236,-238.98
237,-209.84
238,-216.51
239,-34.01
240,-447.5
241,-133.03
242,-409.01
243,-170.41
244,-123.06
245,-114.5
246,-117.39
247,-143.62
248,-355.87
249,-205.57
250,-542.76
251,-147.62
252,-155.62
253,-103.62
254,-203.04
255,-185.2
256,-386.41
257,-201.09
258,-203.93
259,-130.3
260,-152.61
261,-350.72
262,-146.81
263,-125.3
264,-199.94
265,-197.54
266,-154.39
267,-159.15
268,-242.44
269,-297.01
270,-261.16
271,-370.0
272,-216.72
273,-109.54
274,-175.16
275,-152.26
276,-109.22
277,-166.02
278,-102.18
279,-248.38
280,-160.01
281,-140.59
282,-351.62
283,-125.71
284,-283.61
285,-143.71
286,-130.2
287,-125.4
288,-144.84
289,-334.2
290,-283.07
291,-576.16
292,-144.93
293,-393.87
294,-404.77
295,-181.76
296,-260.58
297,-171.12
298,-146.08
299,-226.44
300,-291.48
301,-191.11
302,-154.26
303,-155.21
304,-274.29
305,-122.97
306,-203.07
307,-322.23
308,-234.78
309,-173.51
310,-208.54
311,-176.51
312,-161.58
313,-345.51
314,-370.58
315,-292.1
316,-203.95
317,-281.62
318,-133.26
319,-147.65
320,-519.12
321,-107.92
322,-179.98
323,-390.45
324,-68.19
325,-258.59
326,-161.54
327,-443.81
328,-87.23
329,-301.12
330,-223.22
331,-335.57
332,-163.62
333,-346.05
334,-126.75
335,-117.37
336,-169.14
337,-146.47
338,-212.3
339,-376.1
340,-235.7
341,-134.69
342,-167.93
343,-160.18
344,-471.73
345,-287.96
346,-306.68
347,-165.21
348,-413.31
349,-172.83
350,-141.8
351,-132.0
352,-177.63
353,-252.08
354,-429.73
355,-133.75
356,-363.39
357,-384.28
358,-178.42
359,-166.31
360,-137.46
361,-117.84
362,-195.12
363,-147.6
364,-152.06
365,-179.25
366,-85.01
367,-410.01
368,-288.31
369,-239.27
370,-188.77
371,-218.38
372,-174.92
373,-140.49
374,-145.71
375,-163.74
376,-183.7
377,-303.93
378,-171.85
379,-180.1
380,-380.14
381,-201.59
382,-129.84
383,-168.32
384,-202.02
385,-178.15
386,-86.25
387,-240.3
388,-155.26
389,-300.47
390,-189.79
391,-119.61
392,-167.46
393,-100.73
394,-361.84
395,-142.1
396,-417.11
397,-374.46
398,-391.92
399,-172.64
400,-325.74
401,-141.41
402,-178.29
403,-170.8
404,-260.88
405,-159.59
406,-249.93
407,-184.49
408,-161.14
409,-177.46
410,-177.71
411,-170.38
412,-136.35
413,-244.88
414,-29.61
415,-312.03
416,-164.02
417,-237.63
418,-147.79
419,-137.23
420,-178.0
421,-190.4
422,-170.24
423,-174.85
424,-178.41
425,-122.82
426,-143.93
427,-183.92
428,-364.1
429,-130.85
430,-149.58
431,-219.17
432,-132.11
433,-164.57
434,-248.5
435,-186.92
436,-230.82
437,-154.17
438,-113.35
439,-128.62
440,-281.35
441,-144.75
442,-159.57
443,-181.72
444,-161.39
445,-157.24
446,-211.36
447,-187.42
448,-226.84
449,-261.46
450,-243.61
451,-294.71
452,-358.89
453,-136.31
454,-163.85
455,-165.15
456,-198.47
457,-259.01
458,-160.19
459,-134.97
460,-171.88
461,-198.09
462,-143.38
463,-138.04
464,-251.49
465,-106.98
466,-166.23
467,-369.02
468,-326.96
469,-157.97
470,-219.32
471,-172.69
472,-148.5
473,-120.09
474,-132.01
475,-164.76
476,-132.96
477,-294.9
478,-32.89
479,-358.86
480,-168.8
481,-148.34
482,-401.26
483,-170.3
484,-158.48
485,-333.53
486,-319.19
487,-383.35
488,-173.76
489,-429.2
490,-355.9
491,-134.3
492,-123.96
493,-186.08
494,-168.55
495,-170.55
496,-169.97
497,-32.69
498,-165.98
499,-305.9
500,-231.6
501,-186.32
502,-134.81
503,-179.15
504,-48.55
505,-319.96
506,-68.27
507,-233.89
508,-202.42
509,-111.11
510,-159.09
511,-169.68
512,-266.07
513,-177.47
514,-160.31
515,-143.36
516,-200.06
517,-164.33
518,-162.58
519,-182.79
520,-109.63
521,-152.88
522,-368.72
523,-35.48
524,-156.62
525,-50.6
526,-216.51
527,-201.36
528,-178.53
529,-307.98
530,-164.95
531,-232.66
532,-135.36
533,-151.2
534,-141.22
535,-150.87
536,-303.72
537,-158.44
538,-395.27
539,-169.98
540,-234.64
541,-337.42
542,-188.78
543,-168.03
544,-289.35
545,-141.09
546,-218.75
547,-233.22
548,-155.44
549,-176.32
550,-142.96
551,-271.8
552,-259.96
553,-144.6
554,-45.7
555,-156.01
556,-201.84
557,-116.9
558,-142.23
559,-158.71
560,-127.19
561,-378.46
562,-150.97
563,-458.34
564,-179.45
565,-176.24
566,-255.7
567,-107.53
568,-35.45
569,-136.78
570,-175.7
571,-164.01
572,-154.77
573,-162.85
574,-149.44
575,-134.45
576,-332.27
