Ep,Ep_r,epsilon
0,-122.682656,1.0
1,-217.481872,1.0
2,-401.335379,1.0
3,-159.753687,1.0
4,-179.527629,1.0
5,-178.267228,1.0
6,-186.260183,1.0
7,-113.501266,1.0
8,-218.282235,1.0
9,-167.915872,1.0
10,-345.267304,1.0
11,-262.967871,1.0
12,-283.262179,1.0
13,-310.021304,1.0
14,-119.613513,1.0
15,-145.229516,1.0
16,-125.07833,1.0
17,-224.459593,1.0
18,-243.208768,1.0
19,-251.17701,1.0
20,-153.122632,1.0
21,-77.684116,1.0
22,-149.47901,1.0
23,-223.580886,1.0
24,-254.944186,1.0
25,-129.713092,1.0
26,-275.778552,1.0
27,-455.545963,1.0
28,-316.643892,1.0
29,-381.893297,1.0
30,-212.916975,1.0
31,-171.241652,1.0
32,-158.06267,1.0
33,-475.39011,1.0
34,-286.572154,1.0
35,-180.386993,1.0
36,-199.209222,1.0
37,-225.429708,1.0
38,-359.833336,1.0
39,-155.68931,1.0
40,-411.18238,1.0
41,-421.236971,1.0
42,-140.193626,1.0
43,-323.198137,1.0
44,-138.363923,1.0
45,-137.584814,1.0
46,-141.825723,1.0
47,-133.152259,1.0
48,-185.459192,1.0
49,-174.912715,1.0
50,-143.528802,1.0
51,-221.607912,1.0
52,-140.475445,1.0
53,-265.688722,1.0
54,-135.611346,1.0
55,-266.167773,1.0
56,-402.750378,1.0
57,-309.466503,1.0
58,-149.492378,1.0
59,-231.061256,1.0
60,-134.580237,1.0
61,-64.380158,1.0
62,-55.968094,1.0
63,-326.717718,1.0
64,-142.164388,1.0
65,-166.409665,1.0
66,-271.323919,1.0
67,-304.682212,1.0
68,-19.282207,1.0
69,-259.540084,1.0
70,-178.580203,1.0
71,-126.025184,1.0
72,-166.79349,1.0
73,-169.72501,1.0
74,-166.006123,1.0
75,-152.564877,1.0
76,-186.296978,1.0
77,-337.475234,1.0
78,-168.442393,1.0
79,-125.38745,1.0
80,-239.052884,1.0
81,-281.435337,1.0
82,-143.358329,1.0
83,-165.201314,1.0
84,-45.866231,1.0
85,-131.511398,1.0
86,-131.055008,1.0
87,-259.329979,1.0
88,-163.322771,1.0
89,-288.602518,1.0
90,-215.610694,1.0
91,-172.342251,1.0
92,-291.770175,1.0
93,-184.487042,1.0
94,-571.683735,1.0
95,-158.517741,1.0
96,-339.537388,1.0
97,-183.174378,1.0
98,-108.314748,1.0
99,-346.248646,1.0
100,-179.27313,1.0
101,-412.75662,1.0
102,-179.65249,1.0
103,-161.82753,1.0
104,-164.360031,1.0
105,-205.320906,1.0
106,-263.219968,1.0
107,-270.181378,1.0
108,-206.939258,1.0
109,-335.200677,1.0
110,-193.239433,1.0
111,-148.558234,1.0
112,-320.230659,1.0
113,-191.712378,1.0
114,-89.069174,1.0
115,-453.290094,1.0
116,-176.455624,1.0
117,-170.681583,1.0
118,-154.119912,1.0
119,-123.265716,1.0
120,-164.673155,1.0
121,-486.663768,1.0
122,-166.906897,1.0
123,-282.629942,1.0
124,-107.640947,1.0
125,-184.364131,1.0
126,-336.893752,1.0
127,-252.321591,1.0
128,-164.426434,1.0
129,-146.131699,1.0
130,-155.018116,1.0
131,-152.942817,1.0
132,-196.951964,1.0
133,-349.344069,1.0
134,-121.245587,1.0
135,-295.416834,1.0
136,-216.880176,1.0
137,-153.343346,0.999683
138,-160.880694,0.999367
139,-56.473739,0.99905
140,-248.649792,0.998734
141,-452.839009,0.998418
142,-170.310736,0.998102
143,-104.056171,0.997786
144,-162.838964,0.99747
145,-140.813259,0.997154
146,-360.568971,0.996839
147,-177.099621,0.996523
148,-358.345386,0.996208
149,-292.620231,0.995892
150,-185.150349,0.995577
151,-198.007369,0.995262
152,-239.185605,0.994947
153,-175.281905,0.994632
154,-158.497442,0.994317
155,-110.733656,0.994002
156,-287.982092,0.993688
157,-418.124847,0.993373
158,-334.266071,0.993059
159,-176.713266,0.992745
160,-175.651384,0.99243
161,-70.548535,0.992116
162,-400.645299,0.991802
163,-282.374436,0.991488
164,-157.396723,0.991175
165,-170.767012,0.990861
166,-180.81927,0.990547
167,-130.893331,0.990234
168,-162.646592,0.989921
169,-396.872029,0.989607
170,-144.245369,0.989294
171,-327.339623,0.988981
172,-166.187702,0.988668
173,-267.809905,0.988355
174,-218.552206,0.988043
175,-404.774369,0.98773
176,-282.519707,0.987417
177,-331.358243,0.987105
178,-148.042916,0.986793
179,-331.092295,0.98648
180,-126.286821,0.986168
181,-350.930373,0.985856
182,-168.978202,0.985544
183,-426.721801,0.985233
184,-214.471463,0.984921
