Ep,Ep_r
0,-167.07
1,-140.83
2,-113.03
3,-132.87
4,-303.48
5,-124.9
6,-138.55
7,-344.84
8,-523.61
9,-204.36
10,-327.31
11,-136.55
12,-142.54
13,-101.55
14,-164.68
15,-326.2
16,-374.79
17,-168.62
18,-267.54
19,-73.29
20,-191.89
21,-163.03
22,-262.13
23,-231.63
24,-176.8
25,-159.36
26,-173.84
27,-195.61
28,-127.32
29,-165.57
30,-281.71
31,-420.1
32,-324.3
33,-360.99
34,-176.26
35,-141.66
36,-164.18
37,-160.99
38,-344.14
39,-139.23
40,-158.93
41,-122.96
42,-156.14
43,-177.19
44,-256.78
45,-155.82
46,-106.7
47,-149.13
48,-259.99
49,-44.72
50,-182.07
51,-184.75
52,-289.81
53,-192.94
54,-308.66
55,-163.83
56,-144.25
57,-278.19
58,-460.27
59,-321.92
60,-121.33
61,-167.43
62,-183.88
63,-151.63
64,-149.81
65,-165.66
66,-293.82
67,-278.39
68,-428.29
69,-169.71
70,-218.41
71,-284.01
72,-392.89
73,-266.4
74,-157.54
75,-232.28
76,-184.78
77,-187.76
78,-131.28
79,-73.58
80,-7.78
81,-432.34
82,-297.04
83,-191.42
84,-180.0
85,-233.11
86,-370.56
87,-452.64
88,-39.39
89,-211.28
90,-355.19
91,-360.79
92,-503.73
93,-112.38
94,-248.1
95,-143.56
96,-414.27
97,-201.46
98,-348.84
99,-278.74
100,-331.46
101,-279.17
102,-114.17
103,-314.63
104,-159.0
105,-297.79
106,-198.14
107,-161.67
108,-174.02
109,-172.11
110,-254.99
111,-372.37
112,-152.06
113,-147.2
114,-266.28
115,-95.87
116,-350.15
117,-323.68
118,-192.03
119,-178.94
120,-163.91
121,-249.28
122,-312.89
123,-114.83
124,-506.57
125,-165.9
126,-144.01
127,-349.29
128,-182.96
129,-271.81
130,-98.91
131,-14.01
132,-265.92
133,-369.9
134,-122.68
135,-147.07
136,-357.07
137,-420.61
138,-168.0
139,-189.55
140,-141.02
141,-198.98
142,-213.29
143,-115.84
144,-209.62
145,-516.66
146,-242.23
147,-175.47
148,-139.17
149,-177.78
150,-322.11
151,-156.94
152,-191.18
153,-179.53
154,-249.72
155,-254.42
156,-355.21
157,-472.39
158,-163.0
159,-365.49
160,-180.79
161,-166.14
162,-268.68
163,-197.59
164,-381.91
165,-160.54
166,-109.08
167,-118.84
168,-192.58
169,-168.84
170,-173.63
171,-138.32
172,-126.96
173,-390.58
174,-380.53
175,-168.07
176,-501.84
177,-202.49
178,-178.58
179,-160.7
180,-267.47
181,-123.93
182,-64.46
183,-383.77
184,-141.79
185,-92.81
186,-223.18
187,-409.83
188,-178.91
189,-246.37
190,-157.45
191,-277.68
192,-192.92
193,-220.52
194,-153.76
195,-161.92
196,-130.39
197,-222.91
198,-317.01
199,-96.64
200,-289.49
201,-142.62
202,-193.04
203,-263.16
204,-116.64
205,-411.74
206,-118.58
207,-199.5
208,-128.71
209,-257.79
210,-296.92
211,-335.95
212,-246.76
213,-125.83
214,-284.81
215,-216.69
216,-216.66
217,-145.31
218,-177.49
219,-276.07
220,-125.75
221,-159.85
222,-204.13
223,-170.21
224,-146.7
225,-53.31
226,-135.38
227,-371.59
228,-167.04
229,-181.86
230,-294.52
231,-168.99
232,-146.09
233,-154.51
234,-134.34
235,-115.4
236,-195.68
237,-222.35
238,-245.19
239,-176.94
240,-203.31
241,-167.37
242,-196.28
243,-173.49
244,-117.33
245,-403.14
246,-151.58
247,-188.53
248,-141.98
249,-159.9
250,-141.77
251,-245.09
252,-507.8
253,-454.8
254,-437.83
255,-122.24
256,-330.47
257,-163.38
258,-128.97
259,-330.42
260,-416.65
261,-250.87
262,-100.91
263,-256.8
264,-285.87
265,-350.02
266,-152.64
267,-199.43
268,-413.9
269,-499.35
270,-136.03
271,-149.22
272,-125.89
273,-421.48
274,-100.62
275,-484.46
276,-154.26
277,-160.19
278,-159.37
279,-345.94
280,-110.63
281,-142.18
282,-160.54
283,-147.67
284,-162.38
285,-219.09
286,-192.52
287,-110.83
288,-457.65
289,-206.99
290,-220.31
291,-133.75
292,-278.87
293,-150.66
294,-231.61
295,-141.04
296,-241.75
297,-90.72
298,-344.82
299,-204.5
300,-252.03
301,-367.19
302,-114.43
303,-205.77
304,-158.96
305,-162.69
306,-363.97
307,-342.98
308,-185.89
309,-182.29
310,-186.16
311,-205.26
312,-422.12
313,-151.95
314,-173.41
315,-140.13
316,-185.7
317,-186.29
318,-419.39
319,-47.71
320,-257.34
321,-199.37
322,-489.74
323,-165.24
324,-329.24
325,-174.44
326,-162.71
327,-191.3
328,-193.75
329,-185.51
330,-166.86
331,-103.1
332,-320.74
333,-249.38
334,-176.81
335,-203.56
336,-376.13
337,-129.96
338,-164.55
339,-37.79
340,-157.24
341,-152.64
342,-128.02
343,-133.27
344,-149.53
345,-148.0
346,-131.52
347,-182.15
348,-152.41
349,-148.07
350,-143.09
351,-173.73
352,-203.25
353,-373.06
354,-133.14
355,-201.15
356,-256.83
357,-143.65
358,-258.38
359,-188.08
360,-262.06
361,-155.32
362,-176.82
363,-218.42
364,-109.82
365,-335.67
366,-130.64
367,-197.11
368,-297.89
369,-324.03
370,-212.26
371,-178.55
372,-196.98
373,-164.15
374,-165.18
375,-214.96
376,-261.28
377,-202.31
378,-472.09
379,-227.92
380,-168.14
381,-119.27
382,-18.15
383,-468.31
384,-150.33
385,-226.81
386,-179.97
387,-160.84
388,3.2
389,-377.91
390,-226.17
391,-159.07
392,-141.93
393,-157.03
394,-119.17
395,-374.31
396,-392.08
397,-161.51
398,-392.86
399,-241.32
400,-165.61
401,-206.82
402,-144.71
403,-421.14
404,-373.2
405,-382.9
406,-300.9
407,-92.56
408,-471.28
409,-162.74
410,-225.49
411,-134.12
412,-212.55
413,-162.58
414,-183.72
415,-146.2
416,-154.12
417,-144.89
418,-218.46
419,-132.6
420,-170.24
421,-197.65
422,-267.48
423,-175.65
424,-135.95
425,-171.89
426,-180.29
427,-149.96
428,-255.85
429,-457.5
430,-177.13
431,-175.3
432,-241.16
433,-271.93
434,-579.99
435,-147.85
436,-154.08
437,-212.15
438,-142.32
439,-144.49
440,-386.12
441,-172.35
442,-183.04
443,-267.49
444,-226.1
445,-229.98
446,-289.58
447,-268.23
448,-302.46
449,-286.3
450,-249.71
451,-148.95
452,-194.65
453,-161.65
454,-427.81
455,-402.37
456,-178.78
457,-108.73
458,-134.56
459,-139.74
460,-181.54
461,-353.23
462,-149.68
463,-177.37
464,-339.12
465,-244.91
466,-472.71
467,-138.03
468,-149.46
469,-142.5
470,-178.33
471,-312.06
472,-235.96
473,-324.02
474,-155.61
475,-132.38
476,-163.54
477,-147.3
478,-158.04
479,-285.05
480,-185.72
481,-447.48
482,-407.98
483,-128.67
484,-239.75
485,-156.98
486,-354.88
487,-298.38
488,-207.46
489,-197.5
490,-190.5
491,-115.54
492,-147.47
493,-156.5
494,-203.35
495,-136.72
496,-158.42
497,-56.15
498,-189.36
499,-90.82
500,-306.97
501,-136.0
502,-135.82
503,-179.07
504,-275.03
505,-164.66
506,-205.19
507,-183.98
508,-411.77
509,-239.81
510,-272.19
511,-80.69
512,-204.76
513,-338.74
514,-194.23
515,-310.09
516,-312.27
517,-138.99
518,-265.24
519,-156.71
520,-154.52
521,-184.38
522,-147.34
523,-142.63
524,-262.95
525,-270.61
526,-109.9
527,-191.25
528,-579.51
529,-173.41
530,-194.47
531,-243.3
532,-193.54
533,-147.16
534,-183.42
535,-161.53
536,-176.26
537,-166.51
538,-280.3
539,-251.02
540,-163.98
541,-157.17
542,-296.26
543,-244.47
544,-40.14
545,-137.84
546,-160.52
547,-195.48
548,-163.35
549,-139.75
550,-186.7
551,-172.4
552,-242.07
553,-224.41
554,-153.7
555,-191.43
556,-166.45
557,-130.51
558,-173.22
559,-157.74
560,-321.2
561,-283.17
562,-182.92
563,-160.22
564,-228.27
565,-85.6
566,-140.31
567,-185.13
568,-150.34
569,-339.06
570,-168.33
571,-176.7
572,-139.91
573,-354.5
574,-199.5
575,-197.71
576,-178.73
577,-271.18
578,-207.0
579,-303.1
580,-390.81
581,-197.92
582,-160.89
583,-244.74
584,-149.0
585,-188.09
586,-228.65
587,-127.46
588,-343.43
589,-220.61
590,-171.07
591,-293.23
592,-174.32
593,-166.83
594,-295.79
595,-264.2
596,-315.72
597,-239.55
598,-173.4
599,-128.8
600,-149.8
601,-210.33
602,-267.7
603,-176.45
604,-234.77
605,-333.89
606,-240.37
607,-335.05
608,-201.41
609,-223.26
610,-181.24
611,-295.19
612,-158.76
613,-167.21
614,-148.56
615,-269.91
616,-286.05
617,-198.68
618,-204.19
619,-152.37
620,-339.92
621,-385.29
622,-164.45
623,-222.62
624,-153.34
625,-157.46
626,-191.9
627,-416.46
628,-302.94
629,-447.2
630,-295.53
631,-235.69
632,-237.34
633,-228.98
634,-155.48
635,-190.38
636,-72.06
637,-131.87
638,-339.43
639,-224.56
640,-316.3
641,-342.58
642,-130.76
643,-444.48
644,-194.29
645,-301.12
646,-175.79
647,-263.62
648,-100.61
649,-166.52
650,-254.09
651,-259.84
652,-173.65
653,-177.05
654,-135.01
655,-188.63
656,-206.79
657,-234.12
658,-143.85
659,-262.89
660,-221.18
661,-176.27
662,-116.14
663,-287.69
664,-154.77
665,-145.62
666,-156.93
667,-245.33
668,-149.89
669,-126.66
670,-220.52
671,-236.2
672,-452.07
673,-164.99
674,-371.73
675,-146.71
676,-167.11
677,-140.38
678,-432.43
679,-262.21
680,-308.04
681,-51.96
682,-237.14
683,-130.35
684,-90.91
685,-173.81
686,-203.91
687,-175.71
688,-180.89
689,-301.91
690,-42.3
691,-191.57
692,-173.64
693,-206.23
694,-241.66
695,-19.89
696,-218.44
697,-222.06
698,-171.89
699,-159.11
700,-161.09
701,-180.88
702,-71.95
703,-203.57
704,-307.18
705,-184.24
706,-459.19
707,-142.22
708,-154.39
709,-276.21
710,-155.83
711,-183.67
712,-154.56
713,-51.32
714,-108.72
715,-167.86
716,-164.0
717,-186.78
718,-225.96
719,-148.41
720,-309.75
721,-201.71
722,-165.23
723,-199.75
724,-193.51
725,-158.92
726,-133.95
727,-149.8
728,-172.07
729,-206.37
730,-129.39
731,-202.66
732,-145.34
733,-189.48
734,-133.53
735,-99.85
736,-206.17
737,-219.7
738,-174.71
739,-173.08
740,-162.89
741,-310.2
742,-526.44
743,-162.41
744,-183.98
745,-229.42
746,-198.77
747,-311.59
748,-148.86
749,-165.35
750,-181.93
751,-12.95
752,-147.87
753,-237.62
754,-198.42
755,-158.52
756,-211.91
757,-168.29
758,-155.76
759,-116.3
760,-17.32
761,-152.54
762,-432.08
763,-120.58
764,-307.57
765,-197.27
766,-181.44
767,-261.63
768,-205.44
769,-215.7
770,-193.07
771,-122.48
772,-191.22
773,-245.91
774,-178.53
775,-205.01
776,-134.09
777,-140.06
778,-123.38
779,-163.59
780,-275.29
781,-186.79
782,-136.59
783,-151.26
784,-203.73
785,-218.49
786,-210.2
787,-184.58
788,-239.83
789,-127.34
790,-33.63
791,-173.34
792,-34.73
793,-250.31
794,-226.1
795,-150.12
796,-143.78
797,-164.12
798,-300.93
799,-196.61
800,-360.7
801,-352.01
802,-195.69
803,-227.13
804,-120.24
805,-142.78
806,-270.03
807,-169.51
808,-133.27
809,-211.73
810,-178.9
811,-161.48
812,-144.44
813,-292.68
814,-313.19
815,-188.0
816,-110.34
817,-401.32
818,-170.83
819,-127.02
820,-183.49
821,-175.18
822,-367.92
823,-344.25
824,-340.42
825,-159.44
826,-249.9
827,-438.95
828,-245.22
829,-143.97
830,-197.87
831,-58.81
832,-140.86
833,-167.47
834,-189.72
835,-196.2
836,-206.22
837,-210.06
838,-166.19
839,-127.56
840,-132.03
841,-159.47
842,-159.18
843,-292.67
844,-163.91
845,-166.48
846,-218.88
847,-200.92
848,-289.46
849,-234.71
850,-135.21
851,-149.79
852,-126.63
853,-150.82
854,-103.7
855,-121.76
856,-180.91
857,-189.57
858,-282.38
859,-357.72
860,-183.41
861,-179.25
862,-147.72
863,-160.63
864,-162.3
865,-384.37
866,-206.05
867,-357.16
868,-360.35
869,-150.36
870,-244.13
871,-161.79
872,7.45
873,-141.23
874,-205.83
875,-245.35
876,-211.08
877,-182.07
878,-261.73
879,-129.41
880,-221.76
881,-219.99
882,-131.31
883,-196.66
884,-247.96
885,-256.23
886,-225.93
887,-285.96
888,-179.65
889,-412.21
890,-149.62
891,-172.78
892,-153.23
893,-170.26
894,-147.58
895,-124.57
896,-170.55
897,-176.0
898,-153.29
899,-130.95
900,-289.53
901,-194.12
