Ep,Ep_r,epsilon
0,-111.790156,1.0
1,-96.225939,1.0
2,-212.640566,1.0
3,-162.478238,1.0
4,-144.411165,1.0
5,-201.350905,1.0
6,-171.69576,1.0
7,-249.015881,1.0
8,-186.823684,1.0
9,-469.6733,1.0
10,-134.82756,1.0
11,-397.176413,1.0
12,-173.571437,1.0
13,-198.707963,1.0
14,-202.902681,1.0
15,-326.198742,1.0
16,-165.827511,1.0
17,-457.933051,1.0
18,-260.012048,1.0
19,-180.900652,1.0
20,-111.530526,1.0
21,-130.05938,1.0
22,-186.763393,1.0
23,-146.206158,1.0
24,-325.864538,1.0
25,-284.506078,1.0
26,-143.495428,1.0
27,-144.501684,1.0
28,-129.049783,1.0
29,-132.151055,1.0
30,-158.599933,1.0
31,-138.306089,1.0
32,-182.078549,1.0
33,-150.06856,1.0
34,-165.496841,1.0
35,-270.467048,1.0
36,-225.878174,1.0
37,-169.323168,1.0
38,-406.809086,1.0
39,-200.136692,1.0
40,-174.075961,1.0
41,-382.820438,1.0
42,-150.465658,1.0
43,-59.142334,1.0
44,-460.035066,1.0
45,-205.289956,1.0
46,-404.786735,1.0
47,-161.68392,1.0
48,-47.562847,1.0
49,-144.997688,1.0
50,-222.024094,1.0
51,-486.636785,1.0
52,-398.314183,1.0
53,-172.104195,1.0
54,-141.351423,1.0
55,-92.459048,1.0
56,-188.656079,1.0
57,-173.362616,1.0
58,-156.591368,1.0
59,-146.006773,1.0
60,-309.851251,1.0
61,-216.430338,1.0
62,-190.367152,1.0
63,-235.388461,1.0
64,-393.854799,1.0
65,-155.276889,1.0
66,-132.323421,1.0
67,-226.969262,1.0
68,-428.267026,1.0
69,-205.475138,1.0
70,-428.608531,1.0
71,-167.747195,1.0
72,-372.448631,1.0
73,-178.008837,1.0
74,-165.025421,1.0
75,-270.504417,1.0
76,-132.891448,1.0
77,-200.26614,1.0
78,-130.115838,1.0
79,-258.13436,1.0
80,-131.994047,1.0
81,-211.120144,1.0
82,-278.125331,1.0
83,-137.903357,1.0
84,-158.558143,1.0
85,-187.955245,1.0
86,-134.019972,1.0
87,-404.150463,1.0
88,-258.126316,1.0
89,-165.02555,1.0
90,-270.221282,1.0
91,-202.508604,1.0
92,-157.443574,1.0
93,-31.482638,1.0
94,-45.071392,1.0
95,-152.216494,1.0
96,-263.630872,1.0
97,-159.492924,1.0
98,-337.61788,1.0
99,-124.812451,1.0
100,-342.773878,1.0
101,-177.440453,1.0
102,-136.90658,1.0
103,-196.742057,1.0
104,-176.48246,1.0
105,-123.869754,1.0
106,-297.889753,1.0
107,-419.920483,1.0
108,-314.218309,1.0
109,-401.606225,1.0
110,-229.366319,1.0
111,-116.971022,1.0
112,-177.930361,1.0
113,-232.756561,1.0
114,-104.844288,1.0
115,-112.831885,1.0
116,-274.409868,1.0
117,-377.947543,1.0
118,-112.884367,1.0
119,-203.134673,1.0
120,-182.323849,1.0
121,-201.903451,1.0
122,-217.758018,1.0
123,-170.441445,1.0
124,-260.060831,1.0
125,-112.644407,1.0
126,-138.903203,1.0
127,-437.371579,1.0
128,-173.488875,1.0
129,-147.853755,1.0
130,-478.677633,1.0
131,-286.26126,1.0
132,-382.895764,1.0
133,-198.133341,0.994164
134,-264.319426,0.988363
135,-186.76682,0.982595
136,-371.898458,0.976862
137,-345.776527,0.971161
138,-263.608646,0.965495
139,-159.835461,0.959861
140,-243.913536,0.954261
141,-91.73101,0.948694
142,-305.315126,0.943159
143,-370.088408,0.937656
144,-228.967861,0.932186
145,-359.618793,0.926748
146,-197.423399,0.921342
147,-165.28706,0.915968
148,-236.991904,0.910625
149,-360.357271,0.905313
150,-253.697881,0.900033
151,-112.91075,0.894783
152,-170.581024,0.889565
153,-99.766349,0.884377
154,-335.284359,0.879219
155,-168.718691,0.874092
156,-191.688034,0.868994
157,-115.791773,0.863927
158,-99.376279,0.858889
159,-250.277518,0.853881
160,-142.301273,0.848902
161,-151.941381,0.843953
162,-197.862136,0.839032
163,-436.805295,0.834141
164,-173.062556,0.829278
165,-119.849502,0.824443
166,-169.030305,0.819637
167,-240.071472,0.814859
168,-157.838947,0.810109
169,-179.452906,0.805387
170,-119.133624,0.800693
171,-166.150279,0.796026
172,-80.999354,0.791387
173,-113.764263,0.786774
174,-129.76172,0.782189
175,-95.036174,0.777631
176,-74.293348,0.773099
177,-324.697995,0.768594
178,-102.569431,0.764116
179,-116.110514,0.759664
180,-93.137595,0.755237
181,-99.138551,0.750837
182,-112.521181,0.746463
183,-96.633792,0.742114
184,-84.454004,0.737791
185,-265.052851,0.733493
186,-221.98843,0.72922
187,-208.019569,0.724973
188,-188.524476,0.72075
189,-155.241563,0.716552
190,-91.664427,0.712379
191,-48.435364,0.70823
192,-67.131407,0.704105
193,-143.151389,0.700005
194,-101.877841,0.695929
195,-143.302683,0.691876
196,-35.022116,0.687848
197,-95.895067,0.683843
198,-148.844724,0.679861
199,-120.011126,0.675903
200,-139.745324,0.671968
201,-106.667745,0.668057
202,-252.447525,0.664168
203,-121.147615,0.660302
204,-81.925846,0.656458
205,-127.216604,0.652637
206,-96.967165,0.648839
207,-111.83088,0.645063
208,-112.770334,0.641309
209,-102.47042,0.637577
210,-194.235274,0.633867
211,-189.104224,0.630178
212,-89.124947,0.626512
213,-145.24334,0.622866
214,-136.678951,0.619242
215,-51.292952,0.61564
216,-136.443682,0.612058
217,-62.308483,0.608498
218,-100.883209,0.604958
219,-119.275912,0.60144
220,-151.779363,0.597941
221,-72.248954,0.594464
222,-314.998157,0.591007
223,-74.14198,0.58757
224,-99.114576,0.584153
225,-136.854056,0.580756
226,-105.083371,0.577379
227,-73.121248,0.574022
228,-130.967504,0.570685
229,-110.458868,0.567367
230,-93.825726,0.564069
231,-53.288331,0.56079
232,-76.066593,0.55753
233,-15.354985,0.554289
234,-41.684066,0.551068
235,-97.541796,0.547865
236,-129.207514,0.544681
237,-85.324028,0.541516
238,-57.396915,0.538369
239,-123.082211,0.535241
240,-140.916357,0.532131
241,-114.016798,0.529039
242,-129.937468,0.525966
243,-59.470665,0.52291
244,-41.968384,0.519872
245,-175.999444,0.516853
246,-40.74308,0.513851
247,-68.965791,0.510866
248,-175.451814,0.507899
249,-72.801479,0.50495
250,-128.956601,0.502017
251,-104.120273,0.499102
252,-108.33621,0.496204
