Ep,Ep_r,epsilon
0,-319.7077,1.0
1,-182.068872,1.0
2,-158.154861,1.0
3,-44.424007,1.0
4,-358.399528,1.0
5,-346.434161,1.0
6,-409.465635,1.0
7,-194.647787,1.0
8,-225.264164,1.0
9,-136.683052,1.0
10,-166.016527,1.0
11,-389.601691,1.0
12,-180.855715,1.0
13,-199.348613,1.0
14,-389.396255,1.0
15,-97.968142,1.0
16,-146.3829,1.0
17,-123.476372,1.0
18,-443.815966,1.0
19,-238.39147,1.0
20,-172.143171,1.0
21,-268.348544,1.0
22,-399.545244,1.0
23,-314.058859,1.0
24,-343.368562,1.0
25,-299.902886,1.0
26,-263.84705,1.0
27,-142.904186,1.0
28,-102.738669,1.0
29,-382.411999,1.0
30,-116.610904,1.0
31,-370.470225,1.0
32,-359.288941,1.0
33,-147.645637,1.0
34,-150.24178,1.0
35,-174.443314,1.0
36,-171.811542,1.0
37,-140.299567,1.0
38,-214.025831,1.0
39,-203.144605,1.0
40,-199.851754,1.0
41,-241.165134,1.0
42,-366.656064,1.0
43,-168.370714,1.0
44,-382.566595,1.0
45,-203.162152,1.0
46,-217.076187,1.0
47,-156.214892,1.0
48,-367.941976,1.0
49,-131.609212,1.0
50,-207.346346,1.0
51,-266.602803,1.0
52,-245.683921,1.0
53,-321.431361,1.0
54,-65.952603,1.0
55,-219.136627,1.0
56,-164.209779,1.0
57,-154.527024,1.0
58,-328.564564,1.0
59,-155.55601,1.0
60,-188.24245,1.0
61,-159.84904,1.0
62,-203.343918,1.0
63,-161.815735,1.0
64,-173.355257,1.0
65,-142.495351,1.0
66,-133.57852,1.0
67,-339.636246,1.0
68,-259.141535,1.0
69,-225.805501,1.0
70,-558.033473,1.0
71,-22.093783,1.0
72,-114.491592,1.0
73,-219.718273,1.0
74,-93.049366,1.0
75,-139.468837,1.0
76,-147.911563,1.0
77,-138.409848,1.0
78,-247.754281,1.0
79,-207.404832,1.0
80,-373.779577,1.0
81,-137.21381,1.0
82,-133.040369,1.0
83,-476.902055,1.0
84,-186.260421,1.0
85,-168.200256,1.0
86,-488.802576,1.0
87,-135.551173,1.0
88,-382.308713,1.0
89,-130.220916,1.0
90,-148.114946,1.0
91,-157.11193,1.0
92,-167.024682,1.0
93,-155.894071,1.0
94,-313.218099,1.0
95,-210.21574,1.0
96,-285.069211,1.0
97,-122.575737,1.0
98,-184.035015,1.0
99,-547.910605,1.0
100,-157.978495,1.0
101,-166.414617,1.0
102,-143.927731,1.0
103,-318.512387,1.0
104,-299.884271,1.0
105,-196.068856,1.0
106,-183.752196,1.0
107,-184.507876,1.0
108,-129.616049,1.0
109,-137.317829,1.0
110,-174.181746,1.0
111,-145.561371,1.0
112,-380.181261,1.0
113,-359.746246,1.0
114,-323.544233,1.0
115,-371.71717,1.0
116,-277.050369,1.0
117,-153.202447,1.0
118,-161.911372,1.0
119,-196.224135,1.0
120,-218.378635,1.0
121,-193.606438,1.0
122,-199.733701,1.0
123,-214.637106,1.0
124,-133.883663,1.0
125,-167.335671,1.0
126,-373.245698,1.0
127,-143.49246,1.0
128,-314.636974,1.0
129,-131.530004,1.0
130,-366.42831,1.0
131,-175.63587,0.994164
132,-116.823686,0.988363
133,-172.285742,0.982595
134,-353.55886,0.976862
135,-194.184659,0.971161
136,-381.180591,0.965495
137,-204.690766,0.959861
138,-328.833564,0.954261
139,-337.786454,0.948694
140,-122.604251,0.943159
141,-193.655804,0.937656
142,-240.43041,0.932186
143,-264.419656,0.926748
144,-193.359967,0.921342
145,-186.309061,0.915968
146,-146.561238,0.910625
147,-157.534082,0.905313
148,-194.402434,0.900033
149,-281.706689,0.894783
150,-218.798863,0.889565
151,-348.334957,0.884377
152,-83.425028,0.879219
153,-250.99242,0.874092
154,-310.803671,0.868994
155,-173.181139,0.863927
156,-206.514488,0.858889
157,-46.523507,0.853881
158,-104.273251,0.848902
159,-122.327885,0.843953
160,-236.63007,0.839032
161,-121.106377,0.834141
162,-198.589183,0.829278
163,-79.079013,0.824443
164,-265.376511,0.819637
165,-393.469252,0.814859
166,-142.867365,0.810109
167,-198.09287,0.805387
168,-221.702325,0.800693
169,-126.970037,0.796026
170,-155.026473,0.791387
171,-184.957989,0.786774
172,-282.019842,0.782189
173,-159.440875,0.777631
174,-307.557042,0.773099
175,-121.956968,0.768594
176,-143.52842,0.764116
177,-97.838319,0.759664
178,-74.593954,0.755237
179,-160.216138,0.750837
180,-167.878294,0.746463
181,-368.412268,0.742114
182,-189.044753,0.737791
183,-201.376018,0.733493
184,-147.838731,0.72922
185,-50.219341,0.724973
186,-122.765078,0.72075
187,-114.611584,0.716552
188,-140.943293,0.712379
189,-168.872721,0.70823
190,-141.998533,0.704105
191,-119.46043,0.700005
192,-180.266197,0.695929
193,-242.771838,0.691876
194,-157.924474,0.687848
195,-143.604598,0.683843
196,-148.949709,0.679861
197,-119.210733,0.675903
198,-81.763387,0.671968
199,-187.84907,0.668057
200,-155.444929,0.664168
201,-139.738601,0.660302
202,-262.67529,0.656458
203,-6.598098,0.652637
204,-218.452648,0.648839
205,-132.207885,0.645063
206,-166.681664,0.641309
207,-87.341229,0.637577
208,-97.358782,0.633867
209,-123.71679,0.630178
210,-66.595782,0.626512
211,-109.3628,0.622866
212,-93.562157,0.619242
213,-116.511405,0.61564
214,-125.731224,0.612058
215,-59.618514,0.608498
216,-128.151915,0.604958
217,-2.338542,0.60144
218,-136.146838,0.597941
219,-125.612791,0.594464
220,-34.871717,0.591007
221,-89.805877,0.58757
222,-110.878935,0.584153
223,-78.169399,0.580756
224,-220.571652,0.577379
225,-121.311219,0.574022
226,-75.268822,0.570685
227,-51.593763,0.567367
228,-104.955857,0.564069
229,-80.285853,0.56079
230,-118.186029,0.55753
231,-101.966068,0.554289
232,-144.036161,0.551068
233,0.484481,0.547865
234,-92.600882,0.544681
235,-127.391189,0.541516
236,-150.33324,0.538369
237,-112.800646,0.535241
238,-106.03883,0.532131
239,-116.040295,0.529039
240,-146.786328,0.525966
241,-98.598345,0.52291
242,-123.217892,0.519872
243,-32.886316,0.516853
244,-102.77602,0.513851
245,-110.402611,0.510866
246,-66.127737,0.507899
247,-73.415754,0.50495
248,-193.02616,0.502017
249,-235.939771,0.499102
250,-120.511515,0.496204
251,-70.251208,0.493323
252,-350.847534,0.490459
253,-79.634241,0.487612
254,-98.970056,0.484782
255,-112.028249,0.481968
256,-328.282344,0.47917
257,-319.97103,0.476389
258,-172.309642,0.473624
259,-117.365666,0.470876
260,-281.4173,0.468143
261,-272.193145,0.465427
262,-22.194653,0.462727
263,-228.906978,0.460042
264,-134.608011,0.457373
265,-123.466915,0.45472
266,-198.55288,0.452082
267,-154.874635,0.44946
268,-103.915267,0.446853
269,-232.900752,0.444262
270,-368.060979,0.441686
271,-217.158678,0.439124
272,-243.883581,0.436578
273,-79.430439,0.434047
274,-134.446523,0.431531
275,-112.554047,0.429029
276,-216.754163,0.426542
277,-258.243373,0.42407
278,-133.959666,0.421612
279,-197.79884,0.419168
280,-194.383058,0.416739
281,-209.643929,0.414324
282,-162.862999,0.411923
283,-244.973918,0.409537
284,-213.315992,0.407164
285,-107.510278,0.404805
286,-230.910498,0.402461
287,-138.438313,0.400129
288,-188.209709,0.397812
289,-424.683265,0.395508
290,-315.49687,0.393218
291,-138.604978,0.390941
292,-227.292739,0.388677
293,-212.567064,0.386427
294,-209.974788,0.38419
295,-445.130108,0.381966
296,-168.385444,0.379755
297,-380.251851,0.377557
298,-373.016473,0.375372
299,-301.527744,0.3732
300,-122.538316,0.37104
301,-267.963454,0.368893
302,-356.844005,0.366759
303,-114.694485,0.364637
304,-198.174215,0.362528
305,-85.009853,0.360431
306,35.698116,0.358346
307,-333.839608,0.356274
308,-260.033675,0.354214
309,-184.745563,0.352165
310,-69.439602,0.350129
311,-98.011845,0.348105
312,-75.335692,0.346093
313,-67.924194,0.344092
314,-27.651505,0.342103
315,8.465989,0.340126
316,15.43125,0.338161
317,57.220796,0.336207
318,-22.080051,0.334264
319,-49.144846,0.332333
320,-135.216085,0.330413
321,-15.765691,0.328505
322,-93.607295,0.326607
323,-129.953878,0.324721
324,8.98007,0.322846
325,28.591922,0.320982
326,25.744248,0.319128
327,-58.182864,0.317286
328,-201.807838,0.315454
329,101.313843,0.313634
330,-231.514653,0.311823
331,-144.055796,0.310024
332,-54.561017,0.308235
333,14.85883,0.306456
334,-82.745645,0.304688
335,-43.494951,0.302931
336,31.916129,0.301183
337,-340.602912,0.299446
338,-138.662969,0.297719
339,-113.56946,0.296002
340,-277.699887,0.294295
341,5.418477,0.292599
342,-344.887252,0.290912
343,-130.359964,0.289235
344,-117.385908,0.287568
345,-143.052554,0.285911
346,-99.620823,0.284263
347,100.703957,0.282625
348,-7.013016,0.280997
349,-30.860069,0.279378
350,65.713137,0.277769
351,-259.70156,0.276169
352,7.596018,0.274579
353,-55.000733,0.272998
354,9.452636,0.271426
355,-214.209022,0.269863
356,-47.516337,0.26831
357,-369.058769,0.266765
358,-107.088304,0.26523
359,-39.138843,0.263704
360,-105.511994,0.262187
361,15.793789,0.260678
362,-23.956864,0.259179
363,-120.275672,0.257688
364,-109.025632,0.256206
365,213.536801,0.254732
366,-366.474849,0.253268
367,-318.819105,0.251812
368,-357.29366,0.250364
369,-233.255466,0.248925
370,-217.406119,0.247494
371,-263.261803,0.246072
372,-270.980027,0.244658
373,-131.955613,0.243252
374,-231.299093,0.241855
375,-108.781604,0.240466
376,-210.039891,0.239085
377,-276.470828,0.237712
378,55.899765,0.236347
379,-17.06697,0.23499
380,-290.991073,0.233641
381,-287.226841,0.2323
382,-445.048448,0.230967
383,-141.384391,0.229642
384,-389.239049,0.228324
385,-90.918049,0.227015
386,-353.630262,0.225712
387,-29.622672,0.224418
388,-651.369566,0.223131
389,-436.554446,0.221852
390,-563.858662,0.22058
391,-117.190169,0.219315
392,-125.147948,0.218058
393,-367.185011,0.216809
