Ep,Ep_r,epsilon
0,-372.345019,1.0
1,-360.394399,1.0
2,-235.230951,1.0
3,-150.095346,1.0
4,-126.411656,1.0
5,-172.050812,1.0
6,-232.386394,1.0
7,-392.373306,1.0
8,-145.008036,1.0
9,-196.967044,1.0
10,-154.962914,1.0
11,-154.845959,1.0
12,-173.455536,1.0
13,-195.93121,1.0
14,-116.697056,1.0
15,-178.893377,1.0
16,-246.368017,1.0
17,-201.167984,1.0
18,-183.360196,1.0
19,-505.872884,1.0
20,-127.303645,1.0
21,-115.450919,1.0
22,-340.438422,1.0
23,-371.521253,1.0
24,-290.987452,1.0
25,-185.86729,1.0
26,-128.526102,1.0
27,-206.775912,1.0
28,-117.53,1.0
29,-292.616046,1.0
30,-183.71926,1.0
31,-369.216928,1.0
32,-220.873767,1.0
33,-170.276309,1.0
34,-159.718357,1.0
35,-325.52557,1.0
36,-181.446348,1.0
37,-119.378596,1.0
38,-158.828694,1.0
39,-396.096279,1.0
40,-262.203392,1.0
41,-402.810723,1.0
42,-291.315596,1.0
43,-196.958149,1.0
44,-371.450775,1.0
45,-312.577928,1.0
46,-193.691707,1.0
47,-237.177723,1.0
48,-352.520191,1.0
49,-159.04365,1.0
50,-162.534835,1.0
51,-340.910795,1.0
52,-156.541375,1.0
53,-388.346275,1.0
54,-261.707257,1.0
55,-176.56983,1.0
56,-96.373467,1.0
57,-226.424027,1.0
58,-160.399657,1.0
59,-155.470445,1.0
60,-46.783025,1.0
61,-184.529738,1.0
62,-161.421093,1.0
63,-550.931686,1.0
64,-161.856196,1.0
65,-5.228423,1.0
66,-223.045356,1.0
67,-175.940904,1.0
68,-179.888398,1.0
69,-275.724061,1.0
70,-145.792802,1.0
71,-348.679177,1.0
72,-521.484934,1.0
73,-400.534189,1.0
74,-245.552404,1.0
75,-276.230392,1.0
76,-231.274346,1.0
77,-312.0203,1.0
78,-104.581572,1.0
79,-246.511694,1.0
80,-55.756611,1.0
81,-189.483561,1.0
82,-222.36688,1.0
83,-260.371072,1.0
84,-273.491974,1.0
85,-173.042904,1.0
86,-143.343435,1.0
87,-168.089545,1.0
88,-407.037508,1.0
89,-187.212673,1.0
90,-169.026541,1.0
91,-297.476865,1.0
92,-260.768807,1.0
93,-428.87426,1.0
94,-142.905346,1.0
95,-403.607128,1.0
96,-395.805592,1.0
97,-159.573456,1.0
98,-134.666085,1.0
99,-155.247098,1.0
100,-198.704863,1.0
101,-292.35136,1.0
102,-249.489235,1.0
103,-144.073116,1.0
104,-177.19353,1.0
105,-149.689981,1.0
106,-473.634558,1.0
107,-136.755143,1.0
108,-496.40473,1.0
109,-522.309122,1.0
110,-67.120989,1.0
111,-192.962306,1.0
112,-448.748857,1.0
113,-94.817532,1.0
114,-52.494579,1.0
115,-196.935453,1.0
116,-254.979835,1.0
117,-151.603823,1.0
118,-158.626009,1.0
119,-260.921444,1.0
120,-109.149575,1.0
121,-247.321734,1.0
122,-199.327181,1.0
123,-348.457743,1.0
124,-99.514454,1.0
125,-156.958255,1.0
126,-108.055659,1.0
127,-110.685511,1.0
128,-307.312438,1.0
129,-104.553222,0.994164
130,-158.032444,0.988363
131,-153.453733,0.982595
132,-220.388662,0.976862
133,-107.85979,0.971161
134,-200.852273,0.965495
135,-149.75885,0.959861
136,-179.548089,0.954261
137,-205.237531,0.948694
138,-253.769441,0.943159
139,-154.132018,0.937656
140,-256.474653,0.932186
141,-496.266233,0.926748
142,-254.461525,0.921342
143,-155.191831,0.915968
144,-340.847908,0.910625
145,-181.913127,0.905313
146,-329.636759,0.900033
147,-137.812753,0.894783
148,-548.072912,0.889565
149,-115.136782,0.884377
150,-228.612134,0.879219
151,-285.292488,0.874092
152,-263.068047,0.868994
153,-269.872215,0.863927
154,-143.963504,0.858889
155,-181.672692,0.853881
156,-403.433203,0.848902
157,-125.510966,0.843953
158,-276.766771,0.839032
159,-138.275164,0.834141
160,-260.663594,0.829278
161,-499.515539,0.824443
162,-212.842154,0.819637
163,-206.216589,0.814859
164,-252.427735,0.810109
165,-142.277472,0.805387
166,-152.157973,0.800693
167,-106.262318,0.796026
168,-79.587463,0.791387
169,-132.643041,0.786774
170,-189.421498,0.782189
171,-149.355382,0.777631
172,-223.005346,0.773099
173,-234.962391,0.768594
174,-533.476058,0.764116
175,-97.117629,0.759664
176,-203.651065,0.755237
177,-108.265804,0.750837
178,-253.049403,0.746463
179,-228.568774,0.742114
180,-135.584307,0.737791
181,-36.175311,0.733493
182,-127.846313,0.72922
183,-185.979135,0.724973
184,-114.21908,0.72075
185,-91.247469,0.716552
186,-176.474903,0.712379
187,-164.187206,0.70823
188,-149.387256,0.704105
189,-191.581432,0.700005
190,-115.650656,0.695929
191,-118.753269,0.691876
192,-162.274526,0.687848
193,-160.727754,0.683843
194,-146.57152,0.679861
195,-111.920356,0.675903
196,-102.283319,0.671968
197,-86.8421,0.668057
198,-50.258751,0.664168
199,-127.329431,0.660302
200,-59.456214,0.656458
201,-133.095263,0.652637
202,-175.599311,0.648839
203,-102.065661,0.645063
204,-263.501544,0.641309
205,-112.595498,0.637577
206,-103.815003,0.633867
207,-129.435229,0.630178
208,-99.332023,0.626512
209,-281.514972,0.622866
210,-46.023483,0.619242
211,-131.826053,0.61564
212,-68.026415,0.612058
213,-147.91521,0.608498
214,-107.405746,0.604958
215,-116.418459,0.60144
216,-55.112206,0.597941
217,-53.772426,0.594464
218,-73.870634,0.591007
219,-75.408266,0.58757
220,-122.712184,0.584153
221,-142.347114,0.580756
222,-122.079333,0.577379
223,-116.916279,0.574022
224,-96.967998,0.570685
225,-68.836725,0.567367
226,-42.594978,0.564069
227,-94.089781,0.56079
228,-174.483384,0.55753
229,-30.753687,0.554289
230,-61.628795,0.551068
231,-19.78358,0.547865
232,-109.374694,0.544681
233,-108.368367,0.541516
234,-145.729126,0.538369
235,-75.050052,0.535241
236,-165.952721,0.532131
237,-100.318151,0.529039
238,-167.513059,0.525966
239,-85.341193,0.52291
240,-42.910279,0.519872
241,-97.58347,0.516853
242,-141.341848,0.513851
243,-39.677983,0.510866
244,-147.270474,0.507899
245,-4.093883,0.50495
246,-100.190536,0.502017
247,-60.389093,0.499102
248,-76.326163,0.496204
249,-112.036004,0.493323
250,-134.061742,0.490459
251,-35.579018,0.487612
252,-544.078436,0.484782
253,-346.077633,0.481968
254,-221.288749,0.47917
255,-346.175055,0.476389
256,-339.199169,0.473624
257,-46.06626,0.470876
258,-175.855127,0.468143
259,-180.49869,0.465427
260,-94.841107,0.462727
261,-160.768608,0.460042
262,-224.187007,0.457373
263,-186.403057,0.45472
264,-233.37685,0.452082
265,-230.365511,0.44946
266,-142.083307,0.446853
267,-226.411927,0.444262
268,-165.757918,0.441686
269,-121.096793,0.439124
270,-158.153725,0.436578
271,-106.614449,0.434047
272,-189.022844,0.431531
273,-150.693492,0.429029
274,-110.151723,0.426542
275,-189.038155,0.42407
276,-79.466156,0.421612
277,-357.021046,0.419168
278,-212.736906,0.416739
279,-189.989762,0.414324
280,-194.263097,0.411923
281,-286.183451,0.409537
282,-115.780291,0.407164
283,-294.375804,0.404805
284,-284.833015,0.402461
285,-212.764549,0.400129
286,-401.060165,0.397812
287,-210.89722,0.395508
288,-25.143373,0.393218
289,-149.428527,0.390941
290,-47.213272,0.388677
291,-322.205097,0.386427
292,-173.85132,0.38419
293,-84.917778,0.381966
294,-208.782352,0.379755
295,-36.352054,0.377557
296,18.40375,0.375372
297,-244.721058,0.3732
298,-92.409618,0.37104
299,-242.065445,0.368893
300,-199.832036,0.366759
301,-214.633264,0.364637
302,-48.742917,0.362528
303,-118.143046,0.360431
