Ep,Ep_r,epsilon
0,-176.032812,0.99
1,-141.529827,0.99
2,-354.57816,0.99
3,-467.914054,0.99
4,-424.56684,0.99
5,-394.468056,0.99
6,-133.750913,0.99
7,-133.810997,0.99
8,-316.210918,0.99
9,-198.789444,0.99
10,-120.873528,0.99
11,-454.210115,0.99
12,-204.617115,0.99
13,-342.640692,0.99
14,-130.33004,0.99
15,-126.596652,0.99
16,-100.247524,0.99
17,-156.667986,0.99
18,-200.496388,0.99
19,-162.361742,0.99
20,-164.718316,0.99
21,-181.57722,0.99
22,-269.89767,0.99
23,-192.57942,0.99
24,-129.814217,0.99
25,-423.671933,0.99
26,-197.967333,0.99
27,-343.68793,0.99
28,-197.608968,0.99
29,-125.362219,0.99
30,-130.342092,0.99
31,-300.735584,0.99
32,-309.770154,0.99
33,-197.98888,0.99
34,-164.129575,0.99
35,-146.249179,0.99
36,-297.327169,0.99
37,-351.69877,0.99
38,-162.012569,0.99
39,-280.261823,0.99
40,-301.77823,0.99
41,-157.117681,0.99
42,-218.757518,0.99
43,-404.716015,0.99
44,-167.692482,0.99
45,-221.5527,0.99
46,-279.026202,0.99
47,-215.008704,0.99
48,-218.737335,0.99
49,-64.044652,0.99
50,-133.452612,0.99
51,-17.199611,0.99
52,-227.500997,0.99
53,-112.614113,0.99
54,-390.849141,0.99
55,-207.050981,0.99
56,-409.184973,0.99
57,-239.983516,0.99
58,-81.741737,0.99
59,-186.875452,0.99
60,-212.656334,0.99
61,-129.600212,0.99
62,-288.023883,0.99
63,-110.94455,0.99
64,-415.547141,0.99
65,-167.782852,0.99
66,-149.381154,0.99
67,-343.751697,0.99
68,-323.887563,0.99
69,-165.016557,0.99
70,-291.378197,0.99
71,-128.50234,0.99
72,-256.553178,0.99
73,-260.915134,0.99
74,-328.775485,0.99
75,-157.528344,0.99
76,-207.259719,0.99
77,-303.146328,0.99
78,-349.947962,0.99
79,-133.532132,0.99
80,-127.462965,0.99
81,-156.257279,0.99
82,-172.832385,0.99
83,-158.990719,0.99
84,-277.824168,0.99
85,1.781905,0.99
86,-279.376053,0.99
87,-215.367826,0.99
88,-118.057168,0.99
89,-169.577241,0.99
90,-364.392806,0.99
91,-158.793117,0.99
92,-446.284741,0.99
93,-126.373772,0.99
94,-216.777772,0.99
95,-219.374126,0.99
96,-556.127424,0.99
97,-285.779888,0.99
98,-147.451086,0.99
99,-365.921544,0.99
100,-183.172686,0.99
101,-220.898683,0.99
102,-310.770443,0.99
103,-168.490707,0.99
104,-391.628305,0.99
105,-453.245926,0.99
106,-372.626786,0.99
107,-191.140659,0.99
108,-158.943148,0.99
109,-149.421605,0.99
110,-144.307678,0.99
111,-330.172154,0.99
112,-427.985374,0.99
113,-196.58902,0.99
114,-144.427446,0.99
115,-197.038899,0.99
116,-250.22407,0.99
117,-280.805761,0.99
118,-188.827833,0.99
119,-386.435002,0.99
120,-196.275793,0.99
121,-401.455056,0.99
122,-430.420001,0.99
123,-156.001836,0.99
124,-121.316117,0.99
125,-333.525866,0.99
126,-133.807097,0.933048
127,-155.803768,0.932607
128,-362.009442,0.932166
129,-175.972272,0.931725
130,-195.963941,0.931284
131,-71.412895,0.930843
132,-300.537413,0.930403
133,-246.45269,0.929963
134,-332.581819,0.929523
135,-95.589513,0.929083
136,-310.971071,0.928644
137,-288.61061,0.928205
138,-161.162941,0.927766
139,-363.321703,0.927327
140,-122.256809,0.926889
141,-284.861318,0.92645
142,-208.628414,0.926012
143,-274.084182,0.925574
144,-107.635963,0.925137
145,-118.783379,0.924699
146,-137.928872,0.924262
147,-239.535536,0.923825
148,-137.374257,0.923388
149,-258.886192,0.922951
150,-494.697455,0.922515
151,-171.14553,0.922079
152,-155.757716,0.921643
153,-250.088072,0.921207
154,-518.243297,0.920772
155,-106.828681,0.920336
156,-177.973239,0.919901
157,-303.303646,0.919467
158,-263.504952,0.919032
159,-128.821288,0.918598
160,-158.666904,0.918163
161,-151.85353,0.917729
162,-252.002649,0.917296
163,-411.600278,0.916862
164,-193.072234,0.916429
165,-257.36081,0.915996
166,-339.489536,0.915563
167,-185.293554,0.91513
168,-170.351392,0.914698
169,-181.56742,0.914265
170,-138.563842,0.913833
171,-275.342667,0.913402
172,-175.947259,0.91297
173,-155.616679,0.912539
174,-192.738833,0.912107
175,-99.695699,0.911676
176,-257.445502,0.911246
177,-133.790982,0.910815
178,-187.950803,0.910385
179,-189.407334,0.909955
180,-170.333257,0.909525
181,-233.453326,0.909095
182,-144.099398,0.908666
183,-98.987583,0.908237
184,-226.254804,0.907808
