Ep,Ep_r
0,-108.23
1,-213.27
2,-470.79
3,-182.84
4,-192.67
5,-405.27
6,-347.86
7,-278.79
8,-186.13
9,-100.74
10,-151.35
11,-341.7
12,-242.35
13,-287.92
14,-172.05
15,-458.84
16,-251.01
17,-179.71
18,-368.7
19,-192.45
20,-48.63
21,-165.87
22,-168.35
23,-204.25
24,-107.19
25,-205.03
26,-152.82
27,-345.46
28,-245.13
29,-149.8
30,-130.76
31,-162.15
32,-374.0
33,-350.87
34,-147.83
35,-31.58
36,-110.86
37,-104.8
38,-124.43
39,-134.5
40,-163.86
41,-49.46
42,-202.13
43,-24.54
44,-144.54
45,-379.37
46,-200.57
47,-57.43
48,-230.13
49,-236.9
50,-314.77
51,-171.05
52,-364.5
53,-441.01
54,-128.37
55,-463.3
56,-115.96
57,-242.71
58,0.65
59,-179.63
60,-379.24
61,-166.39
62,-175.33
63,-188.15
64,-148.41
65,-156.79
66,-292.15
67,-141.68
68,-171.1
69,-209.05
70,-187.48
71,-261.18
72,-277.93
73,-195.43
74,-110.76
75,-507.52
76,-290.86
77,-269.03
78,-328.72
79,-221.03
80,-329.02
81,-141.19
82,-181.82
83,-247.82
84,-49.82
85,-419.49
86,-185.87
87,-173.91
88,-220.42
89,-99.83
90,-123.22
91,-291.31
92,-419.89
93,-129.96
94,-259.97
95,-284.97
96,-187.67
97,-289.17
98,-141.75
99,-181.48
100,-138.53
101,-264.9
102,-436.37
103,-164.16
104,-147.82
105,-286.59
106,-398.67
107,-242.78
108,-173.6
109,-195.6
110,-409.29
111,-280.17
112,-447.4
113,-189.9
114,-185.51
115,-45.59
116,-145.41
117,-133.67
118,-246.08
119,-242.42
120,-200.73
121,-170.05
122,-164.77
123,-142.5
124,-156.14
125,-163.18
126,-137.12
127,-178.48
128,-396.23
129,-184.35
130,-239.68
131,-265.39
132,-335.55
133,-146.65
134,-244.26
135,-195.09
136,-310.81
137,-236.78
138,-296.73
139,-133.56
140,-285.13
141,-289.52
142,-197.87
143,-161.46
144,-144.06
145,-197.67
146,-367.32
147,-461.66
148,-451.46
149,-43.78
150,-364.07
151,-226.71
152,-195.17
153,-267.16
154,-395.13
155,-196.73
156,-155.6
157,-132.32
158,-415.95
159,-274.24
160,-463.47
161,-112.7
162,-175.37
163,-193.78
164,-134.45
165,-167.98
166,-211.5
167,-191.72
168,-212.81
169,-170.5
170,-144.69
171,-109.15
172,-152.69
173,-114.37
174,-283.82
175,-306.85
176,-196.1
177,-158.36
178,-225.41
179,-228.93
