Ep,Ep_r
0,-439.99
1,-126.68
2,-182.14
3,-163.56
4,-415.96
5,-296.75
6,-271.41
7,-12.36
8,-112.23
9,-171.77
10,-125.14
11,-102.96
12,-190.78
13,-124.1
14,-137.27
15,-160.12
16,-171.77
17,-447.55
18,-316.15
19,-120.02
20,-386.93
21,-232.81
22,-131.26
23,-4.19
24,-348.03
25,-128.8
26,-88.75
27,-146.77
28,-165.58
29,-120.4
30,-471.19
31,-375.19
32,-411.13
33,-235.14
34,-167.33
35,-196.24
36,-144.2
37,-164.99
38,-180.01
39,-296.71
40,-100.42
41,-397.96
42,-299.93
43,-144.44
44,-499.67
45,-154.88
46,-148.95
47,-184.01
48,-346.15
49,-298.4
50,-218.9
51,-195.21
52,-452.65
53,-296.57
54,-240.81
55,-184.87
56,-254.61
57,-183.97
58,-361.74
59,-147.86
60,-151.49
61,-174.52
62,-150.6
63,-95.55
64,-316.51
65,-436.16
66,-171.59
67,-152.46
68,-257.78
69,-206.61
70,-215.15
71,-94.48
72,-269.03
73,-186.12
74,-423.85
75,-191.43
76,-191.72
77,-122.89
78,-306.72
79,-169.21
80,-158.6
81,-289.09
82,-279.54
83,-314.98
84,-288.78
85,-342.82
86,-159.1
87,-398.63
88,-151.25
89,-190.44
90,-251.83
91,-336.09
92,-126.78
93,-215.68
94,-481.97
95,-139.5
96,-122.88
97,-176.91
98,-349.63
99,-135.8
100,-352.86
101,-130.54
102,-187.58
103,-228.24
104,-397.59
105,-152.85
106,-328.9
107,-163.72
108,-150.58
109,-177.08
110,-208.38
111,-31.58
112,-79.65
113,-445.77
114,-293.41
115,-282.59
116,-214.87
117,-380.22
118,-184.2
119,-307.72
120,-158.45
121,-160.85
122,-181.05
123,-424.29
124,-198.79
125,-195.41
126,-185.6
127,-263.16
128,-244.14
129,-153.96
130,-241.31
131,-138.35
132,-154.06
133,-288.77
134,-220.42
135,-115.88
136,-345.28
137,-378.45
138,-152.84
139,-172.79
140,-259.04
141,-156.38
142,-210.16
143,-158.1
144,-365.02
145,-277.91
146,-162.81
147,-126.61
148,-154.11
149,-133.42
150,-123.48
151,-141.04
152,-375.77
153,-146.86
154,-57.23
155,-141.88
156,-68.26
157,-162.0
158,-127.12
159,-145.95
160,-312.33
161,-208.09
162,-151.37
163,-211.19
164,-119.64
165,-422.0
166,-207.63
167,-40.82
168,-261.52
169,-448.23
170,-199.56
171,-173.21
172,-137.38
173,-156.41
174,-163.58
175,-157.53
176,-342.5
177,-143.31
178,-92.43
179,-253.33
180,-174.61
181,-183.65
182,-138.05
183,-364.13
184,-496.14
185,-251.99
186,-349.14
187,-398.14
188,-412.03
189,-139.11
190,-121.84
191,-271.42
192,-250.27
193,-242.0
194,-283.65
195,-164.06
196,-106.99
197,-148.46
198,-148.46
199,-159.86
200,-155.87
201,-69.95
202,-265.38
203,-295.31
204,-113.67
205,-142.25
206,-376.87
207,-73.16
208,-558.69
209,-184.1
210,-220.57
211,-156.96
212,-306.09
213,-297.66
214,-199.12
215,-165.47
216,-136.72
217,-160.53
218,-157.27
219,-288.15
220,-160.17
221,-281.28
222,-167.76
223,-205.23
224,-160.51
225,-243.02
226,-246.1
227,-160.74
228,-464.58
229,-48.22
230,-415.7
231,-210.94
232,-406.92
233,-168.78
234,-325.68
235,-220.55
236,-186.7
237,-151.32
238,-226.42
239,-203.15
240,-161.6
241,-168.87
242,-138.11
243,-342.03
244,-295.51
245,-78.43
246,-443.34
247,-108.19
248,-133.33
249,-253.56
250,-215.46
251,-247.82
252,-140.99
253,-159.8
254,-464.2
255,-441.53
256,-153.62
257,-159.54
258,-367.36
259,-226.73
260,-175.61
261,-64.45
262,-237.84
263,-137.54
264,-168.74
265,-305.55
266,-122.37
267,-166.12
268,-221.76
269,-409.57
270,-326.25
271,-228.77
272,-319.17
273,-142.79
274,-146.69
275,-195.06
276,-138.59
277,-196.66
278,-198.44
279,-250.27
280,-157.3
281,-442.15
282,-129.13
283,-390.1
284,-358.27
285,-143.91
286,-163.48
287,-194.55
288,-260.67
289,-206.13
290,-174.36
291,-116.55
292,-113.23
293,-257.53
294,-190.6
295,-136.15
296,-287.34
297,-127.67
298,-409.14
299,-258.05
300,-214.04
301,-120.55
302,-235.22
303,-263.36
304,-226.89
305,-141.08
306,-202.22
307,-145.79
308,-147.17
309,-211.17
310,-212.26
311,-138.6
312,-98.34
313,-202.08
314,-322.58
315,-160.9
316,-297.9
317,-160.53
318,-241.92
319,-417.87
320,-170.3
321,-245.83
322,-126.74
323,-182.02
324,-142.34
325,-34.98
326,-164.26
327,-134.35
328,-178.85
329,-385.85
330,-140.57
331,-236.54
332,-379.15
333,-159.01
334,-109.22
335,-170.39
336,-232.35
337,-179.1
338,-353.14
339,-314.4
340,-440.08
341,-468.87
342,-165.62
343,-240.86
344,-286.37
345,-262.36
346,-260.49
347,-274.89
348,-129.77
349,-144.25
350,-118.76
351,-157.56
352,-264.13
353,-291.86
354,-276.35
355,-167.2
356,-382.07
357,-163.93
358,-146.33
359,-221.8
360,-134.35
361,-218.14
362,-310.58
363,-206.86
364,-462.51
365,-128.1
366,-296.6
367,-178.5
368,-141.01
369,-211.71
370,-338.63
371,-173.14
372,-177.12
373,-360.59
374,-385.84
375,-169.85
376,-189.49
377,-145.37
378,-224.12
379,-181.85
380,-123.94
381,-254.5
382,-279.87
383,-434.31
384,-204.18
385,-265.84
386,-146.55
387,-204.99
388,-366.22
389,-228.0
390,-164.01
391,-181.85
392,-229.07
393,-249.36
394,-127.78
395,-374.22
396,-90.3
397,-181.5
398,-405.61
399,-161.74
400,-177.13
401,-299.47
402,-161.12
403,-214.12
404,-149.98
405,-189.04
406,-326.36
407,-189.0
408,-155.65
409,-216.25
410,-242.01
411,-253.58
412,-169.41
413,-176.66
414,-199.56
415,-273.9
416,-8.38
417,-157.18
418,-207.88
419,-141.45
420,-189.21
421,-284.99
422,-244.51
423,-176.36
424,-120.19
425,-341.9
426,-197.7
427,-137.17
428,-434.42
429,-202.5
430,-352.1
431,-65.7
432,-352.56
433,-113.99
434,-329.18
435,-252.58
436,-161.77
437,-130.07
438,-138.21
439,-176.82
440,-165.57
441,-8.29
442,-155.36
443,-345.83
444,-183.62
445,-80.68
446,-156.91
447,-172.51
448,-181.93
449,-295.5
450,-221.56
451,-133.4
452,-146.17
453,-147.1
454,-207.17
455,-271.85
456,-334.95
457,-244.16
458,-282.34
459,-140.74
460,-350.36
461,-159.6
462,-182.63
463,-182.01
464,-146.13
465,-135.76
466,-413.63
467,-112.0
468,-202.45
469,-38.13
470,-296.44
471,-267.79
472,-114.31
473,-171.43
474,-337.7
475,-193.33
476,-161.2
477,-253.08
478,-138.82
479,-158.63
480,-176.52
481,-105.54
482,-50.02
483,-169.6
484,-154.64
485,-375.46
486,-262.53
487,-153.64
488,-264.22
489,-249.3
490,-375.92
491,-165.91
492,-159.64
493,-192.15
494,-159.38
495,-160.58
496,-294.51
497,-157.23
498,-169.69
499,-354.57
500,-185.14
501,-207.51
502,-210.68
503,-159.94
504,-179.99
505,-140.98
506,-370.67
507,-254.41
508,-190.89
509,-163.35
510,-171.37
511,-200.0
512,-125.95
513,-161.96
514,-102.62
515,-222.52
516,-183.31
517,-188.61
518,-345.08
519,-156.75
520,-159.75
521,-191.04
522,-177.32
523,-129.34
524,-176.81
525,-219.5
526,-181.27
527,-177.84
528,-213.46
529,-31.95
530,-150.23
531,-190.55
532,-156.66
533,-147.42
534,-188.02
535,-454.0
536,-173.72
537,-151.88
538,-189.78
539,-376.46
540,-335.18
541,-257.17
542,-263.21
543,-365.78
544,-183.15
545,-201.11
546,-328.69
547,-182.73
548,-227.71
549,-355.19
550,-326.02
551,-193.59
552,-145.91
553,-181.28
554,-131.29
555,-224.19
556,-405.48
557,-152.96
558,-165.2
559,-187.61
560,-165.57
561,-230.53
562,-181.62
563,-369.08
564,-99.56
565,-21.8
566,-147.73
567,-211.34
568,-160.41
569,-229.99
570,-126.94
571,-181.03
572,-233.48
573,-176.79
574,-115.95
575,-312.55
576,-302.25
577,-417.18
578,-180.73
579,-158.29
580,-162.5
581,-470.97
582,-147.49
583,-102.86
584,-163.07
585,-246.38
586,-164.57
587,-253.77
588,-184.13
589,-168.06
590,-178.96
591,-201.57
592,-178.56
593,-232.18
594,-151.87
595,-239.13
596,-144.45
597,-173.69
598,-144.32
599,-182.63
600,-158.29
601,-395.35
602,-299.52
603,-226.34
604,-76.75
605,-239.99
606,-152.47
607,-376.14
608,-152.37
609,-167.55
610,-187.4
611,-131.46
612,-174.96
613,-202.98
614,-134.35
615,-186.62
616,-153.19
617,-170.01
618,-157.62
619,-181.73
620,-228.37
621,-197.64
622,-178.54
623,-187.61
624,-129.57
625,-187.68
626,-48.63
627,-240.59
628,-316.45
629,-264.77
630,-289.6
631,-132.7
632,-264.86
633,-134.22
634,-175.37
635,-131.5
636,-108.61
637,-162.95
638,-365.78
639,-203.06
640,-229.92
641,-335.21
642,-123.99
643,-98.87
644,-283.84
645,-173.73
646,-327.8
647,-128.66
648,-214.51
649,-164.0
650,-515.01
651,-154.57
652,-146.96
653,-171.14
654,-69.54
655,-202.21
656,-382.45
657,-237.95
658,-150.32
659,-140.33
660,-352.09
661,-141.0
662,-48.73
663,-156.75
664,-235.6
665,-178.82
666,-164.01
667,-167.94
668,-153.09
669,-192.38
670,-63.27
671,-60.43
672,-178.56
673,-295.54
674,-299.15
675,-191.13
676,-156.24
677,-215.55
678,-182.75
679,-176.16
680,-182.42
681,-211.47
682,-178.59
683,-248.74
684,-349.05
685,-405.1
686,-235.0
687,-148.73
688,-222.84
689,-199.77
690,-182.2
691,-159.64
692,-156.02
693,-134.36
694,-242.32
695,-111.02
696,-173.11
697,-155.61
698,-250.29
699,-324.11
700,-147.2
701,-248.25
702,-302.09
703,-466.21
704,-249.43
705,-135.86
706,-150.56
707,-174.78
708,-116.52
709,-271.68
710,-508.26
711,-175.05
712,-170.62
713,-239.05
714,-525.84
