Ep,Ep_r
0,-277.43
1,-465.62
2,-181.4
3,-214.87
4,-351.02
5,-285.66
6,-118.23
7,-115.44
8,-170.11
9,-160.91
10,-300.42
11,-221.51
12,-392.1
13,-144.31
14,-104.35
15,-434.2
16,-380.82
17,-308.34
18,-181.87
19,-368.82
20,-202.29
21,-277.13
22,-133.38
23,-128.12
24,-179.91
25,-309.64
26,-145.04
27,-602.34
28,-163.13
29,-42.35
30,-154.26
31,-269.56
32,-209.63
33,-142.34
34,-154.41
35,-390.94
36,-433.76
37,-404.99
38,-202.83
39,-183.97
40,-576.34
41,-305.36
42,-150.17
43,-175.75
44,-430.08
45,-210.82
46,-166.52
47,-375.65
48,-172.38
49,-167.36
50,-215.29
51,-243.96
52,-182.29
53,-174.7
54,-339.65
55,-296.25
56,-157.67
57,-218.68
58,-253.26
59,-559.53
60,-113.21
61,-333.58
62,-252.74
63,-204.41
64,-156.82
65,-197.64
66,-287.13
67,-176.74
68,-423.81
69,-162.72
70,-323.64
71,-84.62
72,-111.53
73,-136.75
74,-37.53
75,-305.06
76,-171.83
77,-346.01
78,-129.28
79,-70.57
80,-228.62
81,-160.4
82,-130.73
83,-140.29
84,-277.82
85,-373.92
86,-210.59
87,-150.8
88,-214.61
89,-119.37
90,-175.05
91,-428.78
92,-333.68
93,-142.73
94,-368.9
95,-66.77
96,-348.57
97,-153.86
98,-203.5
99,-132.79
100,-403.28
101,-224.53
102,-288.33
103,-392.62
104,-397.29
105,-260.85
106,-355.59
107,-360.81
108,-279.75
109,-140.93
110,-171.84
111,-406.06
112,-176.07
113,-182.21
114,-375.93
115,-214.91
116,-192.11
117,-130.42
118,-153.2
119,-111.42
120,-528.48
121,-399.05
122,-317.81
123,-236.86
124,-354.17
125,-541.72
126,-164.1
127,-197.3
128,-188.0
129,-156.27
130,-290.41
131,-164.63
132,-268.51
133,-176.33
134,-102.75
135,-293.15
136,-208.66
137,-246.04
138,-125.74
139,-466.73
140,-173.98
141,-155.13
142,-140.35
143,-77.35
144,-521.78
145,-7.9
146,-444.19
147,-413.07
148,-455.89
149,-197.32
150,-319.19
151,-226.69
152,-150.42
153,-318.71
154,-138.08
155,-250.54
156,-338.91
157,-157.12
158,-290.14
159,-119.16
160,-217.76
161,-233.87
162,-342.04
163,-202.29
164,-136.21
165,-398.28
166,-173.0
167,-164.89
168,-183.41
169,-301.2
170,-186.62
171,-250.7
172,-134.81
173,-218.57
174,-155.52
175,-74.97
176,-158.82
177,-42.13
178,-140.53
179,-179.28
180,-279.73
181,-263.89
182,-274.56
183,-178.51
184,-278.54
185,-281.93
186,-391.33
187,-153.08
188,-360.52
189,-168.99
190,-171.28
191,-282.87
192,-327.27
193,-474.73
194,-146.06
195,-318.68
196,-120.1
197,-169.19
198,-169.9
199,-189.93
200,-167.69
201,-382.55
202,-207.78
203,-497.17
204,-139.41
205,-139.83
206,-229.41
207,-365.26
208,-423.41
209,-132.61
210,-344.25
211,-167.49
212,-183.05
213,-186.73
214,-124.51
215,-248.89
216,-181.27
217,-324.43
218,-125.19
219,-150.82
220,-148.47
221,-153.66
222,-218.33
223,-344.28
224,-242.41
225,-116.77
226,-271.08
227,-233.85
228,-25.29
229,-163.59
230,-191.09
231,-137.98
232,-282.02
233,-326.96
234,-128.16
235,-275.59
236,-144.62
237,-428.69
238,-146.67
239,-122.95
240,-165.6
241,-222.01
242,-161.37
243,-138.98
244,-226.04
245,-188.47
246,-108.72
247,-156.39
248,-269.81
249,-193.31
250,-130.22
251,-71.88
252,-302.96
253,-141.52
254,-274.72
255,-161.68
256,-248.18
257,-161.12
258,-251.33
259,-150.24
260,-225.56
261,-147.25
262,-376.68
263,-170.49
264,-247.46
265,-210.03
266,-306.81
267,-244.08
268,-125.59
269,-236.47
270,-271.07
271,-276.03
272,-192.9
273,-350.99
274,-142.95
275,-195.94
276,-187.15
277,-293.84
278,-141.14
279,-53.66
280,-413.02
281,-270.68
282,-183.4
283,-150.82
284,-159.85
285,-138.0
286,-142.82
287,-174.52
288,-114.54
289,-355.56
290,-174.93
291,-152.19
292,-152.8
293,-142.82
294,-211.42
295,-270.04
296,-163.3
297,-167.9
298,-496.84
299,-451.72
300,-201.95
301,-136.22
302,-164.25
303,-230.29
304,-160.17
305,-146.22
306,-300.86
307,-213.37
308,-241.52
309,-162.07
310,-144.64
311,-176.97
312,-135.28
313,-183.96
314,-356.29
315,-171.94
316,-175.02
317,-216.89
318,-159.07
319,-320.62
320,-157.23
321,-119.92
322,-303.19
323,-216.54
324,-219.33
325,-190.3
326,-269.82
327,-239.08
328,-160.01
329,-175.34
330,-173.11
331,-253.51
332,-467.99
333,-259.37
334,-194.83
335,-498.18
336,-187.57
337,-150.43
338,-245.96
339,-262.57
340,-317.39
341,1.19
342,-360.96
343,-255.65
344,-203.1
345,-154.8
346,-126.28
347,-207.69
348,-158.07
349,-401.46
350,-356.98
351,-223.83
352,-308.02
353,-163.43
354,-205.07
355,-177.07
356,-124.76
357,-241.48
358,-144.18
359,-206.31
360,-240.67
361,-141.9
362,-156.53
363,-198.26
364,-232.1
365,-162.22
366,-148.89
367,-126.97
368,-131.94
369,-200.2
370,-137.71
371,-199.34
372,-61.61
373,-165.74
374,-198.78
375,-189.35
376,-382.28
377,-148.59
378,-54.09
379,-264.34
380,-40.0
381,-126.19
382,-165.55
383,-159.22
384,-285.21
385,-149.07
386,-324.97
387,-165.02
388,-182.62
389,-156.54
390,-312.22
391,-196.05
392,-255.86
393,-190.62
394,-251.56
395,-285.27
396,-275.23
397,-196.55
398,-175.14
399,-160.65
400,-196.52
401,-142.19
402,-128.98
403,-110.25
404,-175.41
405,-96.92
406,-135.95
407,-206.21
408,-159.63
409,-163.67
410,-152.35
411,-142.4
412,-169.88
413,-137.12
414,-229.91
415,-131.59
416,-180.11
417,-300.94
418,-262.79
419,-253.64
420,-167.15
421,-203.97
422,-127.41
423,-123.83
424,-131.26
425,-148.3
426,-186.68
427,-132.48
428,-112.78
429,-393.99
430,-139.46
431,-163.13
432,-164.99
433,-356.22
434,-323.78
435,-202.76
436,-171.65
437,-205.17
438,-156.08
439,-204.32
440,-369.62
441,-137.76
442,-165.51
443,-152.72
444,-142.27
445,-386.62
446,-205.9
447,-135.12
448,-322.6
449,-197.14
450,-226.72
451,-272.17
452,-226.91
453,-209.22
454,-262.48
455,-136.6
456,-150.64
457,-150.23
458,-244.95
459,-201.0
460,-173.79
461,-394.53
462,-317.09
463,-80.61
464,-339.45
465,-165.47
466,-191.2
467,-338.78
468,-150.06
469,-173.32
470,-334.63
471,-175.5
472,-263.18
473,-106.27
474,-386.25
475,-143.4
476,-224.82
477,-291.71
478,-154.56
479,-161.18
480,-152.64
481,-332.89
482,-238.71
483,-181.26
484,-273.7
485,-149.86
486,-171.84
487,-160.78
488,-132.45
489,-274.28
490,-125.71
491,-140.21
492,-334.3
493,-48.28
494,-139.51
495,-164.55
