Ep,Ep_r,epsilon
0,-130.772949,1.0
1,-140.745019,1.0
2,-148.123872,1.0
3,-170.82401,1.0
4,-187.756504,1.0
5,-239.961999,1.0
6,-204.634289,1.0
7,-171.707017,1.0
8,-120.230382,1.0
9,-138.401318,1.0
10,-532.540858,1.0
11,-190.999589,1.0
12,-136.607483,1.0
13,-146.627108,1.0
14,-403.405291,1.0
15,-143.431667,1.0
16,-192.220794,1.0
17,-229.208915,1.0
18,-114.521133,1.0
19,-249.573044,1.0
20,-359.081984,1.0
21,-131.661343,1.0
22,-103.046337,1.0
23,-395.946717,1.0
24,-224.085248,1.0
25,-99.400488,1.0
26,-176.797078,1.0
27,-261.520276,1.0
28,-365.31508,1.0
29,-420.553878,1.0
30,-256.19468,1.0
31,-456.438151,1.0
32,-165.783068,1.0
33,-139.519346,1.0
34,-302.16208,1.0
35,-187.445303,1.0
36,-155.491769,1.0
37,-119.671188,1.0
38,-366.848251,1.0
39,-144.599097,1.0
40,-177.620801,1.0
41,-414.549898,1.0
42,-162.561926,1.0
43,-459.027243,1.0
44,-135.517692,1.0
45,-198.183173,1.0
46,-120.173116,1.0
47,-161.705648,1.0
48,-149.824145,1.0
49,-190.432119,1.0
50,-148.384143,1.0
51,-142.553556,1.0
52,-94.299417,1.0
53,-399.865504,1.0
54,-207.083552,1.0
55,-199.42684,1.0
56,-292.380464,1.0
57,-294.329947,1.0
58,-376.469455,1.0
59,-413.59397,1.0
60,-165.972768,1.0
61,-168.307779,1.0
62,-116.534415,1.0
63,-403.655762,1.0
64,-186.103842,1.0
65,-275.249264,1.0
66,-165.103407,1.0
67,-173.160189,1.0
68,-205.876161,1.0
69,-425.148142,1.0
70,-141.856385,1.0
71,-134.416059,1.0
72,-152.73654,1.0
73,-168.262896,1.0
74,-236.038413,1.0
75,-255.288576,1.0
76,-241.053128,1.0
77,-158.850085,1.0
78,-224.371358,1.0
79,-221.696986,1.0
80,-170.743225,1.0
81,-157.154343,1.0
82,-261.546761,1.0
83,-168.099425,1.0
84,-138.348536,1.0
85,-259.475295,1.0
