Ep,Ep_r,epsilon
0,-399.183202,1.0
1,-151.20883,1.0
2,-368.376619,1.0
3,-297.163277,1.0
4,-451.855459,1.0
5,-290.592503,1.0
6,-180.170723,1.0
7,-433.858183,1.0
8,-371.10498,1.0
9,-123.552347,1.0
10,-142.692045,1.0
11,-196.337329,1.0
12,-241.403968,1.0
13,-242.15339,1.0
14,-241.288048,1.0
15,-121.453542,1.0
16,-198.334133,1.0
17,-129.556033,1.0
18,-109.287543,1.0
19,-378.34265,1.0
20,-121.901427,1.0
21,-398.516491,1.0
22,-152.473799,1.0
23,-346.235259,1.0
24,-138.998318,1.0
25,-120.804149,1.0
26,-247.267269,1.0
27,-161.82432,1.0
28,-252.900079,1.0
29,-305.363197,1.0
30,-135.598083,1.0
31,-231.368796,1.0
32,-133.404732,1.0
33,-242.570454,1.0
34,-225.842101,1.0
35,-357.574883,1.0
36,-417.455585,1.0
37,-196.94638,1.0
38,-398.22642,1.0
39,-73.458658,1.0
40,-373.544526,1.0
41,-154.246862,1.0
42,-164.803114,1.0
43,-174.537117,1.0
44,-63.004995,1.0
45,-313.556161,1.0
46,-189.036275,1.0
47,-13.597171,1.0
48,-271.612072,1.0
49,-455.643136,1.0
50,-290.129364,1.0
51,-234.781454,1.0
52,-151.250876,1.0
53,-168.902708,1.0
54,-262.171851,1.0
55,-312.716888,1.0
56,-509.472517,1.0
57,-221.865198,1.0
58,-343.142748,1.0
59,-146.635217,1.0
60,-501.805696,1.0
61,-357.244903,1.0
62,-173.587751,1.0
63,-210.331822,1.0
64,-184.379978,1.0
65,-140.794268,1.0
66,-119.227633,1.0
67,-92.939484,1.0
68,-164.670006,1.0
69,-138.29346,1.0
70,-195.635214,1.0
71,-426.744681,1.0
72,-116.629102,1.0
73,-105.985948,1.0
74,-271.966157,1.0
75,-262.21593,1.0
76,-141.178794,1.0
77,-177.915846,1.0
78,-203.028764,1.0
79,-142.916355,1.0
80,-162.03653,1.0
81,-185.981651,1.0
82,-167.009271,1.0
83,-134.766843,1.0
84,-268.610784,1.0
85,-291.829339,1.0
86,-523.353298,1.0
87,-142.163145,1.0
88,-473.233003,1.0
89,-165.948585,1.0
90,-271.652725,1.0
91,-377.68182,1.0
92,-132.284438,1.0
93,-295.091143,1.0
94,-274.24822,1.0
95,-98.298066,1.0
96,-168.482543,1.0
97,-28.967799,1.0
98,-293.694377,1.0
99,-159.419825,1.0
100,-249.043464,1.0
101,-202.604366,1.0
102,-266.053352,1.0
103,-261.864716,1.0
104,-108.76294,1.0
105,-410.467447,1.0
106,-50.270261,1.0
107,-153.765477,0.994164
108,-306.269951,0.988363
109,-110.299399,0.982595
110,-224.633667,0.976862
111,-199.02431,0.971161
112,-221.091494,0.965495
113,-242.008226,0.959861
114,-427.238973,0.954261
115,-327.66064,0.948694
116,-207.58373,0.943159
117,-114.887721,0.937656
118,-44.917333,0.932186
119,-141.289936,0.926748
120,-353.695256,0.921342
121,-165.251257,0.915968
122,-327.118758,0.910625
123,-368.872134,0.905313
124,-171.235557,0.900033
125,-401.485665,0.894783
126,-68.318078,0.889565
127,-165.998264,0.884377
128,-270.453015,0.879219
129,-219.958694,0.874092
130,-248.652191,0.868994
131,-224.017173,0.863927
132,-109.210112,0.858889
133,-235.079083,0.853881
134,-132.972429,0.848902
135,-204.375552,0.843953
136,-140.097289,0.839032
137,-94.806119,0.834141
138,-234.213505,0.829278
139,-71.055027,0.824443
140,-117.363418,0.819637
141,-292.177233,0.814859
142,-212.404296,0.810109
143,-136.578172,0.805387
144,-161.755642,0.800693
145,-384.730591,0.796026
146,-320.025558,0.791387
147,-226.041929,0.786774
148,-226.721402,0.782189
149,-105.933649,0.777631
150,-101.963523,0.773099
151,-221.66097,0.768594
152,-216.332063,0.764116
153,-272.795486,0.759664
154,-128.806386,0.755237
155,-91.69087,0.750837
156,-235.735849,0.746463
157,-157.833019,0.742114
158,-164.509781,0.737791
159,-179.606464,0.733493
160,-296.174138,0.72922
161,-132.142795,0.724973
162,-60.250751,0.72075
163,-100.96204,0.716552
164,-138.192911,0.712379
165,-55.345088,0.70823
166,-180.532654,0.704105
167,-122.820675,0.700005
168,-252.655237,0.695929
169,-278.106379,0.691876
170,-105.893582,0.687848
171,-93.445862,0.683843
172,-161.506562,0.679861
173,-135.052782,0.675903
174,-104.495397,0.671968
175,-108.693615,0.668057
176,-145.709742,0.664168
177,-345.790212,0.660302
178,-318.948382,0.656458
179,-74.718769,0.652637
180,-95.183007,0.648839
181,-168.009713,0.645063
182,-166.560819,0.641309
183,-123.3766,0.637577
184,-57.427004,0.633867
185,-86.734483,0.630178
186,-116.909108,0.626512
187,-18.249849,0.622866
188,-53.293431,0.619242
189,-130.502321,0.61564
190,-70.954602,0.612058
191,-98.078488,0.608498
192,-28.945364,0.604958
193,-111.11797,0.60144
194,-67.838556,0.597941
195,-73.238985,0.594464
196,-168.082718,0.591007
197,-113.907972,0.58757
198,-26.529845,0.584153
199,-83.13783,0.580756
200,-102.393997,0.577379
201,-104.249966,0.574022
202,-111.834628,0.570685
203,-42.28256,0.567367
204,-101.548505,0.564069
205,-59.333082,0.56079
206,-102.475192,0.55753
207,-110.231992,0.554289
208,-70.306089,0.551068
209,-95.292389,0.547865
210,-27.345009,0.544681
211,-85.980044,0.541516
212,-75.535286,0.538369
213,-83.54957,0.535241
214,-125.401636,0.532131
215,-143.643531,0.529039
216,-46.366608,0.525966
217,-60.62449,0.52291
218,-18.944792,0.519872
219,-54.917018,0.516853
220,-160.762391,0.513851
221,-87.848949,0.510866
222,-61.566366,0.507899
223,-64.535731,0.50495
224,-107.067936,0.502017
225,-300.223988,0.499102
226,-86.727739,0.496204
227,-64.587569,0.493323
228,-127.316793,0.490459
229,-24.429414,0.487612
230,-119.94142,0.484782
231,-95.69828,0.481968
232,-111.176499,0.47917
233,-84.15437,0.476389
234,-52.342163,0.473624
235,-170.740543,0.470876
236,-254.111894,0.468143
237,-139.641909,0.465427
238,-54.891412,0.462727
239,-151.004607,0.460042
240,-438.605465,0.457373
241,-146.753747,0.45472
242,-62.601292,0.452082
243,-97.921784,0.44946
244,-205.192115,0.446853
245,-363.495556,0.444262
246,-49.843768,0.441686
247,-131.615338,0.439124
248,-254.328959,0.436578
249,-32.70854,0.434047
250,-138.387459,0.431531
251,-4.031156,0.429029
252,-229.847786,0.426542
253,-136.418457,0.42407
254,-83.055389,0.421612
255,-174.602334,0.419168
256,-201.513587,0.416739
257,-100.548804,0.414324
258,-164.382662,0.411923
259,-407.955672,0.409537
260,-90.487773,0.407164
261,-117.223484,0.404805
262,-75.672194,0.402461
263,1.983914,0.400129
264,-329.114451,0.397812
265,-296.684045,0.395508
266,-380.807301,0.393218
267,-337.804899,0.390941
268,-37.568996,0.388677
269,-277.452093,0.386427
270,-125.317053,0.38419
271,-22.105598,0.381966
272,-265.384754,0.379755
273,-191.581447,0.377557
274,-98.348252,0.375372
275,-12.460093,0.3732
276,-154.414673,0.37104
277,-29.067814,0.368893
278,-129.158601,0.366759
279,21.267393,0.364637
280,-124.853824,0.362528
281,-121.804227,0.360431
282,28.03417,0.358346
283,-163.547744,0.356274
284,37.216459,0.354214
285,-28.332145,0.352165
286,-60.52882,0.350129
287,103.296561,0.348105
288,-285.600097,0.346093
289,172.878468,0.344092
290,-11.703677,0.342103
291,-74.377361,0.340126
292,6.637212,0.338161
293,-428.035756,0.336207
294,-72.815929,0.334264
295,-213.814821,0.332333
