Ep,Ep_r,epsilon
0,-253.689383,1.0
1,-274.519519,1.0
2,-158.588548,1.0
3,-156.837437,1.0
4,-203.369239,1.0
5,-376.023057,1.0
6,-164.181222,1.0
7,-158.544676,1.0
8,-142.295939,1.0
9,-195.887272,1.0
10,-332.223702,1.0
11,-205.207147,1.0
12,-401.544556,1.0
13,-144.985696,1.0
14,-260.04011,1.0
15,-427.416362,1.0
16,-134.295342,1.0
17,-288.397127,1.0
18,-284.620601,1.0
19,-339.089607,1.0
20,-11.489016,1.0
21,-139.728873,1.0
22,-160.897261,1.0
23,-190.400674,1.0
24,-109.553831,1.0
25,-342.316586,1.0
26,-188.697067,1.0
27,-177.323033,1.0
28,-150.837993,1.0
29,-241.122457,1.0
30,-158.495368,1.0
31,-612.898905,1.0
32,-410.378857,1.0
33,-351.309208,1.0
34,-81.111024,1.0
35,-143.266724,1.0
36,-228.923148,1.0
37,-369.306474,1.0
38,-150.921632,1.0
39,-174.637717,1.0
40,-200.668303,1.0
41,-134.721949,1.0
42,-456.238252,1.0
43,-167.578561,1.0
44,-161.903351,1.0
45,-416.248306,1.0
46,-100.315527,1.0
47,-331.712998,1.0
48,-539.210089,1.0
49,-159.602124,1.0
50,-40.462525,1.0
51,-144.994754,1.0
52,-448.750766,1.0
53,-171.21123,1.0
54,-450.110177,1.0
55,-136.992796,1.0
56,-293.413743,1.0
57,-470.951303,1.0
58,-164.814692,1.0
59,-172.372804,1.0
60,-365.290657,1.0
61,-198.636932,1.0
62,-127.720238,1.0
63,-306.977844,1.0
64,-239.586172,1.0
65,-305.628412,1.0
66,-157.924371,1.0
67,-176.976615,1.0
68,-230.208565,1.0
69,-310.19709,1.0
70,-188.649977,1.0
71,-25.423831,1.0
72,-132.77184,1.0
73,-363.311284,1.0
74,-142.191065,1.0
75,-163.224153,1.0
76,-137.72042,1.0
77,-140.077228,1.0
78,-157.178745,1.0
79,-148.608136,1.0
80,-188.387353,1.0
81,-49.317725,1.0
82,-208.840398,1.0
83,-440.518732,1.0
84,-115.933117,1.0
85,-194.579136,1.0
86,-238.632915,1.0
87,-174.843506,1.0
88,-178.32616,1.0
89,-328.648655,1.0
90,-152.607369,1.0
91,-316.970917,1.0
92,-187.369087,1.0
93,-166.652032,1.0
94,-393.388851,1.0
95,-157.004536,1.0
96,-359.072315,1.0
97,-403.241553,1.0
98,-257.673865,1.0
99,-179.321366,1.0
100,-272.24544,1.0
101,-156.788678,1.0
102,-445.804605,1.0
103,-482.3943,1.0
104,-252.057151,1.0
105,-235.154695,1.0
106,-95.193103,1.0
107,-298.889985,1.0
108,-457.138254,1.0
109,-219.286818,1.0
110,-170.66311,1.0
111,-122.23318,1.0
112,-117.457761,1.0
113,-346.364476,1.0
114,-145.273138,1.0
115,-304.08409,1.0
116,-348.338125,1.0
117,-243.461251,1.0
118,-405.844191,1.0
