Ep,Ep_r,epsilon
0,-164.857343,1.0
1,-141.888687,1.0
2,-341.683408,1.0
3,-163.265121,1.0
4,-271.946467,1.0
5,-148.696418,1.0
6,-168.979197,1.0
7,-153.529075,1.0
8,-354.50136,1.0
9,-137.449754,1.0
10,-290.703156,1.0
11,-266.307552,1.0
12,-196.624038,1.0
13,-50.979264,1.0
14,-372.942632,1.0
15,-176.072842,1.0
16,-433.990777,1.0
17,-173.768653,1.0
18,-180.782974,1.0
19,-217.051178,1.0
20,-177.657454,1.0
21,-112.7706,1.0
22,-269.314014,1.0
23,-243.368095,1.0
24,-319.673454,1.0
25,-144.286382,1.0
26,-89.729687,1.0
27,-183.523104,1.0
28,-324.202928,1.0
29,-211.898205,1.0
30,-438.322296,1.0
31,-54.650106,1.0
32,-154.424582,1.0
33,-213.39128,1.0
34,-98.19309,1.0
35,-140.368297,1.0
36,-135.671611,1.0
37,-325.397762,1.0
38,-266.101792,1.0
39,-184.725202,1.0
40,-157.774903,1.0
41,-147.347505,1.0
42,-162.108543,1.0
43,-221.976455,1.0
44,-331.709361,1.0
45,-181.483518,1.0
46,-181.872573,1.0
47,-224.113418,1.0
48,-136.988745,1.0
49,-202.713974,1.0
50,-213.289736,1.0
51,-255.648831,1.0
52,-228.373815,1.0
53,-565.779053,1.0
54,-434.236195,1.0
55,-159.907485,1.0
56,-113.245967,1.0
57,-215.707939,1.0
58,-171.46281,1.0
59,-412.148723,1.0
60,-134.000189,1.0
61,-251.783939,1.0
62,-148.010631,1.0
63,-168.049365,1.0
64,-411.327158,1.0
65,-176.550052,1.0
66,-146.288009,1.0
67,-220.749586,1.0
68,-617.908677,1.0
69,-209.068902,1.0
70,-125.026828,1.0
71,-217.197259,1.0
72,-157.627656,1.0
73,-198.62441,1.0
74,-150.180113,1.0
75,-208.458808,1.0
76,-227.512858,1.0
77,-270.426191,1.0
78,-125.328446,1.0
79,-358.827208,1.0
80,-213.791718,1.0
81,-288.678608,1.0
82,-139.690774,1.0
83,-155.662286,1.0
84,-56.9631,1.0
85,-178.374272,1.0
86,-303.416089,1.0
87,-107.821124,1.0
88,-187.700867,1.0
89,-62.485507,1.0
90,-149.093854,1.0
91,-406.817749,1.0
92,-200.575465,1.0
93,-342.126834,1.0
94,-176.726696,1.0
95,-365.690335,1.0
96,-62.506227,1.0
97,-313.212552,1.0
98,-379.058434,1.0
99,-260.156099,1.0
100,-276.675712,1.0
101,-150.534115,1.0
102,-168.651907,1.0
103,-198.779734,1.0
104,-118.042894,1.0
105,-107.779788,1.0
106,-374.613224,1.0
107,-149.366666,1.0
108,-295.563511,1.0
109,-431.009917,1.0
110,-183.042011,0.994164
111,-53.310218,0.988363
112,-176.644651,0.982595
113,-431.901253,0.976862
114,-138.972624,0.971161
115,-55.548007,0.965495
116,-497.999712,0.959861
117,-175.943395,0.954261
118,-420.718103,0.948694
119,-355.141581,0.943159
120,-226.39385,0.937656
121,-270.359445,0.932186
122,-328.684047,0.926748
123,-201.297578,0.921342
124,-117.53431,0.915968
125,-440.200094,0.910625
126,-277.55908,0.905313
127,-130.40304,0.900033
128,-48.118865,0.894783
129,-181.579626,0.889565
130,-171.472401,0.884377
131,-49.673822,0.879219
132,-173.997681,0.874092
133,-224.431324,0.868994
134,-260.462103,0.863927
135,-93.313521,0.858889
136,-232.661409,0.853881
137,-167.521615,0.848902
138,-136.473997,0.843953
139,-150.670854,0.839032
140,-140.57885,0.834141
141,-244.959398,0.829278
142,-166.98899,0.824443
143,-134.953997,0.819637
144,-162.400131,0.814859
145,-366.025252,0.810109
