Ep,Ep_r
0,-160.06
1,-261.47
2,-175.29
3,-349.08
4,-133.38
5,-184.72
6,-117.47
7,-264.74
8,-475.85
9,-244.71
10,-202.73
11,-263.22
12,-51.16
13,-148.61
14,-287.92
15,-196.88
16,-132.32
17,-109.12
18,-161.94
19,-321.88
20,-180.39
21,-154.47
22,-303.44
23,-93.73
24,-162.25
25,-147.71
26,-226.1
27,-372.43
28,-222.03
29,-204.66
30,-292.28
31,-209.67
32,-338.16
33,-473.37
34,-163.71
35,-186.15
36,-119.82
37,-576.02
38,-254.1
39,-388.61
40,-247.89
41,-132.2
42,-147.84
43,-117.58
44,-179.35
45,-135.33
46,-431.6
47,-115.71
48,-146.32
49,-186.3
50,-228.83
51,-176.66
52,-286.71
53,-163.5
54,-193.92
55,-258.53
56,-320.08
57,-379.21
58,-150.54
59,-120.83
60,-138.99
61,-54.86
62,-144.21
63,-198.58
64,-174.21
65,-330.24
66,-119.65
67,-121.74
68,-158.97
69,-165.94
70,-46.68
71,-159.17
72,-227.03
73,-231.39
74,-459.35
75,-137.5
76,-417.92
77,-231.74
78,-119.8
79,-149.89
80,-195.02
81,-240.92
82,-174.46
83,-240.72
84,-310.33
85,-404.04
86,-150.26
87,-465.18
88,-106.88
89,-412.24
90,-84.41
91,-99.19
92,-240.52
93,-127.28
94,-193.81
95,-132.1
96,-134.07
97,-254.9
98,-153.25
99,-208.91
100,-150.19
101,-282.34
102,-286.0
103,-93.33
104,-106.85
105,-324.34
106,-196.65
107,-501.92
108,-390.2
109,-349.35
110,-333.49
111,-125.28
112,-382.11
113,-183.03
114,-338.93
115,-371.66
116,-135.32
117,-115.63
118,-314.31
119,-173.25
120,-131.44
121,-230.33
122,-186.46
123,-89.92
124,-137.17
125,-236.1
126,-343.97
127,-255.98
128,-204.11
129,-180.77
130,-160.62
131,-212.55
132,-200.37
133,-354.3
134,-164.25
135,-352.52
136,-103.6
137,-258.02
138,-135.11
139,-339.57
140,23.24
141,-128.68
142,-150.84
143,-217.98
144,-579.97
145,-204.87
146,-256.69
147,-294.74
148,-219.86
149,-230.69
150,-129.68
151,-178.41
152,-178.35
153,-165.0
154,-124.07
155,-153.72
156,-131.12
157,-171.25
158,-241.05
159,-379.84
160,-106.98
161,-149.48
162,-155.89
163,-123.06
164,-471.4
165,-139.59
166,-148.9
167,-201.18
168,-182.9
169,-226.84
170,-153.95
171,-326.96
172,-166.69
173,-155.52
174,-193.81
175,-231.61
176,-171.71
177,-140.27
178,-204.38
179,-316.69
180,-154.37
181,-112.21
182,-161.27
183,-189.07
184,-200.08
185,-308.84
186,-153.48
187,-400.63
188,-37.41
189,-392.65
190,-208.5
191,-191.89
192,-167.16
193,-309.4
194,-129.8
195,-331.29
196,-487.31
