Ep,Ep_r
0,-159.8
1,-209.02
2,-324.96
3,-118.06
4,-356.26
5,-208.91
6,-225.35
7,-315.97
8,-157.6
9,-133.86
10,-147.9
11,-98.64
12,-187.99
13,-316.5
14,-161.77
15,-35.9
16,-310.86
17,-151.55
18,-331.27
19,-162.84
20,-215.38
21,-479.92
22,-145.26
23,-299.87
24,-151.82
25,-315.65
26,-158.09
27,-17.06
28,-420.58
29,-155.22
30,-277.18
31,-131.47
32,-169.05
33,-159.42
34,-293.4
35,-188.71
36,-268.71
37,-382.95
38,-247.48
39,-261.33
40,-124.43
41,-159.01
42,-150.23
43,-236.6
44,-289.02
45,-141.75
46,-397.2
47,-120.74
48,-168.26
49,-314.84
50,-302.54
51,-264.18
52,-185.71
53,-156.67
54,-368.21
55,-185.78
56,-214.39
57,-182.32
58,-30.46
59,-342.76
60,-84.56
61,-233.45
62,-156.81
63,-367.54
64,-204.05
65,-134.47
66,-222.08
67,-419.45
68,-179.7
69,-148.59
70,-35.62
71,-434.38
72,-263.21
73,-133.53
74,-133.34
75,-55.14
76,-190.48
77,-132.34
78,-186.64
79,-594.83
80,-256.49
81,-175.3
82,-158.98
83,-230.96
84,-154.27
85,-412.06
86,-243.64
87,-207.23
88,-161.62
89,-204.04
90,-116.0
91,-424.07
92,-157.76
93,-279.55
94,-156.0
95,-254.64
96,-163.44
97,-182.38
98,-123.33
99,-159.77
100,-197.11
101,-180.44
102,-151.41
103,-399.22
104,-197.5
105,-60.11
106,-433.58
107,-274.8
108,-34.38
109,-168.22
110,-262.45
111,-227.76
112,-191.02
113,-61.91
114,-261.78
115,-155.94
116,-170.06
117,-203.11
118,-179.05
119,-183.67
120,-358.48
121,-256.06
122,-384.37
123,-165.73
124,-153.47
125,-255.97
126,-294.47
127,-210.45
128,-142.79
129,-219.72
130,-409.97
131,-401.98
132,-161.74
133,-216.48
134,-412.16
135,-128.1
136,-209.35
137,-172.56
138,-518.78
139,-205.79
140,-151.61
141,-380.67
142,-152.34
143,-156.29
144,-148.0
145,-229.97
146,-351.76
147,-292.48
148,-169.38
149,-118.24
150,-203.75
151,-221.48
152,-175.48
