Ep,Ep_r
0,-7.95
1,-164.13
2,-387.41
3,-180.44
4,-259.31
5,-197.18
6,-151.97
7,-402.2
8,-280.05
9,-150.72
10,-119.31
11,-412.56
12,-182.6
13,-74.43
14,-153.15
15,-166.0
16,-196.49
17,-152.3
18,-165.06
19,-184.09
20,-278.71
21,-122.34
22,-276.31
23,-209.2
24,-144.07
25,-196.16
26,-180.01
27,-329.1
28,-506.7
29,-180.05
30,-455.3
31,-99.45
32,-245.51
33,-153.25
34,-166.48
35,-149.77
36,-286.28
37,-218.34
38,-373.46
39,-177.08
40,-458.87
41,-454.73
42,-122.45
43,-484.76
44,-181.78
45,-63.55
46,-363.01
47,-187.18
48,-238.0
49,-158.17
50,-303.53
51,-194.83
52,-194.12
53,-75.2
54,-197.74
55,-101.0
56,-129.92
57,-401.73
58,-175.44
59,-173.97
60,-313.36
61,-385.03
62,-273.27
63,-176.19
64,-453.24
65,-428.81
66,-155.73
67,-292.79
68,-193.76
69,-194.1
70,-183.84
71,-227.07
72,-185.04
73,-161.84
74,-110.53
75,-272.36
76,-193.82
77,-162.89
78,-203.91
79,-152.06
80,-177.05
81,-183.12
82,-96.21
83,-173.38
84,-149.23
85,-171.22
86,-189.37
87,-158.43
88,-266.47
89,-172.59
90,-208.65
91,-318.94
92,-400.72
93,-165.69
94,-158.44
95,-331.1
96,-189.83
97,-244.05
98,-123.42
99,-127.08
100,-137.91
101,-164.44
102,-167.61
103,-182.6
104,-463.37
105,-115.03
106,-337.11
107,-206.22
108,-147.32
109,-143.69
110,-85.67
111,-319.19
112,22.66
113,-199.81
114,-147.6
115,-130.2
116,-159.65
117,-184.31
118,-140.52
119,-137.41
120,-175.02
121,-95.6
122,-262.53
123,-164.32
124,-122.85
125,-229.74
126,-122.9
127,-347.59
128,-171.16
129,-365.03
130,-122.19
131,-62.9
132,-122.09
133,-261.02
134,-167.86
135,-6.0
136,-441.0
137,-341.37
138,-202.74
139,-286.23
140,-136.38
141,-157.46
142,-173.54
143,-335.38
144,-164.13
145,-193.36
146,-160.28
147,-245.33
148,-168.18
149,-222.46
150,-427.34
151,-239.71
152,-137.04
153,-163.77
154,-667.91
155,-200.41
156,-165.29
157,-179.95
158,-483.16
159,-298.26
160,-134.02
161,-219.42
162,-131.29
163,-303.76
164,-165.15
165,-372.17
166,-113.15
167,-266.51
168,-447.64
169,-169.95
170,-160.41
171,-137.42
172,-224.39
173,-48.16
174,-171.74
175,-297.93
176,-136.41
177,-122.67
178,-249.77
179,-270.78
180,-197.19
181,-133.42
182,-304.63
183,-228.92
184,-294.49
185,-108.69
186,-164.02
187,-67.02
188,-137.46
189,-104.78
190,-262.61
191,-165.32
192,-526.55
193,-224.36
194,-117.57
195,-347.9
196,-169.47
197,-287.14
198,-118.46
199,-88.14
200,-285.47
201,-266.71
202,-128.88
203,-174.6
204,-158.49
205,-191.04
206,-296.33
207,-171.21
208,-352.68
209,-235.72
210,-535.61
211,-175.1
212,-172.74
213,-146.16
214,-194.67
215,-210.13
216,-170.69
217,-193.34
218,-236.47
219,-124.69
220,-240.85
221,-267.44
222,-345.23
223,-218.55
224,-203.61
225,-146.22
226,-123.26
227,-138.72
228,-118.72
229,-235.93
230,-119.25
231,-36.0
232,-190.6
233,-173.5
234,-254.87
235,-161.91
236,-536.44
237,-268.96
238,-438.27
239,-121.79
240,-471.68
241,-382.63
242,-402.14
243,-171.94
244,-119.77
245,-174.11
246,-184.0
247,-150.41
248,-125.18
249,-160.83
250,-180.75
251,-193.56
252,-293.27
253,-144.83
254,-187.54
255,-289.48
256,-113.73
257,-339.3
258,-351.16
259,-230.19
260,-283.94
261,-402.54
262,-123.29
263,-330.13
264,-299.78
265,-148.41
266,-190.43
267,-141.08
268,-131.2
269,-447.22
270,-156.31
271,-143.62
272,-238.31
273,-231.65
274,-117.89
275,-166.59
276,-172.92
277,-276.8
278,-265.64
279,-319.85
280,-187.58
281,-176.86
282,-145.39
283,-272.77
284,-136.81
285,-160.05
286,-154.48
287,-275.96
288,-179.27
289,-62.91
290,-257.73
291,-161.98
292,-155.2
293,-329.19
294,-302.52
295,-187.27
296,-163.69
297,-210.88
298,-222.37
299,-291.6
300,-188.73
301,-207.15
302,-404.89
303,-66.07
304,-126.63
305,-320.95
306,-141.54
307,-285.72
308,-156.98
309,-207.31
310,-185.61
311,-148.52
312,-116.31
313,-133.14
314,-284.08
315,-266.03
316,-234.77
317,-135.53
318,-167.67
319,-189.67
320,-278.67
321,-283.08
322,-134.26
323,-268.89
324,-153.79
325,-200.64
326,-134.99
327,-205.2
328,-131.39
329,-175.56
330,-250.05
331,-252.35
332,-141.26
333,-333.01
334,-198.22
335,-132.5
336,-181.02
337,-198.82
338,-150.7
339,-146.01
340,-305.79
341,-155.88
342,-186.96
343,-462.68
344,-133.66
345,-151.5
346,-181.95
347,-462.73
348,-229.19
349,-146.63
350,-155.92
351,-377.42
352,-487.77
353,-397.5
354,-149.73
355,-306.18
356,-167.48
357,-174.58
358,-199.94
359,-90.4
360,-160.12
361,-117.01
362,-130.3
363,-142.66
364,-180.55
365,-361.61
366,-244.95
367,-314.91
368,-237.34
369,-142.75
370,-237.41
371,-163.03
372,-151.49
373,-157.36
374,-262.46
375,-178.45
376,-200.72
377,-366.36
378,-221.6
379,-167.78
380,-146.48
381,-299.9
382,-164.52
383,-374.72
384,-214.76
385,-414.95
386,-301.24
387,-21.11
388,-462.31
389,-178.05
390,-175.35
391,-117.61
392,-280.39
393,-116.45
394,-283.6
395,-105.54
396,-169.83
397,-194.08
398,-244.3
399,-279.97
400,-196.76
401,-76.01
402,-65.77
403,-167.23
404,-140.3
405,-23.48
406,-159.74
407,-204.31
408,-377.74
409,-142.32
410,-133.14
411,-140.85
412,-180.57
413,-49.32
414,-381.23
415,-429.14
416,-209.48
417,-157.36
418,-155.22
419,-189.01
420,-135.56
421,-165.99
422,-34.19
423,-124.22
424,-177.43
425,-175.44
426,-150.75
427,-175.64
428,-194.45
429,-160.09
430,-139.89
431,-290.66
432,-216.38
433,-295.06
434,-147.51
435,-278.46
436,-470.42
437,-150.69
438,-220.07
439,-151.04
440,-184.23
441,-275.36
442,-142.07
443,-149.66
444,-114.28
445,-201.89
446,-182.05
447,-205.56
448,-197.13
449,-365.71
450,-359.72
451,-284.92
452,-164.2
453,-309.55
454,-173.2
455,-218.86
456,-288.27
457,-307.32
458,-196.44
459,-224.46
460,-354.3
461,-120.17
462,-138.45
463,-148.75
464,-158.46
465,-175.67
466,-192.37
467,-150.28
468,-143.42
469,-175.23
470,-219.31
471,-248.16
472,-219.83
473,-171.66
474,-169.73
475,-155.6
476,-139.19
477,-161.12
478,-165.19
479,-315.97
480,-206.28
481,-504.8
482,-387.23
483,-142.72
484,-152.38
485,-159.03
486,-269.95
487,-113.68
