Ep,Ep_r,epsilon
0,-169.697626,1.0
1,-273.663018,1.0
2,-167.379476,1.0
3,-56.288417,1.0
4,-182.520706,1.0
5,-297.272683,1.0
6,-246.639468,1.0
7,-138.30085,1.0
8,-316.238668,1.0
9,-347.645652,1.0
10,-174.671376,1.0
11,-155.847097,1.0
12,-348.393761,1.0
13,-189.186758,1.0
14,-156.705265,1.0
15,-359.010147,1.0
16,-107.855741,1.0
17,-112.867419,1.0
18,-150.662911,1.0
19,-335.163323,1.0
20,-144.885311,1.0
21,-319.171839,1.0
22,-205.602885,1.0
23,-213.214655,1.0
24,-121.927569,1.0
25,-252.689787,1.0
26,-145.647092,1.0
27,-143.089595,1.0
28,-375.575685,1.0
29,-276.73047,1.0
30,-170.25668,1.0
31,-65.690981,1.0
32,-133.009852,1.0
33,-163.095586,1.0
34,-439.781476,1.0
35,-274.779916,1.0
36,-190.635949,1.0
37,-232.034337,1.0
38,-126.323048,1.0
39,-120.28058,1.0
40,-163.661385,1.0
41,-196.783473,1.0
42,-261.262109,1.0
43,-155.557482,1.0
44,-145.288089,1.0
45,-169.330068,1.0
46,-219.195626,1.0
47,-176.448215,1.0
48,-72.433473,1.0
49,-158.997133,1.0
50,-287.265729,1.0
51,-231.062789,1.0
52,-173.244524,1.0
53,-215.170133,1.0
54,-150.961545,1.0
55,-228.526102,1.0
56,-125.840944,1.0
57,-116.440617,1.0
58,-301.343593,1.0
59,-107.982911,1.0
60,-477.758398,1.0
61,-181.900781,1.0
62,-212.65385,1.0
63,-279.162378,1.0
64,-164.799389,1.0
65,-240.072867,1.0
66,-285.466589,1.0
67,-191.730167,1.0
68,-240.721711,1.0
69,-140.055199,1.0
70,-449.455516,1.0
71,-365.178849,1.0
72,-348.78412,1.0
73,-189.782629,1.0
74,-70.720375,1.0
75,-411.333173,1.0
76,-193.976336,1.0
77,-319.587817,1.0
78,-104.862848,1.0
79,-282.345592,1.0
80,-149.863096,1.0
81,-250.979288,1.0
82,-236.114953,1.0
83,-89.386753,1.0
84,-139.490233,1.0
85,-116.132292,1.0
86,-142.667428,1.0
87,-190.255455,1.0
88,-206.007452,1.0
89,-177.85481,1.0
90,-185.085548,1.0
91,-243.018797,1.0
92,-65.469941,1.0
93,-332.760851,1.0
94,-268.899979,1.0
95,-218.6468,1.0
96,-382.940434,1.0
97,-128.849693,1.0
98,-149.368483,1.0
99,-154.093087,1.0
100,-385.262778,1.0
101,-144.902896,1.0
102,-138.988546,1.0
103,-470.355934,1.0
104,-179.666809,1.0
105,-259.094435,1.0
106,-130.813538,1.0
107,-324.764789,1.0
108,-405.29895,1.0
109,-245.014378,1.0
110,-301.779427,1.0
111,-201.758468,1.0
112,-72.440708,1.0
113,-145.954499,1.0
114,-249.577306,1.0
115,-102.967587,1.0
116,-387.613754,1.0
117,-144.344243,1.0
118,-172.850301,1.0
119,-211.384025,1.0
120,-418.379124,1.0
121,-131.952434,1.0
122,-271.236054,1.0
123,-309.118133,1.0
124,-154.518481,1.0
125,-160.812242,1.0
126,-283.827579,1.0
127,-109.985178,1.0
128,-230.247917,1.0
129,-146.544985,1.0
130,-242.014923,1.0
131,-240.994048,1.0
132,-89.667305,1.0
133,-248.528859,0.994164
134,-430.340329,0.988363
135,-166.531971,0.982595
136,-206.324239,0.976862
137,-114.223977,0.971161
138,-387.928429,0.965495
139,-172.256439,0.959861
140,-135.357626,0.954261
141,-161.072522,0.948694
142,-167.170647,0.943159
143,-262.221424,0.937656
144,-114.789345,0.932186
145,-125.987119,0.926748
146,-189.818437,0.921342
147,-300.007111,0.915968
148,-196.884357,0.910625
149,-182.090798,0.905313
150,-118.924753,0.900033
151,-112.472696,0.894783
152,-411.070566,0.889565
153,-199.049044,0.884377
154,-337.802045,0.879219
155,-180.780179,0.874092
156,-290.947736,0.868994
157,-141.930995,0.863927
158,-216.35869,0.858889
159,-314.020844,0.853881
160,-275.918053,0.848902
161,-234.224091,0.843953
162,-260.387089,0.839032
163,-201.888167,0.834141
164,-63.002958,0.829278
165,-129.583519,0.824443
166,-138.39647,0.819637
167,-181.00416,0.814859
168,-104.3329,0.810109
169,-84.621432,0.805387
170,-304.383295,0.800693
171,-219.324014,0.796026
172,-135.008519,0.791387
173,-117.966389,0.786774
174,-167.694713,0.782189
175,-122.701958,0.777631
176,-169.632342,0.773099
177,-182.622571,0.768594
178,-295.353533,0.764116
179,-62.021292,0.759664
180,-344.687357,0.755237
181,-156.829418,0.750837
182,-98.575976,0.746463
183,-130.586502,0.742114
184,-94.115234,0.737791
185,-121.444089,0.733493
186,-147.663032,0.72922
187,-164.36556,0.724973
188,-168.397008,0.72075
189,-143.040331,0.716552
190,-139.476805,0.712379
191,-79.393726,0.70823
192,-98.979947,0.704105
193,-190.575804,0.700005
194,-201.958259,0.695929
195,-143.553761,0.691876
196,-178.439264,0.687848
197,-133.75714,0.683843
198,-172.375461,0.679861
199,-210.991937,0.675903
200,-82.795942,0.671968
201,-179.067674,0.668057
202,-160.063227,0.664168
203,-130.666979,0.660302
204,-144.674533,0.656458
205,-166.031465,0.652637
206,-69.774699,0.648839
207,-99.256591,0.645063
208,-191.868236,0.641309
209,-77.114653,0.637577
210,-236.355052,0.633867
211,-77.000905,0.630178
212,-91.30363,0.626512
213,-165.052721,0.622866
214,-41.020312,0.619242
215,-71.923895,0.61564
216,-367.637281,0.612058
217,-94.916716,0.608498
218,-138.300405,0.604958
219,-75.549751,0.60144
220,-152.686478,0.597941
221,-102.061004,0.594464
222,-89.387011,0.591007
223,-133.529723,0.58757
224,-126.411039,0.584153
225,-231.260689,0.580756
226,-134.197041,0.577379
227,-116.41441,0.574022
228,-122.011435,0.570685
229,-103.86367,0.567367
230,-179.782504,0.564069
231,-99.126722,0.56079
232,-82.669915,0.55753
233,-289.911343,0.554289
234,-251.410896,0.551068
235,-96.778457,0.547865
236,-34.724949,0.544681
237,-17.688394,0.541516
238,-83.011776,0.538369
239,-95.230253,0.535241
240,-248.433316,0.532131
241,-68.31215,0.529039
242,-125.20646,0.525966
243,-93.041469,0.52291
244,-131.589777,0.519872
245,-254.354954,0.516853
246,-34.20306,0.513851
247,-212.611844,0.510866
248,-13.8901,0.507899
249,-144.536186,0.50495
250,-309.586158,0.502017
251,-114.668543,0.499102
252,-332.747754,0.496204
253,-219.717927,0.493323
254,-115.890348,0.490459
255,-93.734277,0.487612
256,-135.94556,0.484782
257,-396.821399,0.481968
258,-64.376639,0.47917
259,-129.102936,0.476389
260,-152.528655,0.473624
261,-228.5061,0.470876
262,-182.606656,0.468143
263,-37.423965,0.465427
264,-16.758411,0.462727
265,-218.490759,0.460042
266,-151.868065,0.457373
267,-37.099318,0.45472
268,-347.716007,0.452082
269,-298.927021,0.44946
270,-77.510019,0.446853
271,-157.325061,0.444262
272,-246.87842,0.441686
273,-173.841463,0.439124
274,-65.328047,0.436578
