Ep,Ep_r
0,-121.26
1,-166.2
2,-117.45
3,-138.89
4,-376.61
5,-218.16
6,-235.53
7,-179.37
8,-136.29
9,-405.99
10,-147.35
11,-126.05
12,-149.39
13,-313.36
14,-139.09
15,-186.68
16,-131.02
17,-268.92
18,-51.85
19,-296.02
20,-398.07
21,-160.93
22,-93.49
23,-199.09
24,-42.3
25,-122.03
26,-242.64
27,-213.9
28,-254.61
29,-342.28
30,-238.29
31,-272.08
32,-172.5
33,-212.28
34,-546.86
35,-358.51
36,-165.01
37,-181.21
38,-301.41
39,-124.61
40,-222.5
41,-179.26
42,-150.8
43,-278.32
44,-141.22
45,-143.14
46,-156.65
47,-425.6
48,-410.92
49,-171.36
50,-177.92
51,-96.94
52,-122.2
53,-168.54
54,-330.05
55,-528.63
56,-144.28
57,-275.66
58,-177.82
59,-122.65
60,-51.87
61,-139.36
62,-511.07
63,-150.26
64,-456.62
65,-138.65
66,-158.29
67,-170.73
68,-117.81
69,-220.66
70,-115.03
71,-157.86
72,-172.25
73,-76.63
74,-196.23
75,-135.84
76,-106.42
77,-317.08
78,-163.11
79,-168.59
80,-423.88
81,-517.3
82,-350.85
83,-136.29
84,-126.74
85,-290.4
86,-196.43
87,-165.72
88,-459.76
89,-269.09
90,-221.53
91,-443.75
92,-458.57
93,-185.92
94,-384.25
95,-401.58
96,-168.37
97,-359.67
98,-213.75
99,-418.98
100,-326.47
101,-276.38
102,-200.11
103,-222.33
104,-221.7
105,-148.49
106,-181.29
107,-225.49
108,-295.06
109,-232.91
110,-223.65
111,-393.61
112,-446.21
113,-346.7
114,-161.49
115,-273.62
116,-149.51
117,-239.33
118,-124.14
119,-304.12
120,-154.84
121,-172.39
122,-190.67
123,-388.13
124,-276.15
125,-299.94
126,-136.52
127,-149.57
128,-302.72
129,-194.64
130,-113.56
131,-160.13
132,-242.68
133,-105.58
134,-139.64
135,-244.52
136,-381.4
137,-315.85
138,-138.31
139,-179.23
140,-364.86
141,-46.09
142,-285.65
143,-189.97
144,-95.18
145,-198.42
146,-130.27
147,-170.79
148,-290.36
149,-98.01
150,-155.77
151,-270.72
152,-185.98
153,-140.3
154,-117.19
155,-225.44
156,-179.17
157,-134.6
158,-95.8
159,-137.32
160,-244.47
161,-179.07
162,-289.76
163,-279.11
164,-154.7
165,-510.13
166,-173.5
167,-179.25
168,-143.89
169,-426.21
170,-142.76
171,-304.83
172,-376.6
173,-130.45
174,-229.82
175,-121.65
176,-135.48
177,-199.74
178,-221.46
179,-433.64
180,-110.53
181,-266.19
182,-260.12
183,-428.85
184,-162.52
185,-143.93
186,-342.41
187,-133.27
188,-171.59
189,-259.55
190,-279.03
191,-247.55
192,-124.25
193,-493.17
194,-161.74
195,-222.37
196,-181.16
197,-362.81
198,-164.77
199,-264.3
200,-183.95
201,-136.03
202,-104.11
203,-222.39
204,-259.05
205,-156.82
206,-276.47
207,-124.46
208,-167.02
209,-342.42
210,-176.51
211,-161.0
212,-167.18
213,-169.82
214,-399.39
215,-257.82
216,-161.22
217,-170.73
218,-175.74
219,-225.22
220,-206.92
221,-183.69
222,-106.06
223,-146.72
224,-261.63
225,-138.68
226,-212.31
227,-170.41
228,-200.11
229,-114.08
230,-149.77
231,-219.34
232,-141.08
233,-324.0
234,-461.92
235,-272.67
236,-197.75
237,-305.76
238,-169.63
239,-162.5
240,-301.53
241,-179.71
242,-244.87
243,-436.68
244,-168.25
245,-171.72
246,-186.63
247,-145.27
248,-204.51
249,-138.73
250,-347.16
251,-318.42
252,-142.6
253,-143.86
254,-124.66
255,-279.41
256,-180.29
257,-122.72
258,-175.65
259,-180.23
260,-177.86
261,-135.11
262,-376.82
263,-103.76
264,-124.95
265,-298.88
266,-267.61
267,-327.53
268,-152.38
269,-135.67
270,-387.22
271,-157.86
272,-353.9
273,-469.58
274,-355.1
275,-405.08
276,-180.41
277,-541.61
278,-174.0
279,-250.54
280,-166.7
281,-499.84
282,-129.84
283,-166.44
284,-405.54
285,-306.68
286,-165.92
287,-184.86
288,-154.59
289,-130.58
290,-161.91
291,-235.76
292,-163.64
293,-201.42
294,-474.75
295,-101.19
296,-186.75
297,-427.29
298,-138.96
299,-178.32
300,-424.14
301,-191.56
302,-247.25
303,-177.97
304,-213.53
305,-269.25
306,-160.55
307,-145.3
308,-122.69
309,-283.3
310,-164.24
311,-180.66
312,-344.59
313,-425.93
314,-193.84
315,-238.64
316,-173.88
317,-271.16
318,-154.71
319,-290.81
320,-217.33
321,-494.26
322,-229.19
323,-163.28
324,-104.71
325,-200.54
326,-97.78
327,-230.25
328,-351.55
329,-198.68
330,-427.72
331,-178.36
332,-157.78
333,-96.81
334,-163.28
335,-171.89
336,-152.0
337,-287.16
338,-356.5
339,-292.83
340,-92.51
341,-84.64
342,-399.01
343,-197.37
344,-431.78
345,-195.46
346,-185.29
347,-33.15
348,-176.08
349,-229.57
350,-154.92
351,-143.67
352,-133.91
353,-180.16
354,-191.31
355,-146.28
356,-129.82
357,-241.44
358,-271.94
359,-183.06
360,-171.92
361,-187.47
362,-261.77
363,-202.72
364,-277.36
365,-203.28
366,-202.43
367,-432.7
368,-358.88
369,-391.74
370,-156.03
371,-175.45
372,-110.63
373,-183.6
374,-151.14
375,-183.03
376,-206.43
377,-296.5
378,-105.38
379,-453.23
380,-156.89
381,-229.43
382,-237.98
383,-151.89
384,-440.24
385,-180.36
386,-66.06
387,-143.34
388,-195.84
389,-155.49
390,-63.85
391,-174.99
392,-258.89
393,-165.23
394,-167.32
395,-158.56
396,-300.81
397,-175.13
398,-133.91
399,-188.61
400,-234.66
401,-153.06
402,-207.55
403,-24.52
404,-149.93
405,-291.52
406,-168.84
407,-144.29
408,-166.32
409,-129.88
410,-138.75
411,-141.57
412,-305.77
413,-391.88
414,-215.09
415,-202.65
416,-180.78
417,-310.44
418,-162.42
419,-336.33
420,-237.96
421,-401.19
422,-127.44
423,-135.07
424,-122.87
425,-308.98
426,-348.05
427,-222.2
428,-189.55
429,-137.81
430,-122.13
431,-217.43
432,-30.95
433,-324.02
434,-277.44
435,-157.79
436,-185.6
437,-189.91
438,-396.05
439,-187.36
440,-137.71
441,-56.11
442,-336.3
443,-148.33
444,-44.79
445,-146.27
446,-175.55
447,-197.94
448,-160.75
449,-356.75
450,-169.54
451,-342.44
452,-190.84
453,-125.29
454,-116.91
455,-134.86
456,-162.33
457,-193.59
458,-147.4
459,-174.48
460,-191.81
461,-157.42
462,-136.44
463,-169.13
464,-227.4
465,-201.66
466,-152.91
467,-277.85
468,-200.19
469,-142.93
470,-147.88
471,-202.68
472,-129.25
473,-181.73
474,-386.73
475,-126.49
476,-165.13
477,-217.21
478,-379.47
479,-254.8
480,-171.35
481,-234.12
482,-146.19
483,-168.33
484,-178.06
485,-168.11
486,-203.65
487,-272.48
488,-269.07
489,-217.94
490,-280.88
491,-161.6
492,-109.99
493,-251.47
494,-430.02
495,-317.19
496,-393.66
497,-174.58
498,-48.31
499,-163.01
500,-136.47
501,-153.62
502,-194.46
503,-184.53
504,-354.23
505,-196.46
506,-172.64
507,-189.45
508,-147.58
