Ep,Ep_r,epsilon
0,-134.325503,1.0
1,-46.276152,1.0
2,-149.208612,1.0
3,-300.64442,1.0
4,-158.455268,1.0
5,-196.877003,1.0
6,-226.525482,1.0
7,-287.590373,1.0
8,-276.21605,1.0
9,-330.206508,1.0
10,-139.117316,1.0
11,-276.012892,1.0
12,-374.867943,1.0
13,-271.500388,1.0
14,-171.08361,1.0
15,-147.782918,1.0
16,-169.354508,1.0
17,-360.882724,1.0
18,-476.72578,1.0
19,-146.458296,1.0
20,-330.104832,1.0
21,-112.780437,1.0
22,-140.581091,1.0
23,-132.341559,1.0
24,-204.478096,1.0
25,-147.599913,1.0
26,-267.579293,1.0
27,-148.646976,1.0
28,-166.408125,1.0
29,-137.806427,1.0
30,-245.135025,1.0
31,-259.178335,1.0
32,-195.23174,1.0
33,-223.322255,1.0
34,-247.693739,1.0
35,-384.702098,1.0
36,-134.4744,1.0
37,-402.890976,1.0
38,-116.122899,1.0
39,-261.162541,1.0
40,-150.084888,1.0
41,-172.314379,1.0
42,-336.278021,1.0
43,-171.119231,1.0
44,-275.513489,1.0
45,-130.380051,1.0
46,-403.537088,1.0
47,-187.312824,1.0
48,-260.343362,1.0
49,-198.091536,1.0
50,-399.87842,1.0
51,-30.436342,1.0
52,-175.07351,1.0
53,-208.711683,1.0
54,-111.078257,1.0
55,-175.841689,1.0
56,-137.213741,1.0
57,-150.521873,1.0
58,-118.007578,1.0
59,-158.07481,1.0
60,-131.772549,1.0
61,-181.955237,1.0
62,-121.758577,1.0
63,-377.864894,1.0
64,-297.191625,1.0
65,-138.954753,1.0
66,-214.070246,1.0
67,-169.834226,1.0
68,-151.628665,1.0
69,-138.237545,1.0
70,-116.353589,1.0
71,-281.614599,1.0
72,-265.734471,1.0
73,-162.245082,1.0
74,-187.763424,1.0
75,-132.488861,1.0
76,-278.027018,1.0
77,-345.926349,1.0
78,-171.821413,1.0
79,-146.567658,1.0
80,-346.227509,1.0
81,-138.478531,1.0
82,-375.456281,1.0
83,-128.065175,1.0
84,-445.796476,1.0
85,-141.533563,1.0
86,-497.312879,1.0
87,-37.133771,1.0
88,-54.691703,1.0
89,-237.835695,1.0
90,-391.713378,1.0
91,-186.011454,1.0
92,-137.43441,1.0
93,-178.964572,1.0
94,-128.059943,1.0
95,-489.486167,1.0
96,-394.946565,1.0
97,-125.820328,1.0
98,-165.629371,1.0
99,-160.60943,1.0
100,-188.23661,1.0
101,-114.023116,1.0
102,-269.413392,1.0
103,-166.02438,1.0
104,-137.12968,1.0
105,-143.338998,1.0
106,-345.816376,1.0
107,-251.076585,1.0
108,-139.415097,1.0
109,-143.359379,1.0
110,-233.870156,1.0
111,-154.332721,1.0
112,-307.284924,1.0
113,-289.785227,1.0
114,-269.56459,1.0
115,-149.740573,1.0
116,-143.076461,1.0
117,-189.929599,1.0
118,-347.27788,1.0
119,-317.642,1.0
120,-178.15671,1.0
121,-407.016263,1.0
122,-258.58644,1.0
123,-219.822608,1.0
124,-304.701429,1.0
125,-196.231479,1.0
126,-121.826006,1.0
127,-338.578898,1.0
128,-134.177749,1.0
129,-73.84928,0.994164
130,-189.369805,0.988363
131,-133.381205,0.982595
132,-156.410356,0.976862
133,-253.776412,0.971161
134,-273.819063,0.965495
135,-151.78695,0.959861
136,-151.313642,0.954261
137,-458.343083,0.948694
138,-131.86175,0.943159
139,-109.35799,0.937656
140,-111.583571,0.932186
141,-367.364175,0.926748
142,-231.392835,0.921342
143,-381.310942,0.915968
144,-208.0577,0.910625
145,-153.789787,0.905313
146,-147.550262,0.900033
147,-203.147191,0.894783
148,-188.059014,0.889565
149,-172.963444,0.884377
150,-108.570259,0.879219
151,-304.129253,0.874092
152,-159.948135,0.868994
153,-230.380002,0.863927
154,-303.68886,0.858889
155,-257.817585,0.853881
156,-144.507598,0.848902
157,-163.975276,0.843953
158,-222.049771,0.839032
159,-203.488842,0.834141
160,-162.992434,0.829278
161,-378.286051,0.824443
162,-336.774727,0.819637
163,-193.541768,0.814859
164,-479.592092,0.810109
165,-162.501407,0.805387
166,-148.35949,0.800693
167,-136.044363,0.796026
168,-518.413551,0.791387
169,-241.930803,0.786774
170,-319.685124,0.782189
171,-342.16181,0.777631
172,-179.306587,0.773099
173,-495.915586,0.768594
174,-463.633308,0.764116
175,-655.22336,0.759664
176,-119.425345,0.755237
177,-487.36522,0.750837
178,-405.986542,0.746463
179,-203.100156,0.742114
180,-162.293994,0.737791
181,-353.06329,0.733493
182,-371.001376,0.72922
183,-379.089273,0.724973
184,-314.888762,0.72075
185,-568.695957,0.716552
186,-376.99105,0.712379
187,-419.691251,0.70823
188,-416.775367,0.704105
189,-497.279771,0.700005
190,-106.881445,0.695929
191,-545.813418,0.691876
192,-413.422952,0.687848
193,-491.466885,0.683843
194,-173.637492,0.679861
195,-388.474604,0.675903
196,-427.058962,0.671968
197,-218.428524,0.668057
198,-262.434888,0.664168
199,-329.492999,0.660302
200,-233.504441,0.656458
201,-505.337934,0.652637
202,-474.28441,0.648839
203,-663.788547,0.645063
204,-179.220604,0.641309
205,-392.339854,0.637577
206,-615.861948,0.633867
207,-167.587485,0.630178
208,-252.401302,0.626512
209,-570.00042,0.622866
210,-302.182783,0.619242
211,-547.325189,0.61564
212,-511.094268,0.612058
213,-311.77858,0.608498
214,-403.017639,0.604958
215,-379.191741,0.60144
216,-241.980419,0.597941
217,-385.604454,0.594464
218,-306.871189,0.591007
219,-414.721108,0.58757
220,-579.688119,0.584153
221,-606.083089,0.580756
222,-540.986972,0.577379
223,-654.764881,0.574022
224,-551.686143,0.570685
225,-598.428773,0.567367
226,-373.893405,0.564069
227,-261.244505,0.56079
228,-283.015095,0.55753
229,-551.993222,0.554289
230,-463.130974,0.551068
231,-638.367929,0.547865
232,-706.649254,0.544681
233,-643.852506,0.541516
234,-257.950776,0.538369
235,-344.378401,0.535241
236,-451.823269,0.532131
237,-429.465009,0.529039
238,-446.87278,0.525966
239,-517.753907,0.52291
240,-336.524131,0.519872
241,-391.849722,0.516853
242,-632.270216,0.513851
243,-376.411082,0.510866
244,-581.445608,0.507899
245,-367.515123,0.50495
246,-268.193605,0.502017
247,-241.924967,0.499102
248,-352.525113,0.496204
249,-578.308884,0.493323
250,-538.470427,0.490459
251,-637.654985,0.487612
252,-251.928385,0.484782
253,-401.236942,0.481968
254,-459.422269,0.47917
255,-596.021495,0.476389
256,-487.211211,0.473624
257,-410.94423,0.470876
258,-345.579612,0.468143
259,-233.469221,0.465427
260,-496.794769,0.462727
261,-479.47242,0.460042
262,-581.703757,0.457373
263,-645.173301,0.45472
264,-522.505572,0.452082
265,-313.273766,0.44946
266,-441.433759,0.446853
267,-534.576478,0.444262
268,-483.499217,0.441686
269,-417.49643,0.439124
270,-260.625213,0.436578
271,-599.424455,0.434047
272,-543.19454,0.431531
273,-634.505558,0.429029
274,-329.134339,0.426542
275,-572.794076,0.42407
276,-410.450529,0.421612
277,-521.081095,0.419168
278,-547.032672,0.416739
279,-623.599315,0.414324
280,-725.012326,0.411923
281,-396.456436,0.409537
282,-769.181256,0.407164
283,-813.685496,0.404805
284,-262.894049,0.402461
285,-426.49943,0.400129
286,-488.927824,0.397812
287,-524.137337,0.395508
288,-331.264554,0.393218
289,-496.385868,0.390941
290,-500.997701,0.388677
291,-594.800254,0.386427
292,-700.791328,0.38419
293,-600.638038,0.381966
294,-367.91669,0.379755
295,-326.95586,0.377557
296,-744.741466,0.375372
297,-282.575094,0.3732
298,-359.907082,0.37104
299,-286.125027,0.368893
300,-537.326909,0.366759
301,-244.606566,0.364637
302,-1207.341979,0.362528
303,-498.767116,0.360431
304,-587.125484,0.358346
305,-783.134418,0.356274
306,-408.051059,0.354214
307,-345.365393,0.352165
308,-524.247723,0.350129
309,-732.977021,0.348105
