Ep,Ep_r,epsilon
0,-166.268195,1.0
1,-137.976185,1.0
2,-155.375323,1.0
3,-264.333291,1.0
4,-196.453972,1.0
5,-108.107921,1.0
6,-259.106719,1.0
7,-147.364802,1.0
8,-173.048769,1.0
9,-383.710816,1.0
10,-296.524423,1.0
11,-299.509367,1.0
12,-224.935732,1.0
13,-308.209873,1.0
14,-183.191793,1.0
15,-317.593183,1.0
16,-204.270269,1.0
17,-152.562522,1.0
18,-222.32892,1.0
19,-261.465427,1.0
20,-261.567254,1.0
21,-218.528467,1.0
22,-140.571306,1.0
23,-433.768851,1.0
24,-210.680865,1.0
25,-324.356302,1.0
26,-300.411807,1.0
27,-151.70952,1.0
28,-189.38587,1.0
29,-152.704368,1.0
30,-138.721872,1.0
31,-156.430873,1.0
32,-186.559408,1.0
33,-455.754324,1.0
34,-339.216532,1.0
35,-113.3254,1.0
36,-368.341277,1.0
37,-228.281335,1.0
38,-244.157516,1.0
39,-127.96943,1.0
40,-200.626833,1.0
41,-139.969667,1.0
42,-223.005542,1.0
43,-155.255679,1.0
44,-534.260702,1.0
45,-417.843842,1.0
46,-181.445609,1.0
47,-227.067985,1.0
48,-170.965938,1.0
49,-168.507622,1.0
50,-222.702105,1.0
51,-247.114683,1.0
52,-207.827649,1.0
53,-276.603572,1.0
54,-201.031027,1.0
55,-105.219963,1.0
56,-58.145131,1.0
57,-244.582024,1.0
58,-264.592787,1.0
59,-176.781284,1.0
60,-225.094199,1.0
61,-175.147154,1.0
62,-270.687577,1.0
63,-167.580129,1.0
64,-113.464172,1.0
65,-363.229167,1.0
66,-550.291646,1.0
67,-406.408034,1.0
68,-120.990907,1.0
69,-160.219407,1.0
70,-311.718004,1.0
71,-401.07214,1.0
72,-203.740056,1.0
73,-373.485244,1.0
74,-286.668229,1.0
75,-182.717737,1.0
76,-207.994094,1.0
77,-166.343673,1.0
78,-405.287413,1.0
79,-88.239606,1.0
80,-150.860628,1.0
81,-165.320119,1.0
82,-268.788223,1.0
83,-174.989582,1.0
84,-169.520941,1.0
85,-501.636038,1.0
86,-108.876421,1.0
87,-155.537586,1.0
88,-137.711272,1.0
89,-130.371112,1.0
90,-41.815066,1.0
91,-229.452241,1.0
92,-451.732677,1.0
93,-503.506044,1.0
94,-295.811356,1.0
95,-374.166789,1.0
96,-265.275434,1.0
97,-166.527937,1.0
98,-393.463718,1.0
99,-356.772881,1.0
100,-284.69771,1.0
101,-198.887509,1.0
102,-346.187554,1.0
103,-371.601666,1.0
104,-217.012899,1.0
105,-155.211945,1.0
106,-193.664652,1.0
107,-131.185074,1.0
108,-148.620446,1.0
109,-320.767194,1.0
110,-353.212507,1.0
111,-97.569312,1.0
112,-485.549469,1.0
113,-348.679892,1.0
114,-143.798741,1.0
115,-551.719682,1.0
116,-98.629433,1.0
117,-108.724379,1.0
118,-263.08679,1.0
119,-405.111484,1.0
120,-188.93113,1.0
121,-63.099975,1.0
122,-519.021552,1.0
123,-373.708893,1.0
124,-157.401589,1.0
125,-150.057746,1.0
126,-249.793779,1.0
127,-138.054833,1.0
128,-169.819885,1.0
129,-223.282495,1.0
130,-295.60052,1.0
131,-127.184036,1.0
132,-260.754533,0.994164
133,-193.664898,0.988363
134,-233.323333,0.982595
135,-155.039557,0.976862
136,-128.843184,0.971161
137,-293.642397,0.965495
138,-258.154101,0.959861
139,-124.910424,0.954261
140,-94.380666,0.948694
141,-183.263756,0.943159
142,-119.436263,0.937656
143,-137.728329,0.932186
144,-229.060565,0.926748
145,-151.810915,0.921342
146,-171.083089,0.915968
147,-119.921207,0.910625
148,-129.176462,0.905313
149,-463.418408,0.900033
150,-248.927363,0.894783
151,-208.52034,0.889565
152,-258.455521,0.884377
153,-365.645739,0.879219
154,-492.536441,0.874092
155,-337.962263,0.868994
156,-424.727656,0.863927
157,-218.571201,0.858889
158,-369.976861,0.853881
159,-103.122495,0.848902
160,-154.674732,0.843953
161,-338.124722,0.839032
162,-140.51405,0.834141
163,-191.499402,0.829278
164,-145.62635,0.824443
165,-215.857267,0.819637
166,-202.221287,0.814859
167,-348.601863,0.810109
168,-117.614045,0.805387
169,-112.807511,0.800693
170,-232.872035,0.796026
171,-122.397853,0.791387
172,-104.1136,0.786774
173,-237.054856,0.782189
174,-238.356854,0.777631
175,-164.078119,0.773099
176,-124.038775,0.768594
177,-251.169493,0.764116
178,-197.073997,0.759664
179,-102.828738,0.755237
180,-167.367522,0.750837
181,-425.263144,0.746463
182,-156.024389,0.742114
183,-303.434885,0.737791
184,-133.221376,0.733493
185,-141.032561,0.72922
186,-169.842891,0.724973
187,-73.317395,0.72075
188,-172.328909,0.716552
189,-151.917738,0.712379
190,-143.744307,0.70823
191,-174.814986,0.704105
192,-407.674471,0.700005
193,-176.74769,0.695929
194,-220.380145,0.691876
195,-72.431318,0.687848
196,-340.386056,0.683843
197,-184.273637,0.679861
198,-109.889196,0.675903
199,-312.001286,0.671968
200,-159.123914,0.668057
201,-176.701527,0.664168
202,-86.108633,0.660302
203,-127.160048,0.656458
204,-290.714089,0.652637
205,-180.253964,0.648839
206,-175.536773,0.645063
207,-150.509821,0.641309
208,-99.022031,0.637577
209,-104.347407,0.633867
210,-142.587665,0.630178
211,-158.797074,0.626512
212,-75.22173,0.622866
213,-61.391728,0.619242
214,-145.922724,0.61564
215,-28.45268,0.612058
216,-114.069298,0.608498
217,-19.112723,0.604958
218,-46.446588,0.60144
219,-123.944783,0.597941
220,-146.868439,0.594464
221,-152.576904,0.591007
222,-140.243947,0.58757
223,-218.981664,0.584153
224,-154.559785,0.580756
225,-102.920353,0.577379
226,-137.291956,0.574022
227,-131.014656,0.570685
228,-158.610206,0.567367
229,-88.434467,0.564069
230,-164.745754,0.56079
231,-121.872884,0.55753
232,-112.703825,0.554289
233,-150.960854,0.551068
234,-69.122506,0.547865
235,-131.711335,0.544681
236,-78.824701,0.541516
237,-91.510023,0.538369
238,-119.102937,0.535241
239,-112.249897,0.532131
