Ep,Ep_r
0,-99.96
1,-189.42
2,-534.75
3,-117.25
4,-195.3
5,-399.6
6,-225.59
7,-140.27
8,-142.66
9,-251.09
10,-276.8
11,-448.97
12,-237.12
13,-397.79
14,-295.33
15,-178.56
16,-315.0
17,-399.31
18,-175.56
19,-514.89
20,-143.1
21,-574.97
22,-271.12
23,-118.22
24,-391.02
25,-125.57
26,-284.74
27,-153.01
28,-391.35
29,-304.24
30,-452.6
31,-396.55
32,-319.27
33,-132.58
34,-339.72
35,-359.74
36,-117.12
37,-124.83
38,-121.35
39,-219.25
40,-240.22
41,-135.72
42,-175.07
43,-237.11
44,-171.13
45,-132.19
46,-140.78
47,-151.26
48,-426.92
49,-153.24
50,-418.6
51,-197.77
52,-324.19
53,-212.85
54,-332.62
55,-260.34
56,-140.17
57,-182.98
58,-121.77
59,-132.78
60,-43.97
61,-321.5
62,-412.01
63,-144.33
64,-165.45
65,-136.02
66,-146.9
67,-401.19
68,-447.69
69,-162.62
70,-209.14
71,-226.02
72,-260.04
73,-583.76
74,-105.95
75,-383.84
76,-115.37
77,-164.57
78,-210.42
79,-104.33
80,-103.66
81,-164.95
82,-169.93
83,-417.84
84,-78.02
85,-300.72
86,-240.59
87,-178.59
88,-236.39
89,-416.82
90,-280.27
91,-409.8
92,29.97
93,-488.63
94,-217.42
95,-43.88
96,-302.4
97,-137.5
98,-632.88
99,-158.79
100,-165.16
101,-168.1
102,-305.52
103,-225.24
104,-121.8
105,-112.13
106,-159.17
107,-306.78
108,-232.88
109,-174.2
110,-159.34
111,-179.57
112,-220.46
113,-252.39
114,-153.49
115,-157.89
116,-443.14
117,-282.03
118,-158.08
119,-163.69
120,-194.43
121,-340.87
122,-328.37
123,-173.33
124,-146.76
125,-247.3
126,-137.25
127,-236.96
128,-151.99
129,-80.47
130,-121.7
131,-189.4
132,-143.2
133,-347.16
134,-212.84
135,-286.04
136,-176.93
137,-430.55
138,-137.53
139,-135.2
140,-257.4
141,-154.1
142,-190.56
143,-471.96
144,-183.54
145,-154.95
146,-197.7
147,-132.69
148,-87.17
149,-208.88
150,-280.43
151,-245.67
152,-415.05
153,-158.76
154,-100.04
155,-73.32
156,-313.31
157,-147.74
158,-602.85
159,-147.07
160,-203.53
161,-323.03
162,-392.45
163,-166.72
164,-161.07
165,-339.95
166,-130.51
167,-162.93
168,-126.19
169,-272.18
170,-409.15
171,-129.87
172,-107.13
173,-142.02
174,-143.18
175,-154.51
176,-427.56
177,-105.46
178,-180.82
179,-286.68
180,-145.59
181,-178.47
182,-406.14
183,-132.57
184,-179.23
185,-126.47
186,-393.22
187,-384.03
188,-105.43
189,-390.93
190,-175.67
191,-158.99
192,-179.21
193,-436.4
194,-165.38
195,-142.55
196,-450.86
197,-197.27
198,-147.23
199,-162.18
200,-166.02
201,-390.3
202,-196.01
203,-396.66
204,-121.69
205,-145.38
206,-330.92
207,-199.11
208,-154.74
209,-165.45
210,-226.65
211,-173.48
212,-148.57
213,-194.19
214,-376.06
215,-181.08
216,-178.24
217,-171.43
218,-428.87
219,-143.01
220,-161.96
221,-157.88
222,-107.17
223,-235.43
224,-193.32
225,-400.5
226,-209.83
227,-62.47
228,-174.02
229,-222.5
230,-322.84
231,-414.7
232,-173.61
233,-138.39
234,-318.41
235,-136.91
236,-184.98
237,-143.13
238,-275.03
239,-114.58
240,-190.33
241,-229.79
242,-179.12
243,-228.3
244,-163.01
245,-230.58
246,-138.13
247,-421.71
248,-339.38
249,-353.48
250,-208.67
251,-154.47
252,-145.51
253,-239.85
254,-144.54
255,-370.02
256,-151.76
257,-441.5
258,-154.53
259,-107.03
260,-386.46
261,-134.9
262,-202.93
263,-156.04
264,-268.28
265,-144.21
266,-162.45
267,-154.42
268,-108.87
269,-332.87
270,-209.47
271,-251.58
272,-298.93
273,-194.28
274,-230.66
275,-186.97
276,-215.24
277,-282.19
278,-220.86
279,-129.68
280,-110.29
281,-278.02
282,-143.03
283,-37.04
284,-288.3
285,-150.41
286,-166.53
287,-337.86
288,-157.25
289,-334.66
290,-160.24
291,-251.79
292,-358.88
293,-491.04
294,-179.75
295,-348.8
296,-390.88
297,-160.9
298,-164.91
299,-189.96
300,-140.01
301,-151.23
302,-166.74
303,-209.42
304,-145.94
305,-239.21
306,-181.94
307,-171.02
308,-319.38
309,-450.23
310,-195.18
311,-177.93
312,-181.19
313,-486.73
314,-163.49
315,-185.84
316,-302.41
317,-214.59
318,-206.22
319,-208.04
320,-307.39
321,-186.0
322,-147.7
323,-222.68
324,-180.97
325,-214.56
326,-199.98
327,-195.62
328,-148.48
329,-325.27
330,-250.37
331,-355.68
332,-197.87
333,-123.04
334,-254.42
335,-143.73
336,-194.03
337,-355.41
338,-198.33
339,-325.47
340,-155.08
341,-168.63
342,-163.54
343,-143.04
344,-267.07
345,-120.16
346,-261.63
347,-59.02
348,-156.18
349,-277.43
350,-138.72
351,-135.12
352,-145.68
353,-273.77
354,-422.58
355,-278.61
356,-175.81
357,-196.94
358,-229.29
359,-224.1
360,-401.99
361,-168.12
362,-147.09
363,-314.46
364,-142.45
365,-144.98
366,-293.01
367,-277.81
368,-157.85
369,-137.11
370,-211.37
371,-127.08
372,-209.51
373,-231.77
374,-184.21
375,-329.06
376,-88.22
377,-106.33
378,-310.1
379,-467.3
380,-141.68
381,-156.2
382,-166.61
383,-118.11
384,-189.4
385,-322.97
386,-151.35
387,-169.56
388,-378.35
389,-143.69
390,-99.05
391,-143.04
392,-123.18
393,-163.15
394,-206.67
395,-140.47
396,-416.02
397,-262.29
398,-132.49
399,-174.04
400,-299.3
401,-156.67
402,-118.8
403,-204.99
404,-188.32
405,-145.88
406,-296.37
407,-156.12
408,-247.58
409,-168.69
410,-352.72
411,-376.43
412,-408.97
413,-48.74
414,-325.81
415,-166.23
416,-142.44
417,-158.59
418,-252.18
419,-237.09
420,-150.39
421,-481.06
422,-226.21
423,-195.96
424,-211.32
425,-455.75
426,-182.78
427,-244.82
428,-111.84
429,-122.49
430,-138.01
431,-189.7
432,-157.87
433,-252.93
434,-160.28
435,-158.3
436,-255.09
437,-223.55
438,-142.05
439,-174.0
440,-117.95
441,-471.95
442,-191.8
443,-109.33
444,-215.91
445,-160.08
446,-265.46
447,-166.22
448,-137.2
449,-310.14
450,-150.67
451,-109.81
452,-117.23
453,-151.83
454,-153.51
455,-132.27
456,-163.07
457,-241.76
458,-124.9
459,-202.76
460,-426.74
461,-26.32
462,-171.15
463,-87.1
464,-215.4
465,-172.88
466,-117.41
467,-249.82
468,-134.96
469,-173.28
470,-157.37
471,-186.03
472,-166.5
473,-182.39
474,-67.72
475,-169.47
476,-355.07
477,-150.27
478,-119.95
479,-200.03
480,-175.68
481,-208.87
482,-320.01
483,-167.23
484,-24.24
485,-140.16
486,-204.99
487,-316.68
488,-136.05
489,-155.57
490,-153.11
491,-172.26
492,-263.85
493,-346.04
494,-139.78
495,-187.63
496,-138.83
497,-139.65
498,-391.29
499,-167.64
500,-151.24
501,-126.43
502,-161.73
503,-317.73
504,-131.82
505,-233.85
506,-169.43
507,-230.75
508,-169.56
509,-172.79
510,-154.45
511,-166.73
512,-136.7
513,-225.82
514,-187.38
515,-251.59
516,-147.83
517,-142.18
518,-166.22
519,-165.73
520,-248.38
521,-94.04
522,-154.79
523,-360.16
524,-244.09
525,-161.29
526,-150.38
527,-179.03
528,-239.08
529,-145.79
530,-120.62
531,-174.83
532,-207.7
533,-166.56
534,-167.12
535,-28.95
536,-141.76
537,-320.43
538,-138.26
539,-461.18
540,-130.37
541,-186.61
542,-233.64
543,-173.18
544,-175.05
545,-149.58
546,-173.17
547,-171.6
548,-294.12
549,-345.0
550,-213.76
551,-162.06
552,-176.17
553,-217.94
554,-217.07
555,-177.15
556,-23.35
557,-160.9
558,-419.42
559,-153.66
560,-329.62
561,-124.27
562,-182.01
563,-171.1
564,-287.87
565,-145.56
566,-82.62
567,-162.08
568,-170.94
569,-280.45
570,-159.36
571,-148.8
572,-234.25
573,-255.08
574,-247.68
575,-172.46
576,-293.06
577,-276.42
578,-325.49
579,-158.82
580,-169.31
581,-176.7
582,-171.99
583,-167.21
584,-141.47
585,-181.37
586,-169.51
587,-170.73
588,-489.32
589,-370.14
590,-193.6
591,-176.58
592,-190.87
593,-188.63
594,-142.0
595,-336.34
596,-168.77
597,-171.66
598,-163.53
599,-450.59
600,-265.71
601,-57.45
602,-92.47
603,-173.34
604,-196.66
605,-72.93
606,-211.5
607,-226.59
608,-256.53
609,-147.59
610,-202.48
611,-293.85
612,-137.39
613,-220.03
614,-177.21
615,-142.79
616,-283.4
617,-184.63
618,-127.24
619,-284.58
620,-213.3
621,-188.73
622,-114.33
623,-135.58
624,-164.86
625,-168.32
626,-145.77
627,-329.03
628,-382.98
629,-276.22
630,-185.63
631,-264.18
632,-371.38
633,-153.96
634,-145.33
635,-132.07
636,-237.21
637,-196.89
638,-181.03
639,-149.38
640,-72.09
641,-160.39
642,-175.36
643,-178.74
644,-181.02
645,-323.54
646,-375.76
647,-217.43
648,-393.25
649,-180.69
650,-136.23
651,-131.75
652,-176.53
653,-286.06
654,-165.53
655,-238.55
656,-183.67
657,-191.03
658,-273.94
659,-198.32
660,-172.21
661,-265.85
662,-194.75
663,-175.72
664,-240.75
665,-128.66
666,-130.32
667,-251.15
668,-213.31
669,-388.25
670,-141.88
671,-159.37
672,-168.37
673,-306.44
674,-174.85
675,-180.97
676,-239.17
677,-163.12
678,-150.9
679,-161.27
680,-160.17
681,-206.73
682,-240.31
683,-226.48
684,-186.88
685,-285.11
686,-218.3
687,-180.49
688,-53.7
689,-133.31
690,-190.55
691,-155.79
692,-189.76
693,-196.28
694,-193.61
695,-320.27
696,-158.85
697,-209.32
698,-192.62
699,-145.05
700,-174.32
701,-312.6
702,-155.18
703,-133.97
704,-218.95
705,-190.08
706,-269.07
707,-333.14
708,-213.52
709,-231.07
710,-226.2
711,-144.29
712,-394.65
713,-181.56
714,-396.86
715,-185.84
716,-214.08
717,-138.2
718,-264.04
719,-157.22
720,-261.34
721,-237.65
722,-294.36
723,-166.24
724,-131.58
725,-115.34
726,-173.45
727,-158.21
728,-253.11
729,-127.29
730,-280.32
731,-168.87
732,-179.75
733,-140.56
734,-364.19
735,-227.32
736,-153.08
737,-163.43
738,-205.88
739,-100.85
740,-197.99
741,-240.05
742,-171.0
743,-196.25
744,-198.66
745,-92.34
746,-116.03
747,-129.68
748,-233.03
749,-208.72
750,-195.54
751,-164.42
752,-107.84
753,-410.57
754,-396.62
755,-177.4
756,-190.22
757,-200.48
758,-261.71
759,-189.84
760,-22.34
761,-140.13
762,-154.96
763,-197.82
764,-220.93
765,-143.52
766,-280.43
767,-175.59
768,-271.8
769,-175.95
770,-252.65
771,-229.87
772,-149.5
773,-392.23
774,-133.61
775,-144.04
776,-85.83
777,-180.85
778,-150.34
779,-355.89
780,-138.45
781,-245.24
782,-370.86
783,-275.15
784,-234.06
785,-131.45
786,-127.73
787,-90.07
788,-147.54
789,-125.45
790,-151.54
791,-425.55
792,-155.14
793,-191.31
794,-193.39
795,-275.04
796,-172.94
797,-182.96
798,-150.38
799,-176.29
800,-193.11
801,-134.23
802,-156.25
803,-176.99
804,-234.56
805,-154.9
806,-204.34
807,-240.51
808,-192.07
809,-315.17
810,-351.56
811,-138.23
812,-316.18
813,-183.46
814,-309.18
815,-57.69
816,-191.52
817,-214.46
818,-209.85
819,-162.35
820,-198.72
821,-439.91
822,-174.48
823,-188.47
824,-160.65
825,-165.15
826,-144.35
827,-195.7
828,-140.86
829,-368.88
830,-216.1
831,-142.46
832,-164.16
833,-134.34
834,-155.75
835,-169.09
836,-164.29
837,-180.2
838,-122.44
839,-137.62
840,-244.05
841,-231.4
842,-386.85
843,-353.31
844,-179.85
845,-172.61
846,-216.43
847,-159.0
848,-161.22
849,-396.73
850,-129.85
851,19.0
852,-189.09
853,-165.85
854,-216.26
855,-136.2
856,-154.77
857,-193.13
858,-143.17
859,-256.14
860,-197.95
861,-176.88
862,-171.82
863,-134.47
864,-167.38
865,-209.36
866,-169.52
867,-235.71
868,-225.18
869,-186.04
870,-163.44
871,-142.92
872,-278.69
873,-184.85
874,-298.19
875,-157.73
876,-182.63
877,-212.83
878,-255.17
879,-186.55
880,-246.51
881,-187.4
882,-449.62
883,-309.16
884,-202.33
885,-241.07
886,-207.42
887,-172.71
888,-176.56
889,-169.14
890,-223.09
891,-145.78
892,-149.28
893,-192.66
894,-192.13
895,-143.11
896,-129.5
897,-169.63
898,-129.11
899,-358.82
900,-165.17
901,-377.6
902,-176.62
903,-85.54
904,-165.9
905,-107.23
906,-210.51
907,-130.62
908,-186.32
909,-174.48
910,-153.64
911,-205.77
912,-317.38
913,-184.14
914,-147.76
915,-235.9
916,-201.2
917,-184.17
918,-151.28
919,-181.35
920,-165.97
921,-302.55
922,-162.05
923,-116.89
924,-210.2
925,-159.54
926,-278.06
927,-161.34
928,-267.18
929,-188.06
930,-258.1
931,-172.1
932,-109.25
933,-264.32
934,-149.39
935,-152.01
936,-324.07
937,-170.98
938,-153.02
939,-126.72
940,-140.36
941,-183.44
942,-313.66
943,-172.44
944,-144.05
945,-73.35
946,-244.91
947,-236.45
948,-146.0
949,-194.81
950,-164.77
951,-155.56
952,-163.52
953,-178.71
954,-197.8
955,-138.19
956,-174.27
957,-197.36
958,-260.09
959,-162.34
960,-302.34
961,-224.56
962,-120.38
963,-164.78
964,-175.71
965,-233.35
966,-161.59
967,-212.95
968,-252.87
969,-147.18
970,-154.42
971,-123.0
972,-255.97
973,-156.9
974,-283.79
975,-8.44
976,-186.4
977,-275.9
978,-158.61
979,-126.36
980,-47.32
981,-150.85
982,-160.86
983,-292.05
984,-143.75
985,-196.31
986,-163.63
987,-115.42
988,-146.49
989,-177.37
990,-277.18
991,-211.79
992,-272.62
993,-164.8
994,-223.59
995,-230.23
996,-184.29
997,-219.18
998,-199.39
999,-417.2
1000,-167.07
1001,-215.24
1002,-204.35
1003,-133.36
1004,-178.5
1005,-153.85
1006,-136.75
1007,-189.35
1008,-61.53
1009,-515.3
1010,-212.27
1011,-385.09
1012,-160.28
1013,-243.55
1014,-221.5
1015,-193.26
1016,-207.23
1017,-131.35
1018,-174.5
1019,-119.6
1020,-285.39
1021,-213.82
1022,-53.75
1023,-137.08
1024,-289.43
1025,-411.41
1026,-165.77
1027,-464.28
1028,-151.65
1029,-228.64
1030,-25.28
1031,-279.93
1032,-177.02
1033,-135.98
1034,-155.86
1035,-194.87
1036,-287.37
1037,-186.94
1038,-279.63
1039,-118.65
1040,-214.28
1041,-135.4
1042,-166.67
1043,-269.75
1044,-149.87
1045,-181.73
1046,-191.38
1047,-310.3
1048,-133.35
1049,-211.04
1050,-188.06
1051,-217.02
1052,-145.45
1053,-213.52
1054,-142.54
1055,-159.68
1056,-195.92
1057,-196.75
1058,-203.56
1059,-334.0
1060,-133.09
1061,-113.79
1062,-159.5
1063,-142.95
1064,-166.6
1065,-280.14
1066,-168.88
1067,-226.68
1068,-226.72
1069,-198.7
1070,-173.83
1071,-169.76
1072,-157.91
1073,-145.25
1074,-175.7
1075,-175.61
1076,-240.2
1077,-147.91
1078,-266.49
1079,-138.5
1080,-277.27
1081,-189.97
1082,-210.05
1083,-161.35
1084,-195.87
1085,-240.97
1086,-257.69
1087,-153.18
1088,-161.45
1089,-241.67
1090,-235.99
1091,-158.08
1092,-169.19
1093,-279.75
1094,-183.96
1095,-157.49
1096,-200.48
1097,-227.81
1098,-164.25
1099,-172.51
1100,-248.14
1101,-425.96
1102,-201.89
1103,-200.49
1104,-176.9
1105,-226.36
1106,-198.04
1107,-279.79
1108,-49.74
1109,-174.23
1110,-128.61
1111,-136.05
1112,-164.92
1113,-150.18
1114,-166.09
1115,-151.04
1116,-282.2
1117,-159.11
1118,-163.18
1119,-210.3
1120,-48.03
1121,-170.63
1122,-168.13
1123,-191.83
1124,-138.11
1125,-200.1
1126,-176.24
1127,-156.47
1128,-175.87
1129,-176.04
1130,-189.88
1131,-166.93
1132,-152.01
1133,-258.37
1134,-253.34
1135,-181.53
1136,-250.43
1137,-147.96
1138,-166.03
1139,-167.04
1140,-157.56
1141,-168.2
1142,-122.0
1143,-347.19
1144,-170.39
1145,-173.98
1146,-177.07
1147,-146.79
1148,-451.58
1149,-400.36
1150,-208.81
1151,-191.31
1152,-161.74
1153,-336.71
1154,-318.08
1155,-194.08
1156,-282.45
1157,-152.35
1158,-220.0
1159,-226.45
