Ep,Ep_r,epsilon
0,-179.663964,1.0
1,-191.192149,1.0
2,-360.151652,1.0
3,-107.469965,1.0
4,-191.362437,1.0
5,-201.872531,1.0
6,-282.135654,1.0
7,-256.562648,1.0
8,-541.714217,1.0
9,-409.203466,1.0
10,-143.079864,1.0
11,-111.99247,1.0
12,-117.858379,1.0
13,-121.497391,1.0
14,-265.729526,1.0
15,-185.119231,1.0
16,-145.540733,1.0
17,-150.477959,1.0
18,-159.890692,1.0
19,-203.173144,1.0
20,-365.018017,1.0
21,-251.184987,1.0
22,-212.054059,1.0
23,-122.024059,1.0
24,-292.297308,1.0
25,-234.882866,1.0
26,-134.630069,1.0
27,-97.133627,1.0
28,-168.6254,1.0
29,-41.339673,1.0
30,-170.734129,1.0
31,-159.349731,1.0
32,-134.06394,1.0
33,-252.749383,1.0
34,-102.178173,1.0
35,-65.98319,1.0
36,-214.734384,1.0
37,-128.517555,1.0
38,-162.986804,1.0
39,-202.485555,1.0
40,-124.609044,1.0
41,-522.609191,1.0
42,-223.273128,1.0
43,-145.426393,1.0
44,-318.263346,1.0
45,-147.369819,1.0
46,-344.989637,1.0
47,-177.119068,1.0
48,-271.852859,1.0
49,-161.788239,1.0
50,-174.331207,1.0
51,-109.196721,1.0
52,-183.844596,1.0
53,-135.112588,1.0
54,-230.686226,1.0
55,-141.152224,1.0
56,-171.944315,1.0
57,-432.988856,1.0
58,-145.729031,1.0
59,-190.79337,1.0
60,-111.488696,1.0
61,-348.634279,1.0
62,-137.748883,1.0
63,-76.080537,1.0
64,-183.615498,1.0
65,-327.707374,1.0
66,-211.584913,1.0
67,-127.079346,1.0
68,-288.45303,1.0
69,-185.891216,1.0
70,-152.303656,1.0
71,-182.051661,1.0
72,-160.148998,1.0
73,-165.320334,1.0
74,-133.351847,1.0
75,-328.571194,1.0
76,-186.242264,1.0
77,-163.531032,1.0
78,-244.168432,1.0
79,-368.388366,1.0
80,-167.385777,1.0
81,-175.537096,1.0
82,-19.012508,1.0
83,-121.276003,1.0
84,-266.07294,1.0
85,-171.623301,1.0
86,-521.689434,1.0
87,-134.854914,1.0
88,-238.003364,1.0
89,-278.185576,1.0
90,-108.068224,1.0
91,-136.68311,1.0
92,-379.834862,1.0
93,-264.919993,1.0
94,-447.469679,1.0
95,-153.31374,1.0
96,-333.002477,1.0
97,-133.322512,1.0
98,-164.657905,1.0
99,-550.244867,1.0
100,-166.039855,1.0
101,-163.017513,1.0
102,-356.209428,1.0
103,-172.021188,1.0
104,-345.21827,1.0
105,-129.62873,1.0
106,-135.964425,1.0
107,-317.454341,1.0
108,-236.944365,1.0
109,-240.162584,1.0
110,-294.837481,1.0
111,-183.716494,1.0
112,-410.732022,1.0
113,-496.159034,1.0
114,-414.095799,1.0
115,-139.797765,1.0
116,-46.960807,1.0
117,-465.948613,1.0
118,-165.020007,1.0
119,-182.853502,1.0
120,-188.460116,1.0
121,-415.264916,1.0
122,-129.28692,1.0
123,-152.129958,1.0
124,-104.223936,1.0
125,-370.080147,1.0
126,-356.128681,1.0
127,-291.406173,1.0
128,-52.436015,1.0
129,-220.571041,1.0
130,-167.414203,1.0
131,-293.58049,0.994164
132,-376.498871,0.988363
133,-407.400137,0.982595
134,-376.242877,0.976862
135,-139.561332,0.971161
136,-116.111225,0.965495
137,-120.007837,0.959861
138,-156.961309,0.954261
139,-290.466791,0.948694
140,-106.198021,0.943159
141,-143.103829,0.937656
142,-158.971207,0.932186
143,-186.80548,0.926748
144,-129.342605,0.921342
145,-170.647892,0.915968
146,-153.377593,0.910625
147,-230.021612,0.905313
148,-303.281301,0.900033
149,-154.187883,0.894783
150,-148.444798,0.889565
151,-179.028897,0.884377
152,-94.212059,0.879219
153,-263.220102,0.874092
154,-115.165376,0.868994
155,-176.772142,0.863927
156,-144.142088,0.858889
157,-140.685123,0.853881
158,-135.157967,0.848902
159,-149.742493,0.843953
160,-173.973909,0.839032
161,-153.773834,0.834141
162,-130.621539,0.829278
163,-178.648899,0.824443
164,-135.909259,0.819637
165,-146.977058,0.814859
166,-70.03579,0.810109
167,-156.21412,0.805387
168,-143.172698,0.800693
169,-88.796306,0.796026
170,-188.038191,0.791387
171,-94.104895,0.786774
172,-106.455485,0.782189
173,-114.411635,0.777631
174,-91.830645,0.773099
175,-132.13612,0.768594
176,-120.564692,0.764116
177,-139.826614,0.759664
178,-113.933353,0.755237
179,-124.74554,0.750837
180,-90.892256,0.746463
181,-105.897927,0.742114
182,-125.434778,0.737791
183,-119.954354,0.733493
184,-117.614676,0.72922
185,-184.127645,0.724973
186,-162.879317,0.72075
187,-117.095573,0.716552
188,-126.930701,0.712379
189,-86.644332,0.70823
190,-130.400102,0.704105
191,-144.992774,0.700005
192,-111.596448,0.695929
193,-139.72855,0.691876
194,-110.65245,0.687848
195,-125.906345,0.683843
196,-122.548679,0.679861
197,-175.885388,0.675903
198,-177.899489,0.671968
199,-60.424219,0.668057
200,-133.529024,0.664168
201,-83.469416,0.660302
202,-81.632911,0.656458
203,-107.339556,0.652637
204,-173.52391,0.648839
205,-89.72836,0.645063
206,-67.860502,0.641309
207,-154.278375,0.637577
208,-52.360641,0.633867
209,-221.524198,0.630178
210,-142.897154,0.626512
211,-80.123845,0.622866
212,-166.589946,0.619242
213,-171.612505,0.61564
214,-115.108338,0.612058
215,-96.439227,0.608498
216,-155.627115,0.604958
217,-155.744593,0.60144
218,-112.438202,0.597941
219,-156.368863,0.594464
220,-106.432339,0.591007
221,-53.62458,0.58757
222,-124.194734,0.584153
223,-232.57272,0.580756
224,-136.669717,0.577379
225,-38.52924,0.574022
226,-0.140801,0.570685
227,-190.4581,0.567367
228,-184.17655,0.564069
229,-109.343477,0.56079
230,-158.698663,0.55753
231,-122.083794,0.554289
232,-88.684407,0.551068
233,-189.887572,0.547865
234,-172.441279,0.544681
235,-97.513583,0.541516
236,-173.731351,0.538369
237,-56.919829,0.535241
238,-132.011223,0.532131
239,-66.591786,0.529039
240,-59.875111,0.525966
241,-112.864089,0.52291
242,-119.584317,0.519872
243,-165.626183,0.516853
244,-272.456763,0.513851
245,-212.409917,0.510866
246,-94.445538,0.507899
247,-18.595659,0.50495
248,-125.751975,0.502017
249,-142.779241,0.499102
250,-45.498408,0.496204
251,-79.281255,0.493323
252,-114.630654,0.490459
253,-349.041157,0.487612
254,-45.761357,0.484782
255,-138.51127,0.481968
256,-121.410016,0.47917
257,-174.453816,0.476389
258,-71.381317,0.473624
259,-135.625005,0.470876
260,-294.143043,0.468143
261,-176.4796,0.465427
262,-138.989697,0.462727
263,-63.313732,0.460042
264,-12.344391,0.457373
265,-274.109013,0.45472
266,-156.97425,0.452082
267,-153.095883,0.44946
268,-363.797882,0.446853
269,-40.208159,0.444262
270,-247.409326,0.441686
271,-186.425512,0.439124
272,-197.605457,0.436578
273,-56.943522,0.434047
274,-254.247228,0.431531
275,-127.085921,0.429029
276,-297.731926,0.426542
277,-218.282348,0.42407
278,-32.48973,0.421612
279,-354.965005,0.419168
280,-36.967504,0.416739
281,-454.220543,0.414324
282,-193.898438,0.411923
283,-54.605549,0.409537
284,-16.099253,0.407164
285,-213.847567,0.404805
286,-189.950391,0.402461
287,-229.855963,0.400129
288,-238.260377,0.397812
289,-68.901851,0.395508
290,-267.030971,0.393218
291,-72.894736,0.390941
292,-48.43579,0.388677
293,-240.795795,0.386427
294,-76.240943,0.38419
295,-197.077809,0.381966
296,-53.060745,0.379755
297,-231.69526,0.377557
298,-230.525237,0.375372
299,-241.961221,0.3732
300,-182.202453,0.37104
301,-213.954481,0.368893
302,-89.259005,0.366759
303,-213.287479,0.364637
304,-109.999649,0.362528
305,-83.7925,0.360431
306,-166.74002,0.358346
307,-321.347896,0.356274
308,-21.693532,0.354214
309,-178.566366,0.352165
310,-64.959167,0.350129
311,-135.741024,0.348105
312,-168.89447,0.346093
313,-115.420514,0.344092
314,-133.283333,0.342103
315,-119.963566,0.340126
316,-100.421146,0.338161
317,-269.087802,0.336207
318,-76.646105,0.334264
319,121.821568,0.332333
320,-209.14789,0.330413
321,4.031301,0.328505
322,-203.196779,0.326607
323,-22.601924,0.324721
324,22.205928,0.322846
325,-68.003975,0.320982
326,-97.831394,0.319128
327,140.198952,0.317286
328,49.591263,0.315454
329,55.034904,0.313634
330,65.699803,0.311823
331,187.77354,0.310024
332,34.037967,0.308235
333,-121.053279,0.306456
334,24.342427,0.304688
335,-207.200893,0.302931
336,27.618947,0.301183
337,73.522762,0.299446
338,-334.991323,0.297719
339,-140.00392,0.296002
340,-93.980802,0.294295
341,20.718261,0.292599
342,-156.314771,0.290912
343,191.733597,0.289235
344,80.536188,0.287568
345,218.26363,0.285911
346,56.992525,0.284263
347,-166.222664,0.282625
348,28.851,0.280997
349,46.81105,0.279378
350,34.923444,0.277769
351,-30.305245,0.276169
352,26.503007,0.274579
353,37.99799,0.272998
354,-325.753338,0.271426
355,43.797774,0.269863
356,105.002675,0.26831
357,88.24773,0.266765
358,-2.386171,0.26523
359,-48.093266,0.263704
360,-359.904635,0.262187
361,-100.846712,0.260678
362,-86.594995,0.259179
363,-242.756971,0.257688
364,-98.984307,0.256206
365,-60.187822,0.254732
366,-77.009553,0.253268
367,-35.224649,0.251812
368,-137.95971,0.250364
369,-78.094645,0.248925
370,-107.410393,0.247494
371,-91.695746,0.246072
372,-99.205927,0.244658
373,23.772103,0.243252
374,177.006173,0.241855
375,32.886243,0.240466
376,34.692147,0.239085
377,-204.323218,0.237712
378,-78.33857,0.236347
379,188.589422,0.23499
380,-139.098931,0.233641
381,-135.424686,0.2323
382,24.019448,0.230967
383,218.940263,0.229642
384,-240.56503,0.228324
385,195.67899,0.227015
386,-226.704484,0.225712
387,150.170416,0.224418
388,214.395564,0.223131
389,173.260995,0.221852
390,-597.141931,0.22058
391,-361.909911,0.219315
392,50.754535,0.218058
393,-278.357508,0.216809
394,176.64583,0.215567
395,-49.692101,0.214332
396,199.924049,0.213104
397,-45.222947,0.211883
398,-232.26377,0.21067
399,-131.632949,0.209464
400,-12.656286,0.208264
401,-69.102264,0.207072
402,-38.655338,0.205887
403,-49.520897,0.204709
404,10.439773,0.203538
405,-177.835882,0.202373
406,207.595941,0.201215
407,-7.714781,0.200065
408,180.678043,0.198921
409,205.863661,0.197783
410,200.923548,0.196653
411,59.626201,0.195528
412,-23.836774,0.194411
413,-10.430438,0.1933
414,-64.971376,0.192196
415,115.189315,0.191098
416,-1164.241922,0.190006
417,-68.815046,0.188921
418,-26.474486,0.187842
419,-113.455723,0.18677
420,-102.962902,0.185704
421,149.25114,0.184644
422,205.055045,0.183591
423,-82.975381,0.182543
424,-287.460058,0.181502
425,-63.455511,0.180467
426,-88.424419,0.179437
427,-3.897903,0.178414
428,80.428156,0.177397
429,167.092232,0.176386
430,3.102796,0.175381
431,-142.455963,0.174382
432,123.578377,0.173388
433,190.841412,0.172401
434,199.670685,0.171419
435,125.17933,0.170443
436,69.569049,0.169472
437,203.784861,0.168508
438,225.608044,0.167549
439,162.470523,0.166595
440,-70.182396,0.165648
441,-378.498235,0.164705
442,-55.377639,0.163769
443,0.777609,0.162838
444,-206.524142,0.161912
445,-230.271739,0.160992
446,196.506031,0.160077
447,-64.715982,0.159167
448,235.353802,0.158263
449,-50.111989,0.157364
450,-42.26901,0.15647
451,142.899457,0.155582
452,210.824879,0.154699
453,208.331149,0.153821
454,207.120728,0.152948
455,208.546227,0.15208
456,201.64299,0.151218
457,208.650111,0.15036
458,213.399234,0.149507
459,150.127875,0.14866
460,12.512359,0.147817
461,-82.091024,0.14698
462,-218.427699,0.146147
463,-385.31097,0.145319
464,-292.943213,0.144496
465,194.522448,0.143678
466,237.194227,0.142865
467,231.427894,0.142056
468,-237.912765,0.141252
469,246.679988,0.140453
470,214.682736,0.139659
471,-30.753705,0.138869
472,-60.640772,0.138084
473,-81.272605,0.137303
474,-36.613864,0.136527
475,-10.203433,0.135756
476,-9.234756,0.134989
477,180.805224,0.134226
478,3.006898,0.133469
479,-206.483962,0.132715
480,210.710952,0.131966
481,227.704536,0.131221
482,218.180518,0.130481
483,9.987798,0.129745
484,240.287696,0.129013
485,-39.282169,0.128286
486,203.441867,0.127563
487,-9.3373,0.126844
488,184.908649,0.12613
489,-153.423646,0.125419
490,209.749732,0.124713
491,-501.534514,0.124011
492,171.400579,0.123313
493,184.472287,0.122619
494,-84.317662,0.121929
495,204.377375,0.121243
496,234.15103,0.120561
497,-83.249408,0.119884
498,268.061863,0.11921
499,197.269871,0.11854
500,221.494748,0.117874
501,-206.164233,0.117212
502,188.964712,0.116554
503,210.157367,0.1159
504,209.641751,0.115249
505,235.811944,0.114603
506,-3.578028,0.11396
507,159.488866,0.113321
508,-11.377509,0.112685
509,232.867176,0.112054
510,192.171605,0.111426
511,187.975335,0.110802
512,-325.422546,0.110181
513,-72.710527,0.109564
514,216.700011,0.108951
515,154.963017,0.108341
516,-123.41741,0.107735
517,116.177225,0.107133
518,208.465354,0.106534
519,208.419021,0.105938
520,220.55833,0.105346
521,-28.459733,0.104758
522,212.304452,0.104172
523,194.573866,0.103591
524,208.742773,0.103013
525,210.932409,0.102438
526,-75.348065,0.101866
527,4.426097,0.101298
528,210.29819,0.100733
529,210.288138,0.100172
530,228.059664,0.099614
531,8.881225,0.099059
532,239.152133,0.098507
533,218.555045,0.097959
534,227.424745,0.097413
535,-59.453395,0.096871
536,71.316056,0.096333
537,-132.01084,0.095797
538,216.166268,0.095264
539,200.923743,0.094735
540,0.635726,0.094209
541,-37.035544,0.093685
542,-171.021971,0.093165
543,192.632813,0.092648
544,186.313877,0.092134
545,128.424359,0.091623
546,172.437853,0.091115
547,185.733322,0.09061
548,248.557581,0.090108
549,7.333158,0.089609
550,-89.989205,0.089112
551,-334.963839,0.088619
552,202.13369,0.088129
553,96.711012,0.087641
554,190.860492,0.087156
555,41.963254,0.086675
556,-237.741571,0.086196
557,163.234073,0.085719
558,225.009667,0.085246
559,-224.455862,0.084775
560,-131.87355,0.084307
561,-299.112883,0.083842
562,244.652077,0.08338
563,-152.466307,0.08292
564,214.565949,0.082463
565,172.14102,0.082009
566,206.594854,0.081557
567,-81.314082,0.081108
568,-85.572004,0.080662
569,-98.282248,0.080218
570,-61.796363,0.079777
571,-232.256064,0.079338
572,205.670849,0.078902
573,180.649339,0.078469
574,195.878437,0.078038
575,182.676115,0.077609
576,180.192134,0.077184
577,211.400194,0.07676
578,-24.27196,0.076339
579,179.056169,0.075921
580,210.312051,0.075505
581,255.507054,0.075092
582,175.042323,0.07468
583,242.069315,0.074272
584,245.141741,0.073865
585,-7.02193,0.073462
586,-0.462201,0.07306
587,229.729835,0.072661
588,212.415678,0.072264
589,159.344568,0.071869
590,234.513014,0.071477
591,216.520415,0.071087
592,216.573461,0.0707
593,161.518654,0.070314
594,232.935567,0.069931
595,193.424238,0.069551
596,210.25505,0.069172
597,182.553062,0.068796
598,177.142891,0.068421
599,200.98901,0.068049
600,212.306969,0.06768
601,-54.856072,0.067312
602,217.210557,0.066947
603,144.283887,0.066583
604,-37.677424,0.066222
605,246.112754,0.065863
606,235.983355,0.065506
607,237.624175,0.065151
608,-46.327913,0.064798
609,-5.327576,0.064448
610,187.705639,0.064099
611,-53.678251,0.063752
612,226.555071,0.063408
613,244.074466,0.063065
614,9.287002,0.062725
615,215.151789,0.062386
616,-24.040927,0.062049
617,238.243823,0.061715
618,237.663118,0.061382
619,150.220641,0.061052
620,237.304553,0.060723
621,252.303187,0.060396
622,-165.487587,0.060071
623,206.305668,0.059748
624,200.786377,0.059427
625,26.412401,0.059108
626,222.908891,0.05879
627,233.393345,0.058475
628,227.765358,0.058161
629,201.569515,0.05785
630,176.823331,0.05754
631,248.612008,0.057231
632,244.915783,0.056925
633,201.347067,0.056621
634,205.758796,0.056318
635,246.601175,0.056017
636,165.948954,0.055718
637,-466.14613,0.05542
638,-266.855745,0.055124
639,204.62852,0.05483
640,142.583103,0.054538
641,213.833987,0.054248
642,-140.395499,0.053959
643,238.583335,0.053672
644,-273.448096,0.053386
645,-62.328242,0.053102
646,223.222344,0.05282
647,-149.818927,0.05254
648,215.369293,0.052261
649,-91.612493,0.051984
650,-269.629277,0.051708
651,-232.191166,0.051434
652,-195.904269,0.051162
653,-233.405389,0.050891
654,-236.993554,0.050622
655,-365.737053,0.050354
656,-183.093531,0.050088
657,211.500595,0.049824
658,-292.748336,0.049561
659,-115.383806,0.0493
660,-109.784496,0.04904
661,-96.141914,0.048782
662,-244.252047,0.048525
663,-289.260495,0.04827
664,-218.408189,0.048016
665,-231.510351,0.047763
666,-458.381651,0.047513
667,-357.012473,0.047263
668,188.457491,0.047015
669,-281.118837,0.046769
670,-133.320107,0.046524
671,-152.329692,0.04628
672,-664.037702,0.046038
673,-230.191791,0.045798
674,-264.704917,0.045558
675,-252.575865,0.045321
676,-272.77164,0.045084
677,-250.606551,0.044849
678,-72.592764,0.044615
679,-178.60752,0.044383
680,-106.717753,0.044152
681,-213.888659,0.043922
682,-225.768846,0.043694
683,-219.801516,0.043467
684,-200.024481,0.043241
685,-318.427216,0.043017
686,-237.930963,0.042794
687,-279.079069,0.042572
688,-272.761345,0.042352
689,-84.854355,0.042133
690,-197.473564,0.041915
691,-155.4258,0.041699
692,-275.479732,0.041484
693,-356.439074,0.04127
694,-129.637452,0.041057
695,-205.330695,0.040845
696,-362.464996,0.040635
697,-351.803118,0.040426
698,-631.345252,0.040218
699,-439.857474,0.040012
700,-401.074708,0.039806
701,-207.523205,0.039602
702,-208.0499,0.039399
703,-252.978573,0.039198
704,191.648251,0.038997
705,-242.70835,0.038798
706,-376.365252,0.038599
707,-320.432358,0.038402
708,-386.917125,0.038206
709,-187.64767,0.038012
710,-223.23278,0.037818
711,19.47163,0.037626
712,188.315001,0.037434
713,-350.094484,0.037244
714,-428.44973,0.037055
715,-237.12348,0.036867
716,197.654246,0.03668
717,-557.104644,0.036494
718,-255.06847,0.036309
719,-51.557216,0.036126
720,-272.636059,0.035943
721,-377.112249,0.035762
722,-475.428117,0.035581
723,156.378242,0.035402
724,230.015843,0.035224
725,-67.358143,0.035046
726,227.848401,0.03487
727,190.663952,0.034695
728,-281.689265,0.034521
729,116.164844,0.034348
730,51.024169,0.034176
731,182.780525,0.034004
732,214.369204,0.033834
733,179.565541,0.033665
734,-302.729746,0.033497
735,209.801067,0.03333
736,-172.180594,0.033164
737,-145.007042,0.032999
738,-213.449086,0.032834
739,-289.177805,0.032671
740,-195.8907,0.032509
741,145.662925,0.032347
742,225.876656,0.032187
743,169.827181,0.032028
744,-88.601244,0.031869
745,156.769528,0.031712
746,2.873579,0.031555
747,212.696249,0.031399
748,-218.69222,0.031244
749,-155.855594,0.03109
750,137.465237,0.030937
751,-165.773731,0.030785
752,217.754002,0.030634
753,-308.978871,0.030484
754,169.008919,0.030334
755,166.598363,0.030186
756,201.742542,0.030038
757,208.458663,0.029891
758,162.26601,0.029745
759,197.715204,0.0296
760,167.932247,0.029456
761,220.761008,0.029312
762,-399.739637,0.02917
763,160.780566,0.029028
764,225.719232,0.028887
765,216.558761,0.028747
766,234.206199,0.028608
767,19.87742,0.028469
768,213.404814,0.028331
769,209.352924,0.028195
770,6.176491,0.028059
771,-36.721247,0.027923
772,219.728388,0.027789
