Ep,Ep_r
0,-79.08
1,-237.32
2,-124.13
3,-143.12
4,-147.66
5,-233.63
6,-201.37
7,-153.81
8,-163.42
9,-453.4
10,-158.53
11,-333.06
12,-230.79
13,-371.67
14,-161.64
15,-366.61
16,-148.21
17,-122.62
18,-334.17
19,-373.74
20,-162.81
21,-324.77
22,-144.57
23,-195.84
24,-302.98
25,-349.22
26,-411.22
27,-196.27
28,-116.83
29,-156.0
30,-143.68
31,-165.54
32,-169.07
33,-148.75
34,-137.51
35,-183.0
36,-219.95
37,-159.4
38,-259.02
39,-344.24
40,-151.73
41,-141.56
42,-167.39
43,-303.6
44,-175.28
45,-172.18
46,-167.27
47,-214.42
48,-146.07
49,-164.16
50,-135.81
51,-51.27
52,-310.89
53,-319.6
54,-134.94
55,-416.01
56,-171.71
57,-131.95
58,-143.38
59,-387.37
60,-346.2
61,-143.81
62,-192.78
63,-265.94
64,-188.94
65,-242.37
66,-175.66
67,-274.18
68,-25.48
69,-165.04
70,-132.15
71,-132.71
72,-206.5
73,-149.64
74,-159.13
75,-221.91
76,-85.93
77,-193.5
78,-266.03
79,-165.94
80,-90.83
81,-140.8
82,-378.34
83,-151.12
84,-139.77
85,-123.22
86,-243.6
87,-143.6
88,-164.37
89,-99.14
90,-341.38
91,-541.75
92,-181.62
93,-325.79
94,-169.24
95,-380.96
96,-185.6
97,-169.59
98,-73.98
99,-135.33
100,-128.36
101,-180.71
102,-152.46
103,-136.84
104,-145.11
105,-187.24
106,-485.45
107,-315.52
108,-415.33
109,-351.04
110,-401.36
111,-235.78
112,-158.09
113,-439.26
114,-151.89
115,-44.8
116,-151.11
117,-178.32
118,-376.03
119,-206.5
120,-277.74
121,-187.04
122,-549.52
123,-423.62
124,-385.21
125,-376.7
126,-333.91
127,-251.07
128,-165.93
129,-385.55
130,-145.81
131,-162.77
132,-126.98
133,-174.77
134,-422.61
135,-256.51
136,-149.25
137,-472.37
138,-406.69
139,-141.76
140,-195.96
141,-188.78
142,-393.7
143,-269.41
144,-326.42
145,-137.93
146,-168.77
147,-234.43
148,-274.77
149,-148.96
150,-256.04
151,-197.92
152,-138.11
153,-273.46
154,-270.06
155,-203.82
156,-375.27
157,-151.8
158,-312.56
159,-151.43
160,-162.2
161,-200.38
162,-274.33
163,-106.77
164,-130.98
165,-348.11
166,-278.52
167,-151.83
168,-212.7
169,-342.46
170,-186.47
171,-185.3
172,-495.49
173,-274.86
174,-128.95
175,-124.65
176,-135.07
177,-243.48
178,-154.24
179,-187.03
180,-483.98
181,-222.22
182,-467.6
183,-160.18
184,-112.0
185,-164.41
186,-334.63
187,-173.9
188,-145.57
189,-351.61
190,-155.08
191,-221.1
192,-401.6
193,-210.84
194,-279.93
195,-225.76
196,-185.54
197,-197.1
198,-100.27
199,-143.12
200,-53.74
201,-174.77
202,-193.32
203,-187.13
204,-188.64
205,-263.09
206,-169.98
207,-324.79
208,-118.03
209,-390.68
210,-111.37
211,-325.23
212,-239.0
213,-155.7
214,-385.11
215,-156.63
216,-242.11
217,-279.52
218,-299.33
219,-222.88
220,-271.13
221,-151.14
222,-171.15
223,-168.26
224,-104.62
225,-147.3
226,-144.08
227,-255.94
228,-295.05
229,-113.79
230,-336.45
231,-116.68
232,-116.27
233,-207.94
234,-127.64
235,-193.14
236,-124.59
237,-186.4
238,-121.22
239,-577.91
240,-149.86
241,-213.41
242,-134.65
243,-144.28
244,-225.08
245,-191.74
246,-141.63
247,-264.51
248,-327.32
249,-160.04
250,-145.94
251,-192.37
252,-150.4
253,-185.72
254,-142.13
255,-208.36
256,-190.33
257,-230.95
258,-165.02
259,-137.08
260,-113.53
261,-182.6
262,-212.83
263,-174.6
264,-175.42
265,-309.93
266,-197.12
267,-156.49
268,-188.76
269,-163.94
270,-172.71
271,-122.74
272,-179.87
273,-244.2
274,-131.6
275,-174.94
276,-152.88
277,-209.43
278,-152.43
279,-206.38
280,-162.76
281,-171.56
282,-257.3
283,-128.37
284,-376.82
285,-164.57
286,-143.52
287,-215.09
288,-291.81
289,-168.7
290,-103.04
291,-134.76
292,-145.53
293,-313.13
294,-188.01
295,-338.84
296,-214.46
297,-249.39
298,-166.68
299,-200.52
300,-366.29
301,-139.64
302,-45.54
303,-197.44
304,-423.19
305,-201.04
306,-312.0
307,-166.48
308,-232.25
309,-302.79
310,-147.52
311,-181.58
312,-374.25
313,-199.13
314,-211.82
315,-174.14
316,-279.4
317,-124.31
318,-158.21
319,-303.02
320,-172.3
321,-131.12
322,-181.73
323,-171.51
324,-173.93
325,-178.98
326,-138.11
327,-283.44
328,-170.57
329,-188.75
330,-153.77
331,-143.3
332,-366.03
333,-214.97
334,-274.82
335,-385.21
336,-30.56
337,-182.19
338,-47.81
339,-343.17
340,-156.17
341,-156.79
342,-144.1
343,-416.56
344,-202.27
345,-117.08
346,-167.22
347,-204.01
348,-40.74
