Ep,Ep_r,epsilon
0,-318.392073,1.0
1,-120.967033,1.0
2,-188.749503,1.0
3,-237.454446,1.0
4,-370.312398,1.0
5,-240.37888,1.0
6,-215.88615,1.0
7,-156.571065,1.0
8,-247.024229,1.0
9,-327.011612,1.0
10,-198.258389,1.0
11,-352.973036,1.0
12,-353.069674,1.0
13,-132.696611,1.0
14,-174.354237,1.0
15,-190.782146,1.0
16,-187.087499,1.0
17,-298.635171,1.0
18,-266.198161,1.0
19,-177.782579,1.0
20,-204.148277,1.0
21,-141.742998,1.0
22,-154.430333,1.0
23,-199.857395,1.0
24,-167.619452,1.0
25,-190.266387,1.0
26,-110.203744,1.0
27,-313.058829,1.0
28,-478.575133,1.0
29,-209.363308,1.0
30,-176.413845,1.0
31,-236.183911,1.0
32,-62.213321,1.0
33,-141.708464,1.0
34,-284.176042,1.0
35,-123.973763,1.0
36,-304.551626,1.0
37,-164.813224,1.0
38,-125.876016,1.0
39,-217.634049,1.0
40,-162.539412,1.0
41,-398.664488,1.0
42,-145.218264,1.0
43,-158.144289,1.0
44,-320.588537,1.0
45,-144.272826,1.0
46,-153.966402,1.0
47,-220.016354,1.0
48,-209.245359,1.0
49,-228.898143,1.0
50,-157.879478,1.0
51,-319.494017,1.0
52,-232.701874,1.0
53,-327.914477,1.0
54,-387.014301,1.0
55,-310.068027,1.0
56,-149.510291,1.0
57,-179.208338,1.0
58,-159.243927,1.0
59,-458.127544,1.0
60,-380.792487,1.0
61,-145.734362,1.0
62,-182.816406,1.0
63,-120.501896,1.0
64,8.780095,1.0
65,-223.274149,1.0
66,-422.67718,1.0
67,-188.390104,1.0
68,-467.644361,1.0
69,-471.777082,1.0
70,-189.680506,1.0
71,-262.497456,1.0
72,-142.346373,1.0
73,-252.143751,1.0
74,-177.479659,1.0
75,-432.928884,1.0
76,-129.473781,1.0
77,-147.080359,1.0
78,-189.536196,1.0
79,-298.024048,1.0
80,-139.099646,1.0
81,-178.577971,1.0
82,-51.359392,1.0
83,-144.349693,1.0
84,-134.07029,1.0
85,-166.794083,1.0
86,-105.861965,1.0
87,-505.397391,1.0
88,-181.9579,1.0
89,-169.229213,1.0
90,-317.920393,1.0
91,-107.182712,1.0
92,-463.306371,1.0
93,-141.387098,1.0
94,-96.291815,1.0
95,-191.780797,1.0
96,-449.12301,1.0
97,-229.6967,1.0
98,-139.660847,1.0
99,-150.953139,1.0
100,-161.55766,1.0
101,-42.010104,1.0
102,-209.177914,1.0
103,-266.053526,1.0
104,-126.653842,1.0
105,-176.677978,1.0
106,-214.629968,1.0
107,-161.185393,1.0
108,-162.843506,1.0
109,-170.845646,1.0
110,-135.363964,1.0
111,-418.493135,1.0
112,-167.766723,1.0
113,-366.584447,1.0
114,-183.052511,0.994164
115,-118.057725,0.988363
116,-242.271661,0.982595
117,-226.091251,0.976862
118,-441.297385,0.971161
119,-92.696706,0.965495
